É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:32:39

,éDñy,éDñy,éDñy
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2009/12/1,3.0,6.0,-1.6
2009/12/2,2.9,6.0,0.3
2009/12/3,0.6,3.2,-0.6
2009/12/4,-1.3,1.4,-3.9
2009/12/5,0.8,5.9,-4.7
2009/12/6,4.8,9.1,0.2
2009/12/7,1.0,2.5,-1.0
2009/12/8,2.4,4.4,1.1
2009/12/9,3.0,6.2,1.6
2009/12/10,1.6,4.4,-1.9
2009/12/11,0.9,5.5,-4.4
2009/12/12,4.7,7.5,3.4
2009/12/13,0.7,3.7,-1.3
2009/12/14,-2.7,0.1,-5.8
2009/12/15,-4.9,-2.9,-6.0
2009/12/16,-4.3,-1.0,-6.4
2009/12/17,-4.8,-2.0,-7.1
2009/12/18,-4.3,-0.7,-7.9
2009/12/19,-3.0,0.1,-7.5
2009/12/20,-4.6,-3.0,-6.2
2009/12/21,-4.1,-1.7,-6.3
2009/12/22,-2.5,0.6,-5.5
2009/12/23,-1.4,1.0,-6.2
2009/12/24,-1.8,0.6,-4.3
2009/12/25,-3.6,-1.1,-6.2
2009/12/26,-4.1,1.0,-8.9
2009/12/27,-0.7,0.4,-2.6
2009/12/28,0.4,4.9,-2.7
2009/12/29,-1.1,1.7,-4.0
2009/12/30,-1.7,0.5,-4.2
2009/12/31,1.2,4.7,-1.1
2010/1/1,-0.1,2.3,-2.1
2010/1/2,1.2,2.3,-1.2
2010/1/3,-0.8,1.6,-3.7
2010/1/4,0.7,3.0,-1.8
2010/1/5,-1.6,1.2,-5.1
2010/1/6,2.3,3.5,0.1
2010/1/7,0.5,2.9,-2.6
2010/1/8,-2.2,0.4,-4.2
2010/1/9,-1.1,2.3,-4.1
2010/1/10,-2.5,0.7,-4.1
2010/1/11,-3.4,-1.9,-6.2
2010/1/12,-3.5,0.0,-7.3
2010/1/13,-3.4,-0.1,-7.1
2010/1/14,-4.5,-2.3,-6.6
2010/1/15,-6.5,-3.8,-8.7
2010/1/16,-6.5,-3.8,-9.1
2010/1/17,-4.6,-2.4,-7.6
2010/1/18,-1.8,0.5,-5.0
2010/1/19,-0.6,1.6,-3.3
2010/1/20,2.2,5.3,-1.8
2010/1/21,-5.9,-1.7,-8.9
2010/1/22,-6.1,-4.3,-8.7
2010/1/23,-2.9,-1.4,-5.3
2010/1/24,-1.1,1.0,-3.1
2010/1/25,-0.1,4.1,-4.2
2010/1/26,-5.9,-3.3,-7.6
2010/1/27,0.8,5.2,-4.5
2010/1/28,1.0,5.2,-3.3
2010/1/29,-3.4,-2.1,-4.4
2010/1/30,-2.4,0.4,-6.3
2010/1/31,0.5,4.7,-3.6
2010/2/1,-5.1,-1.8,-6.8
2010/2/2,-7.1,-4.8,-10.1
2010/2/3,-10.7,-9.5,-12.6
2010/2/4,-8.8,-5.6,-12.6
2010/2/5,-9.2,-6.3,-10.9
2010/2/6,-7.3,-1.2,-11.2
2010/2/7,-0.6,0.8,-2.4
2010/2/8,0.3,3.3,-4.9
2010/2/9,-1.0,2.6,-4.3
2010/2/10,-3.2,-1.1,-4.3
2010/2/11,-3.3,-1.1,-5.5
2010/2/12,-5.3,-3.0,-7.3
2010/2/13,-6.3,-3.4,-8.9
2010/2/14,-5.3,-1.0,-10.8
2010/2/15,-4.7,-1.8,-7.5
2010/2/16,-5.9,-4.1,-8.2
2010/2/17,-5.9,-1.2,-10.5
2010/2/18,-3.5,0.3,-9.3
2010/2/19,-1.5,1.6,-4.0
2010/2/20,-3.3,-0.4,-7.0
2010/2/21,-2.4,0.5,-5.8
2010/2/22,-0.2,2.4,-4.5
2010/2/23,1.9,4.5,-0.4
2010/2/24,2.8,5.5,-1.6
2010/2/25,5.8,9.8,2.6
2010/2/26,3.2,6.4,-0.3
2010/2/27,-1.8,0.0,-3.4
2010/2/28,-1.6,0.9,-4.0
2010/3/1,-3.5,-1.6,-5.5
2010/3/2,-3.0,0.0,-6.8
2010/3/3,-0.7,1.9,-2.4
2010/3/4,0.0,3.3,-5.2
2010/3/5,1.6,3.4,-0.3
2010/3/6,1.2,4.6,-2.3
2010/3/7,-3.2,-1.3,-6.3
2010/3/8,-4.2,-0.9,-9.4
2010/3/9,-2.8,0.0,-7.3
2010/3/10,-1.8,0.9,-5.0
2010/3/11,0.1,2.4,-1.7
2010/3/12,2.1,6.2,-2.2
2010/3/13,0.9,7.7,-3.9
2010/3/14,-2.3,0.1,-4.5
2010/3/15,-0.2,4.6,-4.2
2010/3/16,2.5,7.3,-1.5
2010/3/17,-2.3,-0.1,-4.1
2010/3/18,-1.4,1.1,-4.3
2010/3/19,1.9,5.5,-0.7
2010/3/20,3.1,5.4,0.8
2010/3/21,3.5,9.6,-1.5
2010/3/22,-0.5,1.3,-2.7
2010/3/23,0.7,2.2,-1.3
2010/3/24,2.6,5.8,-3.0
2010/3/25,1.4,5.0,-1.4
2010/3/26,-0.8,2.4,-3.6
2010/3/27,-2.7,0.0,-4.7
2010/3/28,-2.1,1.7,-5.1
2010/3/29,-1.8,1.7,-6.2
2010/3/30,2.4,6.0,-1.9
2010/3/31,5.3,9.6,-1.3
