ダウンロードした時刻：2017/07/24 15:43:29

,豊岡,豊岡,豊岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/1/1,7.1,13.4,3.7
2004/1/2,5.4,13.1,0.6
2004/1/3,5.5,10.7,1.8
2004/1/4,6.5,10.9,4.4
2004/1/5,5.8,9.9,3.8
2004/1/6,4.3,7.2,2.4
2004/1/7,6.0,13.4,1.2
2004/1/8,3.5,6.1,1.7
2004/1/9,3.1,8.4,-0.9
2004/1/10,4.0,11.9,-2.1
2004/1/11,3.3,4.8,1.6
2004/1/12,4.7,9.4,1.5
2004/1/13,3.0,6.9,0.1
2004/1/14,1.0,3.6,0.2
2004/1/15,0.8,2.3,0.1
2004/1/16,2.0,3.7,0.6
2004/1/17,1.8,4.8,0.3
2004/1/18,2.4,7.5,0.0
2004/1/19,3.8,8.2,1.3
2004/1/20,2.7,9.2,-1.0
2004/1/21,0.8,7.7,-2.4
2004/1/22,-2.3,0.8,-4.3
2004/1/23,1.5,6.1,-3.8
2004/1/24,0.5,6.2,-4.7
2004/1/25,-0.4,2.3,-4.5
2004/1/26,0.8,6.2,-3.1
2004/1/27,0.7,4.7,-1.4
2004/1/28,2.6,8.3,0.0
2004/1/29,3.4,10.0,0.6
2004/1/30,3.2,8.1,1.0
2004/1/31,3.2,7.1,-0.1
2004/2/1,3.2,11.4,-0.9
2004/2/2,5.0,10.1,2.1
2004/2/3,3.9,8.5,0.1
2004/2/4,1.8,5.7,-0.6
2004/2/5,-0.3,4.4,-3.2
2004/2/6,0.6,5.6,-2.9
2004/2/7,-0.5,1.1,-3.3
2004/2/8,0.8,6.3,-3.9
2004/2/9,0.4,2.3,-1.8
2004/2/10,1.3,6.6,-2.5
2004/2/11,2.3,11.3,-3.7
2004/2/12,3.5,10.3,-0.4
2004/2/13,3.2,11.4,-0.1
2004/2/14,5.3,14.7,-2.1
2004/2/15,4.9,8.8,1.8
2004/2/16,4.6,8.8,-1.3
2004/2/17,3.2,10.7,-3.0
2004/2/18,5.9,13.0,-0.2
2004/2/19,6.0,18.9,-2.7
2004/2/20,6.3,18.2,-1.1
2004/2/21,10.7,22.2,1.0
2004/2/22,14.8,21.9,7.2
2004/2/23,5.4,9.7,2.7
2004/2/24,5.7,13.1,-1.3
2004/2/25,9.0,17.7,2.8
2004/2/26,6.0,11.9,1.0
2004/2/27,2.8,5.5,0.4
2004/2/28,7.2,14.5,-0.1
2004/2/29,9.8,13.4,7.4
2004/3/1,5.7,8.0,3.8
2004/3/2,3.2,8.7,0.8
2004/3/3,2.9,7.0,0.2
2004/3/4,1.1,4.7,-1.3
2004/3/5,4.0,11.7,-4.7
2004/3/6,1.9,7.8,-1.2
2004/3/7,0.1,1.7,-0.8
2004/3/8,2.0,6.9,-0.7
2004/3/9,4.4,13.0,-1.1
2004/3/10,9.2,19.0,-1.7
2004/3/11,11.0,16.7,3.7
2004/3/12,5.9,11.9,1.1
2004/3/13,5.8,15.4,-1.8
2004/3/14,7.3,17.7,-1.2
2004/3/15,7.5,15.5,2.0
2004/3/16,11.7,23.1,0.7
2004/3/17,15.9,24.0,7.2
2004/3/18,6.5,12.9,3.0
2004/3/19,5.6,13.0,0.0
2004/3/20,6.2,13.1,1.9
2004/3/21,6.7,13.8,1.1
2004/3/22,4.3,5.7,2.9
2004/3/23,7.4,13.3,3.6
2004/3/24,9.9,17.9,2.5
2004/3/25,9.5,11.7,8.0
2004/3/26,8.5,12.9,2.9
2004/3/27,6.9,14.6,0.2
2004/3/28,10.4,23.0,0.3
2004/3/29,16.0,24.5,5.2
2004/3/30,15.2,18.0,12.3
2004/3/31,10.6,14.9,3.4
2004/4/1,10.0,19.2,0.5
2004/4/2,14.0,19.4,9.0
2004/4/3,10.3,16.5,7.5
2004/4/4,7.0,11.1,4.8
2004/4/5,8.2,17.0,2.4
2004/4/6,10.7,21.5,1.8
2004/4/7,12.5,22.0,7.0
2004/4/8,10.2,15.4,3.9
2004/4/9,11.0,22.3,1.7
2004/4/10,14.3,26.5,4.1
2004/4/11,15.1,23.1,7.7
2004/4/12,15.2,26.5,7.1
2004/4/13,13.7,18.9,11.2
2004/4/14,11.6,12.9,8.5
2004/4/15,13.4,23.6,7.5
2004/4/16,17.2,27.9,9.4
2004/4/17,15.2,26.1,8.8
2004/4/18,19.8,31.6,7.3
2004/4/19,19.4,21.8,16.3
2004/4/20,15.2,24.7,7.9
2004/4/21,15.1,27.3,5.3
2004/4/22,20.4,32.2,9.3
2004/4/23,13.4,18.5,9.9
2004/4/24,9.9,15.5,5.0
2004/4/25,12.0,22.0,3.4
2004/4/26,15.2,24.1,5.1
2004/4/27,16.5,22.8,9.4
2004/4/28,12.2,17.7,7.5
2004/4/29,13.7,24.3,4.1
2004/4/30,15.3,25.1,6.9
2004/5/1,15.4,19.4,11.9
