ダウンロードした時刻：2019/10/10 16:24:06

,熊本,熊本,熊本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/12/1,11.4,17.9,6.8
2002/12/2,10.0,16.8,3.6
2002/12/3,10.9,15.3,6.5
2002/12/4,15.9,18.9,12.9
2002/12/5,15.4,18.8,12.7
2002/12/6,14.5,20.1,10.9
2002/12/7,11.9,13.3,10.0
2002/12/8,11.2,14.9,8.7
2002/12/9,7.1,10.6,2.9
2002/12/10,4.0,7.1,1.5
2002/12/11,4.3,8.4,-0.7
2002/12/12,5.6,9.8,1.7
2002/12/13,4.1,8.9,0.2
2002/12/14,4.2,12.3,-2.3
2002/12/15,7.8,16.6,-0.9
2002/12/16,12.3,17.0,8.2
2002/12/17,9.9,14.7,6.3
2002/12/18,10.4,15.7,6.5
2002/12/19,10.4,11.9,9.6
2002/12/20,11.3,13.9,8.8
2002/12/21,10.7,12.9,8.8
2002/12/22,11.6,14.7,9.7
2002/12/23,11.3,15.7,8.3
2002/12/24,9.3,14.7,4.2
2002/12/25,6.7,10.0,2.2
2002/12/26,3.4,7.1,-0.4
2002/12/27,2.9,7.0,-0.5
2002/12/28,2.7,8.9,-3.0
2002/12/29,3.7,10.0,-1.7
2002/12/30,5.9,12.0,0.2
2002/12/31,6.8,10.5,3.9
2003/1/1,4.9,9.8,1.0
2003/1/2,4.5,11.7,-2.2
2003/1/3,6.3,9.2,4.0
2003/1/4,2.2,5.0,-0.3
2003/1/5,0.7,3.5,-1.3
2003/1/6,0.6,5.3,-3.5
2003/1/7,1.9,6.7,-2.3
2003/1/8,3.1,9.4,-2.8
2003/1/9,4.2,9.7,0.3
2003/1/10,4.4,8.4,-0.7
2003/1/11,5.5,10.3,1.8
2003/1/12,5.6,12.1,0.4
2003/1/13,6.2,13.3,0.1
2003/1/14,7.7,14.0,2.1
2003/1/15,4.1,9.2,0.2
2003/1/16,4.9,11.4,-0.4
2003/1/17,8.0,15.3,1.0
2003/1/18,8.9,13.9,4.4
2003/1/19,6.2,8.1,3.5
2003/1/20,6.2,9.0,2.5
2003/1/21,4.6,9.3,0.5
2003/1/22,6.4,12.5,-0.6
2003/1/23,8.1,11.3,5.8
2003/1/24,4.7,8.0,-0.2
2003/1/25,5.0,11.5,-2.1
2003/1/26,9.0,11.2,6.3
2003/1/27,10.0,13.3,4.2
2003/1/28,3.2,6.8,1.5
2003/1/29,0.7,2.3,-1.0
2003/1/30,1.3,5.6,-0.9
2003/1/31,4.2,8.4,-1.0
2003/2/1,5.9,9.9,2.5
2003/2/2,4.9,10.2,0.9
2003/2/3,4.7,10.8,0.0
2003/2/4,4.2,7.2,1.0
2003/2/5,4.3,8.4,1.5
2003/2/6,4.2,10.4,0.1
2003/2/7,5.5,13.7,-2.1
2003/2/8,10.1,14.4,4.9
2003/2/9,11.7,18.2,5.9
2003/2/10,12.2,18.9,7.4
2003/2/11,10.9,13.1,7.9
2003/2/12,7.8,12.7,3.1
2003/2/13,4.1,9.6,-0.3
2003/2/14,6.9,12.0,3.1
2003/2/15,7.5,10.3,4.7
2003/2/16,9.2,12.7,5.2
2003/2/17,8.1,15.8,0.7
2003/2/18,8.8,14.6,4.4
2003/2/19,7.2,12.8,1.2
2003/2/20,5.0,9.5,1.7
2003/2/21,6.3,13.7,-1.2
2003/2/22,12.5,16.3,7.1
2003/2/23,12.7,15.3,9.4
2003/2/24,10.5,15.3,7.2
2003/2/25,8.7,15.3,2.8
2003/2/26,10.3,15.2,6.4
2003/2/27,9.9,15.2,5.4
2003/2/28,10.3,16.4,4.6
2003/3/1,11.3,14.5,9.3
2003/3/2,10.7,17.2,5.3
2003/3/3,10.9,15.5,7.1
2003/3/4,6.2,10.2,3.9
2003/3/5,6.4,10.3,1.4
2003/3/6,10.2,15.0,6.1
2003/3/7,10.1,13.0,6.7
2003/3/8,7.1,10.9,3.5
2003/3/9,5.4,11.6,0.1
2003/3/10,5.7,12.3,0.4
2003/3/11,6.6,12.9,0.5
2003/3/12,7.9,14.0,1.6
2003/3/13,10.0,15.7,6.0
2003/3/14,10.9,17.9,3.2
2003/3/15,10.3,13.0,8.6
2003/3/16,11.8,15.4,9.8
2003/3/17,13.0,15.5,10.3
2003/3/18,10.2,15.0,5.8
2003/3/19,8.9,15.6,3.5
2003/3/20,9.8,16.9,2.1
2003/3/21,11.3,19.2,5.0
2003/3/22,10.4,16.2,5.9
2003/3/23,11.0,18.8,4.0
2003/3/24,13.2,18.4,10.0
2003/3/25,13.2,18.2,8.7
2003/3/26,12.0,19.4,5.6
2003/3/27,11.5,18.8,5.8
2003/3/28,10.9,17.4,4.2
2003/3/29,11.9,16.8,7.3
2003/3/30,12.8,20.8,5.3
2003/3/31,15.9,22.7,6.9
