ダウンロードした時刻：2019/10/10 16:13:58

,潮岬,潮岬,潮岬
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,14.2,18.5,10.9
1997/12/2,9.0,12.9,3.8
1997/12/3,5.6,9.7,2.6
1997/12/4,8.1,11.8,4.9
1997/12/5,10.4,15.1,6.4
1997/12/6,12.6,15.6,8.5
1997/12/7,17.9,20.9,14.7
1997/12/8,18.1,20.8,17.2
1997/12/9,11.5,17.4,8.0
1997/12/10,7.6,10.0,3.1
1997/12/11,7.6,13.1,2.4
1997/12/12,7.0,9.8,4.2
1997/12/13,8.6,12.7,6.3
1997/12/14,10.0,14.5,5.1
1997/12/15,12.6,15.8,9.3
1997/12/16,11.7,15.4,8.5
1997/12/17,11.8,13.0,10.4
1997/12/18,14.1,17.4,11.1
1997/12/19,13.6,17.7,9.6
1997/12/20,15.0,16.5,13.3
1997/12/21,13.8,18.5,8.4
1997/12/22,9.7,11.8,6.3
1997/12/23,10.8,13.6,8.5
1997/12/24,10.5,13.8,8.4
1997/12/25,10.8,14.0,8.0
1997/12/26,11.6,12.5,10.5
1997/12/27,13.6,17.9,10.7
1997/12/28,11.7,15.8,8.7
1997/12/29,10.1,14.1,6.1
1997/12/30,10.2,13.6,8.3
1997/12/31,9.5,11.5,6.5
1998/1/1,9.3,12.0,5.7
1998/1/2,10.1,14.7,6.3
1998/1/3,11.6,16.3,7.2
1998/1/4,12.3,17.4,8.3
1998/1/5,7.2,10.1,5.1
1998/1/6,8.8,11.9,4.6
1998/1/7,8.1,11.8,4.3
1998/1/8,9.8,14.3,7.5
1998/1/9,10.5,14.3,6.1
1998/1/10,7.9,11.4,4.0
1998/1/11,7.2,8.8,6.3
1998/1/12,7.9,10.7,5.0
1998/1/13,8.4,12.1,4.7
1998/1/14,9.0,10.7,7.5
1998/1/15,10.1,11.4,7.9
1998/1/16,10.6,15.2,6.5
1998/1/17,10.5,13.1,7.2
1998/1/18,14.1,16.8,10.1
1998/1/19,5.2,10.1,1.1
1998/1/20,3.9,7.2,0.6
1998/1/21,8.1,11.5,4.2
1998/1/22,7.1,10.8,4.3
1998/1/23,4.5,6.7,2.4
1998/1/24,3.1,6.4,-0.3
1998/1/25,2.8,6.4,-0.2
1998/1/26,6.2,9.4,3.5
1998/1/27,6.8,10.3,4.8
1998/1/28,6.6,8.7,4.4
1998/1/29,5.2,9.5,2.0
1998/1/30,7.8,12.0,1.9
1998/1/31,9.7,13.0,7.5
1998/2/1,7.3,9.1,4.1
1998/2/2,10.0,14.8,4.8
1998/2/3,9.9,13.5,7.0
1998/2/4,8.2,11.2,3.6
1998/2/5,5.0,10.3,0.8
1998/2/6,8.2,12.4,4.2
1998/2/7,7.4,10.4,5.6
1998/2/8,7.4,11.4,4.6
1998/2/9,6.4,10.1,4.2
1998/2/10,9.5,15.8,4.3
1998/2/11,7.6,12.0,2.0
1998/2/12,14.1,18.9,10.0
1998/2/13,16.1,19.4,13.6
1998/2/14,17.1,20.0,14.4
1998/2/15,10.4,14.8,5.8
1998/2/16,8.6,12.7,4.3
1998/2/17,8.7,13.5,3.5
1998/2/18,7.4,12.2,2.5
1998/2/19,11.6,16.3,9.0
1998/2/20,16.2,19.2,13.4
1998/2/21,14.8,18.8,10.5
1998/2/22,10.8,11.7,10.1
1998/2/23,11.8,14.8,9.4
1998/2/24,11.5,12.7,10.0
1998/2/25,10.5,13.3,9.6
1998/2/26,12.5,16.9,9.8
1998/2/27,12.8,17.3,8.9
1998/2/28,12.6,17.9,7.8
1998/3/1,9.8,13.3,7.2
1998/3/2,9.9,14.8,5.2
1998/3/3,12.1,17.2,7.4
1998/3/4,13.0,16.7,8.9
1998/3/5,8.8,12.5,7.1
1998/3/6,10.6,15.0,6.2
1998/3/7,10.7,14.3,5.0
1998/3/8,8.4,12.6,2.5
1998/3/9,14.1,17.7,10.5
1998/3/10,11.4,13.1,9.9
1998/3/11,12.4,14.0,10.5
1998/3/12,14.1,18.2,11.4
1998/3/13,11.9,15.5,8.6
1998/3/14,14.1,16.9,10.0
1998/3/15,9.1,14.9,5.4
1998/3/16,8.3,12.5,3.8
1998/3/17,10.6,15.1,5.8
1998/3/18,9.4,13.1,5.1
1998/3/19,13.7,17.5,7.9
1998/3/20,15.9,18.8,11.1
1998/3/21,11.6,14.8,8.4
1998/3/22,10.5,14.6,8.2
1998/3/23,9.9,13.3,5.4
1998/3/24,10.4,12.3,9.0
1998/3/25,12.1,15.0,9.1
1998/3/26,13.0,17.0,8.1
1998/3/27,17.8,20.0,13.2
1998/3/28,17.2,20.1,14.4
1998/3/29,16.6,20.4,12.6
1998/3/30,17.3,20.7,14.1
1998/3/31,18.2,22.3,14.7
