ダウンロードした時刻：2019/10/10 15:53:21

,岐阜,岐阜,岐阜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/12/1,8.3,12.1,2.8
1999/12/2,10.7,14.8,8.6
1999/12/3,8.6,11.7,3.8
1999/12/4,7.3,13.4,0.4
1999/12/5,10.5,14.5,7.7
1999/12/6,10.6,16.6,6.9
1999/12/7,6.7,10.1,2.3
1999/12/8,6.5,13.5,0.6
1999/12/9,6.9,11.2,2.7
1999/12/10,8.5,14.7,3.2
1999/12/11,7.5,12.3,3.5
1999/12/12,7.0,11.5,2.1
1999/12/13,6.9,10.3,4.7
1999/12/14,6.6,10.1,3.7
1999/12/15,5.1,10.0,2.1
1999/12/16,6.5,13.0,1.6
1999/12/17,7.3,11.7,2.3
1999/12/18,6.7,11.7,3.7
1999/12/19,4.3,7.8,2.3
1999/12/20,2.6,8.7,-2.4
1999/12/21,1.7,5.6,-2.1
1999/12/22,3.5,8.8,-1.2
1999/12/23,4.3,10.9,-1.3
1999/12/24,4.7,11.1,-1.0
1999/12/25,5.9,12.2,2.7
1999/12/26,5.3,9.5,1.9
1999/12/27,5.8,11.5,1.5
1999/12/28,5.2,12.8,-1.3
1999/12/29,6.4,13.0,1.0
1999/12/30,7.7,14.5,2.1
1999/12/31,7.7,15.8,1.0
2000/1/1,7.0,11.8,2.7
2000/1/2,6.3,12.1,-0.1
2000/1/3,9.4,13.9,6.8
2000/1/4,8.3,13.2,3.5
2000/1/5,6.3,12.7,0.4
2000/1/6,9.0,10.4,7.2
2000/1/7,10.2,14.2,5.3
2000/1/8,5.5,10.0,2.0
2000/1/9,5.6,9.5,0.4
2000/1/10,9.2,15.4,6.0
2000/1/11,6.9,10.6,2.6
2000/1/12,6.3,9.1,2.3
2000/1/13,9.5,10.8,7.1
2000/1/14,9.7,13.2,6.1
2000/1/15,7.6,13.8,2.6
2000/1/16,6.7,10.8,1.7
2000/1/17,8.9,13.8,5.8
2000/1/18,7.8,13.2,2.7
2000/1/19,6.1,12.3,-0.8
2000/1/20,3.6,7.5,-0.9
2000/1/21,0.7,3.9,-1.0
2000/1/22,2.4,8.4,-2.6
2000/1/23,3.1,4.9,0.8
2000/1/24,6.9,11.6,3.0
2000/1/25,5.6,10.1,0.9
2000/1/26,2.4,7.6,-0.9
2000/1/27,1.1,6.9,-3.6
2000/1/28,2.7,9.6,-3.3
2000/1/29,3.8,11.0,-2.5
2000/1/30,3.5,6.0,-0.4
2000/1/31,4.0,8.3,0.8
2000/2/1,3.2,7.7,-0.7
2000/2/2,4.0,9.8,-1.0
2000/2/3,5.0,11.6,-0.5
2000/2/4,4.2,8.3,0.8
2000/2/5,4.5,12.4,-1.8
2000/2/6,4.0,5.3,1.6
2000/2/7,6.0,10.1,2.7
2000/2/8,2.1,5.3,-2.4
2000/2/9,1.5,4.4,-2.1
2000/2/10,2.8,9.0,-2.8
2000/2/11,3.9,9.3,-1.8
2000/2/12,6.9,12.0,2.2
2000/2/13,7.7,13.6,3.7
2000/2/14,7.0,12.9,2.5
2000/2/15,3.3,7.7,-0.9
2000/2/16,-0.7,1.8,-3.5
2000/2/17,-0.3,4.3,-5.6
2000/2/18,1.9,5.9,-1.5
2000/2/19,2.3,5.2,-1.8
2000/2/20,5.4,11.1,0.9
2000/2/21,3.1,6.4,0.4
2000/2/22,3.4,7.7,0.1
2000/2/23,4.1,8.9,-0.7
2000/2/24,3.4,9.4,0.1
2000/2/25,2.1,6.2,-1.1
2000/2/26,0.8,4.1,-0.8
2000/2/27,1.9,5.1,-0.3
2000/2/28,1.6,7.7,-2.0
2000/2/29,1.1,6.1,-2.3
2000/3/1,3.3,9.6,-3.1
2000/3/2,6.0,14.4,-1.9
2000/3/3,8.7,16.8,0.5
2000/3/4,7.5,8.3,6.0
2000/3/5,10.4,15.8,4.6
2000/3/6,8.7,15.9,1.0
2000/3/7,6.3,12.1,3.1
2000/3/8,3.0,9.0,0.1
2000/3/9,2.3,7.1,-0.1
2000/3/10,3.3,8.2,-1.0
2000/3/11,4.1,8.1,0.5
2000/3/12,8.1,14.6,3.3
2000/3/13,5.9,11.5,1.1
2000/3/14,6.0,12.8,-1.0
2000/3/15,7.9,14.4,1.1
2000/3/16,8.3,12.9,6.1
2000/3/17,6.6,10.4,3.0
2000/3/18,8.1,16.3,-0.2
2000/3/19,9.5,14.8,5.8
2000/3/20,7.8,11.9,3.9
2000/3/21,7.4,14.7,1.0
2000/3/22,8.7,13.0,3.7
2000/3/23,9.3,14.9,2.6
2000/3/24,7.8,13.1,2.6
2000/3/25,4.4,9.5,1.6
2000/3/26,4.3,9.6,1.2
2000/3/27,8.7,16.3,1.0
2000/3/28,10.9,14.3,6.6
2000/3/29,10.7,16.3,5.9
2000/3/30,10.6,15.8,4.8
2000/3/31,10.0,16.4,4.5
