ダウンロードした時刻：2017/07/24 15:42:43

,三宅島,三宅島,三宅島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,8.9,10.8,2.1
1985/1/2,8.8,11.0,3.5
1985/1/3,8.6,10.7,7.2
1985/1/4,8.3,9.8,5.8
1985/1/5,7.0,7.7,6.1
1985/1/6,7.9,9.3,6.3
1985/1/7,7.6,8.8,6.3
1985/1/8,7.5,9.5,3.3
1985/1/9,6.6,10.6,1.9
1985/1/10,9.9,12.5,3.1
1985/1/11,10.5,11.7,6.9
1985/1/12,11.1,12.3,10.0
1985/1/13,8.3,10.7,6.2
1985/1/14,4.5,7.0,3.3
1985/1/15,5.4,8.7,2.0
1985/1/16,9.6,11.5,7.5
1985/1/17,6.8,8.2,5.5
1985/1/18,6.4,8.1,4.4
1985/1/19,8.8,10.5,7.1
1985/1/20,10.7,12.3,8.9
1985/1/21,7.1,10.0,2.9
1985/1/22,9.5,12.3,2.2
1985/1/23,11.7,13.7,6.1
1985/1/24,8.7,9.9,5.9
1985/1/25,7.5,9.2,5.7
1985/1/26,7.0,9.1,5.1
1985/1/27,6.4,8.7,3.2
1985/1/28,11.4,14.1,6.2
1985/1/29,6.8,9.0,4.8
1985/1/30,4.4,5.8,3.1
1985/1/31,5.5,7.6,3.1
1985/2/1,10.0,12.1,7.4
1985/2/2,11.6,12.6,10.8
1985/2/3,11.0,12.0,9.8
1985/2/4,10.1,11.4,5.3
1985/2/5,10.2,12.0,7.3
1985/2/6,10.7,12.5,9.7
1985/2/7,11.9,13.5,9.2
1985/2/8,13.1,14.4,11.5
1985/2/9,15.1,18.5,10.3
1985/2/10,13.2,17.1,10.5
1985/2/11,9.9,11.9,8.6
1985/2/12,10.3,12.7,6.1
1985/2/13,11.3,12.6,8.9
1985/2/14,7.4,9.0,5.0
1985/2/15,7.7,9.8,4.9
1985/2/16,8.8,11.0,5.8
1985/2/17,8.6,11.1,4.9
1985/2/18,10.3,11.6,6.0
1985/2/19,11.6,16.5,9.4
1985/2/20,12.2,13.8,9.7
1985/2/21,9.4,12.4,4.4
1985/2/22,5.3,6.9,3.2
1985/2/23,7.0,8.2,5.4
1985/2/24,6.0,7.4,3.9
1985/2/25,6.7,9.2,3.8
1985/2/26,9.0,10.0,5.2
1985/2/27,10.4,13.6,5.3
1985/2/28,9.6,11.3,8.4
1985/3/1,10.1,11.2,8.7
1985/3/2,13.1,15.1,10.0
1985/3/3,12.1,13.9,10.4
1985/3/4,9.8,12.1,7.8
1985/3/5,8.8,11.5,7.5
1985/3/6,11.1,12.2,8.1
1985/3/7,12.3,14.9,5.7
1985/3/8,14.9,17.1,10.6
1985/3/9,15.2,19.1,11.7
1985/3/10,11.6,14.2,10.6
1985/3/11,9.1,13.0,7.7
1985/3/12,10.3,11.5,7.7
1985/3/13,11.8,13.6,9.2
1985/3/14,10.2,12.9,8.2
1985/3/15,8.9,9.5,8.3
1985/3/16,9.8,12.0,8.5
1985/3/17,13.1,17.7,8.0
1985/3/18,14.6,16.2,12.0
1985/3/19,11.6,15.0,8.7
1985/3/20,11.2,12.9,8.7
1985/3/21,11.4,13.2,10.5
1985/3/22,11.8,14.1,9.3
1985/3/23,11.2,13.5,9.3
1985/3/24,10.8,13.2,8.5
1985/3/25,13.8,15.4,12.5
1985/3/26,16.4,19.3,14.2
1985/3/27,14.8,18.3,10.6
1985/3/28,14.3,17.2,10.9
1985/3/29,12.5,14.1,11.3
1985/3/30,12.8,14.3,10.8
1985/3/31,10.8,12.8,7.7
1985/4/1,9.4,12.5,6.8
1985/4/2,11.5,15.1,4.8
1985/4/3,15.6,18.9,11.2
1985/4/4,16.3,18.5,14.0
1985/4/5,14.9,16.2,14.2
1985/4/6,14.5,16.3,12.7
1985/4/7,15.4,17.9,13.1
1985/4/8,14.6,15.3,13.6
1985/4/9,14.1,16.7,11.4
1985/4/10,15.4,16.7,11.6
1985/4/11,16.0,18.1,14.6
1985/4/12,12.0,15.5,10.3
1985/4/13,12.3,13.6,11.1
1985/4/14,14.1,15.6,12.7
1985/4/15,14.2,16.1,12.6
1985/4/16,14.2,17.0,12.4
1985/4/17,15.0,17.7,12.2
1985/4/18,12.2,13.9,10.5
1985/4/19,14.6,16.9,12.6
1985/4/20,17.1,19.0,12.7
1985/4/21,16.0,19.9,12.3
1985/4/22,17.8,21.6,12.7
1985/4/23,17.6,20.7,14.1
1985/4/24,17.6,22.1,12.6
1985/4/25,15.5,19.8,9.6
1985/4/26,17.5,22.1,12.7
1985/4/27,17.2,22.2,13.0
1985/4/28,15.8,17.3,14.5
1985/4/29,14.6,18.0,10.4
1985/4/30,15.8,19.9,9.8
1985/5/1,17.5,21.6,13.2
