ダウンロードした時刻：2019/10/10 16:12:53

,和歌山,和歌山,和歌山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/12/1,8.3,15.0,1.5
1985/12/2,9.5,14.6,5.9
1985/12/3,7.4,13.0,2.5
1985/12/4,8.8,11.5,5.4
1985/12/5,11.5,16.3,7.3
1985/12/6,8.8,13.2,5.8
1985/12/7,11.2,15.2,7.9
1985/12/8,9.6,12.1,7.7
1985/12/9,7.0,9.4,3.8
1985/12/10,5.3,8.2,2.8
1985/12/11,6.1,8.5,3.4
1985/12/12,5.7,8.2,4.2
1985/12/13,5.7,9.4,1.3
1985/12/14,6.8,10.5,4.4
1985/12/15,3.4,5.3,2.1
1985/12/16,3.4,6.7,1.2
1985/12/17,3.4,5.8,1.5
1985/12/18,3.1,7.3,0.4
1985/12/19,5.2,8.6,0.3
1985/12/20,6.3,8.9,4.4
1985/12/21,4.9,8.3,1.1
1985/12/22,6.0,9.7,1.4
1985/12/23,7.9,10.6,5.9
1985/12/24,4.7,7.6,1.4
1985/12/25,4.9,10.8,-0.7
1985/12/26,5.9,11.6,2.5
1985/12/27,6.0,11.7,0.8
1985/12/28,5.3,10.8,0.7
1985/12/29,8.6,16.7,0.0
1985/12/30,14.3,18.1,10.4
1985/12/31,10.3,15.9,7.2
1986/1/1,4.8,7.4,3.2
1986/1/2,2.6,4.6,1.1
1986/1/3,3.6,7.8,-1.7
1986/1/4,6.1,10.0,1.4
1986/1/5,0.2,2.2,-1.7
1986/1/6,1.1,3.8,-1.3
1986/1/7,2.6,8.6,-2.1
1986/1/8,3.9,8.9,-0.6
1986/1/9,2.9,5.5,1.6
1986/1/10,2.0,5.1,-0.2
1986/1/11,2.9,6.0,-2.5
1986/1/12,2.4,6.8,-1.5
1986/1/13,3.6,9.9,-1.5
1986/1/14,5.1,7.8,3.1
1986/1/15,4.5,9.3,0.1
1986/1/16,6.5,12.1,3.3
1986/1/17,7.3,11.3,3.4
1986/1/18,5.7,10.8,0.6
1986/1/19,6.0,9.5,2.3
1986/1/20,6.2,10.7,2.4
1986/1/21,6.5,10.7,2.6
1986/1/22,3.6,6.7,1.1
1986/1/23,5.1,7.3,3.1
1986/1/24,5.3,9.6,3.1
1986/1/25,4.0,5.8,2.5
1986/1/26,3.6,7.1,0.9
1986/1/27,3.1,6.0,0.6
1986/1/28,3.2,7.3,-2.1
1986/1/29,4.3,9.5,-0.2
1986/1/30,4.7,9.5,0.4
1986/1/31,6.6,10.9,3.2
1986/2/1,5.3,8.8,2.0
1986/2/2,3.8,8.4,0.5
1986/2/3,4.4,11.2,-0.7
1986/2/4,3.3,6.2,1.4
1986/2/5,3.4,6.5,1.1
1986/2/6,3.8,7.5,1.2
1986/2/7,2.7,5.6,-0.1
1986/2/8,3.0,7.3,-0.8
1986/2/9,2.8,7.6,-1.4
1986/2/10,2.9,6.0,0.2
1986/2/11,2.4,4.4,0.0
1986/2/12,4.1,8.7,-0.9
1986/2/13,5.7,12.6,-0.9
1986/2/14,7.2,9.1,5.2
1986/2/15,5.9,10.1,1.8
1986/2/16,1.0,3.9,-0.5
1986/2/17,2.0,5.4,-3.0
1986/2/18,3.5,8.3,-0.1
1986/2/19,6.7,9.7,4.0
1986/2/20,5.7,10.4,0.0
1986/2/21,4.8,8.0,2.8
1986/2/22,4.2,9.6,-0.1
1986/2/23,5.3,10.8,0.4
1986/2/24,2.8,6.4,0.9
1986/2/25,3.1,5.9,1.0
1986/2/26,3.7,9.2,-2.5
1986/2/27,4.3,7.3,1.8
1986/2/28,3.0,6.9,0.6
1986/3/1,4.2,8.0,2.1
1986/3/2,4.2,7.6,2.2
1986/3/3,5.4,10.3,1.2
1986/3/4,4.4,8.9,0.3
1986/3/5,5.9,13.5,-0.2
1986/3/6,7.2,11.4,3.0
1986/3/7,8.7,15.8,1.8
1986/3/8,8.7,15.1,2.1
1986/3/9,12.3,19.3,4.3
1986/3/10,14.5,18.6,11.7
1986/3/11,8.3,11.7,6.6
1986/3/12,8.5,12.9,4.4
1986/3/13,9.9,16.7,3.5
1986/3/14,9.4,11.3,7.6
1986/3/15,12.6,16.1,9.8
1986/3/16,10.4,14.6,5.0
1986/3/17,6.9,11.7,4.1
1986/3/18,6.0,9.3,1.0
1986/3/19,9.2,11.6,5.9
1986/3/20,7.9,11.9,5.3
1986/3/21,7.2,11.1,2.6
1986/3/22,7.4,11.8,2.9
1986/3/23,5.6,7.7,3.3
1986/3/24,7.7,11.7,4.8
1986/3/25,7.7,13.4,1.1
1986/3/26,9.1,15.4,2.2
1986/3/27,11.5,17.2,4.5
1986/3/28,11.3,12.9,10.5
1986/3/29,11.9,15.9,8.6
1986/3/30,11.2,16.7,5.9
1986/3/31,11.1,15.3,6.9
