ダウンロードした時刻：2017/07/24 15:38:13

,白河,白河,白河
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/1/1,1.5,7.3,-2.2
1992/1/2,2.2,7.9,-2.4
1992/1/3,0.8,6.0,-3.9
1992/1/4,1.9,4.1,-1.8
1992/1/5,4.2,9.3,0.9
1992/1/6,1.9,7.0,-0.8
1992/1/7,1.3,3.4,0.1
1992/1/8,5.6,8.1,1.9
1992/1/9,0.7,2.4,-0.5
1992/1/10,0.7,3.3,-1.8
1992/1/11,1.4,6.1,-3.6
1992/1/12,0.5,8.3,-5.3
1992/1/13,3.3,10.6,-2.0
1992/1/14,0.4,5.3,-2.1
1992/1/15,-0.7,3.2,-4.2
1992/1/16,-0.5,6.0,-7.8
1992/1/17,2.3,8.1,-2.9
1992/1/18,0.7,4.4,-3.2
1992/1/19,-0.1,2.8,-2.4
1992/1/20,0.0,4.7,-4.0
1992/1/21,-0.6,6.6,-6.6
1992/1/22,1.6,9.7,-5.9
1992/1/23,0.4,3.7,-2.5
1992/1/24,-0.9,3.0,-4.0
1992/1/25,0.1,8.2,-6.4
1992/1/26,2.2,8.8,-2.9
1992/1/27,4.2,10.8,-2.1
1992/1/28,2.8,8.8,-1.6
1992/1/29,2.7,9.4,-3.1
1992/1/30,2.4,8.2,-1.9
1992/1/31,-0.8,0.8,-2.6
1992/2/1,-1.2,2.3,-4.5
1992/2/2,-0.6,3.7,-4.4
1992/2/3,0.7,6.4,-4.5
1992/2/4,2.8,6.3,0.1
1992/2/5,0.0,3.4,-4.4
1992/2/6,-0.7,4.9,-6.7
1992/2/7,1.9,7.5,-1.9
1992/2/8,-1.0,2.0,-3.2
1992/2/9,-0.7,3.0,-5.1
1992/2/10,-0.2,7.4,-7.6
1992/2/11,-0.9,2.0,-5.0
1992/2/12,1.3,9.2,-5.4
1992/2/13,2.2,8.2,-3.3
1992/2/14,0.9,5.7,-3.2
1992/2/15,2.3,9.5,-4.8
1992/2/16,2.6,11.0,-2.7
1992/2/17,0.0,4.4,-3.4
1992/2/18,1.6,7.4,-3.1
1992/2/19,-1.3,1.5,-4.4
1992/2/20,-1.4,3.9,-5.5
1992/2/21,-0.9,3.7,-3.3
1992/2/22,-1.4,2.1,-3.9
1992/2/23,0.4,5.3,-3.9
1992/2/24,-0.2,4.9,-6.2
1992/2/25,0.0,3.2,-2.2
1992/2/26,0.8,5.3,-3.0
1992/2/27,3.7,11.9,-5.3
1992/2/28,6.7,13.6,-0.8
1992/2/29,8.2,14.6,1.8
1992/3/1,9.9,15.0,5.4
1992/3/2,3.4,7.2,0.1
1992/3/3,1.7,5.5,-1.1
1992/3/4,1.9,8.6,-1.9
1992/3/5,-0.4,0.4,-2.2
1992/3/6,2.7,8.1,-0.2
1992/3/7,1.3,4.5,-2.6
1992/3/8,1.1,10.1,-6.0
1992/3/9,4.9,13.3,-3.4
1992/3/10,6.0,11.6,1.8
1992/3/11,5.4,10.9,0.0
1992/3/12,3.8,9.5,-2.1
1992/3/13,7.5,14.4,1.3
1992/3/14,9.1,16.8,1.3
1992/3/15,11.0,15.6,6.1
1992/3/16,6.3,9.9,0.3
1992/3/17,1.5,5.2,-0.2
1992/3/18,0.0,1.8,-1.2
1992/3/19,4.9,9.5,0.1
1992/3/20,7.1,13.1,1.9
1992/3/21,-0.2,5.0,-1.9
1992/3/22,1.1,4.2,-2.2
1992/3/23,0.9,3.7,-2.2
1992/3/24,2.1,4.2,0.2
1992/3/25,5.7,11.2,2.0
1992/3/26,7.4,12.5,1.2
1992/3/27,5.7,9.6,0.9
1992/3/28,6.1,13.0,-1.7
1992/3/29,7.8,9.0,5.3
1992/3/30,9.9,14.8,7.1
1992/3/31,10.2,15.1,6.5
1992/4/1,9.4,11.0,6.4
1992/4/2,13.2,17.9,10.1
1992/4/3,12.3,19.1,6.8
1992/4/4,10.9,18.6,3.3
1992/4/5,9.3,10.4,8.4
1992/4/6,12.2,18.1,7.0
1992/4/7,6.8,12.0,2.4
1992/4/8,6.4,9.7,2.2
1992/4/9,11.3,17.3,6.8
1992/4/10,7.2,11.7,3.5
1992/4/11,6.3,11.6,3.0
1992/4/12,5.4,9.2,2.0
1992/4/13,6.7,11.6,2.4
1992/4/14,6.4,12.0,1.2
1992/4/15,6.7,12.7,-1.5
1992/4/16,9.4,14.4,7.0
1992/4/17,8.3,12.1,4.6
1992/4/18,11.5,16.6,5.0
1992/4/19,10.0,13.9,4.5
1992/4/20,8.8,17.9,1.6
1992/4/21,10.9,17.0,2.0
1992/4/22,11.0,14.4,7.6
1992/4/23,12.7,18.2,5.9
1992/4/24,12.9,19.1,4.6
1992/4/25,12.8,16.4,6.9
1992/4/26,11.6,17.8,2.4
1992/4/27,16.9,26.0,7.7
1992/4/28,16.2,23.5,6.8
1992/4/29,13.8,17.6,6.8
1992/4/30,5.7,7.8,3.4
1992/5/1,8.7,13.1,3.9
