ダウンロードした時刻：2019/10/10 16:16:21

,高松,高松,高松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/12/1,11.4,14.9,8.9
2002/12/2,10.8,15.1,6.8
2002/12/3,9.4,14.2,3.2
2002/12/4,13.5,16.5,9.7
2002/12/5,14.9,18.5,12.2
2002/12/6,11.2,13.7,8.5
2002/12/7,8.1,8.9,6.0
2002/12/8,7.1,9.5,6.0
2002/12/9,8.0,12.1,5.3
2002/12/10,5.0,7.4,3.0
2002/12/11,5.5,8.0,2.8
2002/12/12,6.4,10.3,4.5
2002/12/13,5.9,9.7,1.5
2002/12/14,5.5,11.0,1.5
2002/12/15,6.4,13.0,0.7
2002/12/16,8.6,14.0,2.9
2002/12/17,9.4,14.0,3.6
2002/12/18,7.2,11.3,3.1
2002/12/19,8.0,9.4,5.8
2002/12/20,7.1,10.0,3.4
2002/12/21,7.4,9.5,5.5
2002/12/22,9.0,12.1,5.6
2002/12/23,6.6,9.9,3.0
2002/12/24,9.0,13.6,3.9
2002/12/25,7.8,11.7,4.2
2002/12/26,4.4,7.0,1.3
2002/12/27,4.5,8.2,0.3
2002/12/28,4.4,9.1,-1.7
2002/12/29,6.9,10.4,2.3
2002/12/30,5.4,11.2,-0.1
2002/12/31,7.6,11.9,3.1
2003/1/1,6.1,10.1,1.7
2003/1/2,4.6,7.4,1.1
2003/1/3,4.3,7.9,0.3
2003/1/4,4.5,8.1,1.7
2003/1/5,1.3,3.8,-0.1
2003/1/6,2.2,6.2,-2.1
2003/1/7,3.6,8.2,0.3
2003/1/8,2.9,8.7,-1.9
2003/1/9,4.1,9.4,-0.7
2003/1/10,6.5,11.3,1.8
2003/1/11,6.6,10.5,3.7
2003/1/12,7.2,11.7,3.0
2003/1/13,7.3,13.8,1.4
2003/1/14,8.5,14.3,2.9
2003/1/15,3.4,6.2,-0.9
2003/1/16,2.1,7.7,-3.1
2003/1/17,6.0,13.9,-1.0
2003/1/18,8.4,13.6,3.0
2003/1/19,6.5,9.4,3.9
2003/1/20,7.2,11.1,4.6
2003/1/21,5.3,8.9,1.8
2003/1/22,4.4,9.3,-1.2
2003/1/23,7.0,10.7,4.5
2003/1/24,4.6,7.8,2.5
2003/1/25,4.9,8.6,1.4
2003/1/26,4.9,7.5,0.6
2003/1/27,9.3,12.1,6.9
2003/1/28,4.7,7.9,1.6
2003/1/29,-0.2,3.8,-2.4
2003/1/30,1.9,4.8,-1.6
2003/1/31,5.2,8.9,1.8
2003/2/1,4.3,7.5,0.9
2003/2/2,4.0,7.4,0.1
2003/2/3,3.1,8.1,-1.3
2003/2/4,4.8,9.8,-0.4
2003/2/5,4.3,9.3,1.8
2003/2/6,3.9,8.2,0.2
2003/2/7,5.2,12.6,-1.1
2003/2/8,6.4,11.6,1.5
2003/2/9,11.2,14.7,6.3
2003/2/10,8.8,14.5,2.3
2003/2/11,9.5,10.9,8.5
2003/2/12,6.9,9.9,4.7
2003/2/13,6.3,9.7,3.9
2003/2/14,6.3,11.5,1.1
2003/2/15,5.9,10.7,-0.2
2003/2/16,6.9,9.6,5.2
2003/2/17,7.6,12.1,3.0
2003/2/18,7.0,13.1,2.0
2003/2/19,7.9,11.9,3.0
2003/2/20,5.5,8.4,3.6
2003/2/21,6.0,9.2,1.7
2003/2/22,5.6,7.2,3.3
2003/2/23,8.2,12.0,5.9
2003/2/24,7.3,11.5,4.3
2003/2/25,7.3,12.6,3.2
2003/2/26,7.1,12.6,2.2
2003/2/27,7.7,11.7,3.7
2003/2/28,4.9,10.2,-0.6
2003/3/1,7.9,10.7,4.4
2003/3/2,10.4,16.0,7.1
2003/3/3,7.6,10.1,5.2
2003/3/4,3.5,7.1,0.9
2003/3/5,3.1,6.9,-0.4
2003/3/6,5.6,8.2,3.8
2003/3/7,9.8,14.8,6.6
2003/3/8,6.4,10.6,3.5
2003/3/9,5.1,9.0,2.8
2003/3/10,4.9,8.5,2.2
2003/3/11,4.7,9.6,-0.4
2003/3/12,5.9,11.5,0.7
2003/3/13,6.5,12.8,0.6
2003/3/14,7.9,12.2,2.1
2003/3/15,7.0,8.3,6.1
2003/3/16,6.9,7.3,6.4
2003/3/17,10.1,14.5,7.0
2003/3/18,8.7,13.0,5.2
2003/3/19,7.1,12.3,1.3
2003/3/20,7.2,13.2,1.0
2003/3/21,7.5,12.4,1.4
2003/3/22,7.6,11.2,4.0
2003/3/23,8.1,14.2,1.5
2003/3/24,9.0,13.0,5.0
2003/3/25,12.2,17.6,9.2
2003/3/26,13.0,19.4,8.0
2003/3/27,11.8,19.0,5.7
2003/3/28,11.9,16.4,8.3
2003/3/29,11.6,16.9,7.9
2003/3/30,10.3,16.5,4.2
2003/3/31,14.0,20.6,7.4
