ダウンロードした時刻：2019/10/10 15:35:46

,八戸,八戸,八戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,1.4,4.7,-0.6
1997/12/2,-1.4,0.2,-3.8
1997/12/3,-3.7,-2.1,-5.5
1997/12/4,-0.4,2.9,-3.8
1997/12/5,2.5,6.6,-0.7
1997/12/6,5.0,10.0,-1.0
1997/12/7,6.0,8.9,3.6
1997/12/8,7.9,9.3,6.9
1997/12/9,8.4,12.6,4.0
1997/12/10,4.4,11.8,0.0
1997/12/11,0.5,2.8,-1.3
1997/12/12,0.0,2.3,-2.3
1997/12/13,-0.3,3.6,-3.6
1997/12/14,2.5,6.3,-0.5
1997/12/15,4.3,8.7,1.3
1997/12/16,4.2,6.8,2.3
1997/12/17,3.4,7.1,-0.3
1997/12/18,4.3,8.9,0.0
1997/12/19,7.2,11.9,2.9
1997/12/20,7.7,11.8,1.2
1997/12/21,-0.1,2.9,-2.6
1997/12/22,-0.1,4.2,-4.1
1997/12/23,0.6,3.9,-2.2
1997/12/24,0.5,5.5,-4.9
1997/12/25,1.6,6.4,-2.1
1997/12/26,1.3,9.4,-3.8
1997/12/27,4.8,12.5,-3.0
1997/12/28,2.1,5.9,-0.8
1997/12/29,1.4,4.7,-1.3
1997/12/30,3.0,6.8,-1.7
1997/12/31,1.7,4.8,-0.7
1998/1/1,0.8,4.6,-1.9
1998/1/2,-1.6,1.6,-3.8
1998/1/3,1.0,5.7,-3.7
1998/1/4,0.4,3.1,-2.1
1998/1/5,-2.5,0.2,-4.7
1998/1/6,-3.0,0.3,-5.8
1998/1/7,-6.8,-5.1,-7.7
1998/1/8,-5.5,-3.1,-7.7
1998/1/9,-3.6,-0.8,-6.8
1998/1/10,-1.8,0.6,-4.2
1998/1/11,-1.2,1.6,-3.9
1998/1/12,-1.3,0.9,-4.1
1998/1/13,-1.7,2.7,-6.3
1998/1/14,-3.4,-0.9,-5.7
1998/1/15,-3.3,-0.6,-5.5
1998/1/16,-0.7,0.7,-1.6
1998/1/17,-1.1,1.6,-4.0
1998/1/18,0.0,4.0,-3.9
1998/1/19,-2.3,3.6,-6.7
1998/1/20,-4.4,-2.1,-8.3
1998/1/21,-3.5,0.7,-7.5
1998/1/22,-5.7,-1.7,-10.0
1998/1/23,-5.0,-0.2,-9.6
1998/1/24,-5.1,-1.1,-8.4
1998/1/25,-4.3,-0.8,-7.6
1998/1/26,-4.3,-1.4,-7.8
1998/1/27,-4.9,-1.4,-7.9
1998/1/28,-5.6,-0.9,-9.3
1998/1/29,-4.3,-0.2,-7.4
1998/1/30,-1.0,3.5,-7.3
1998/1/31,-1.8,1.8,-6.2
1998/2/1,-3.3,0.5,-6.4
1998/2/2,-0.3,3.5,-3.6
1998/2/3,1.0,5.0,-2.5
1998/2/4,-4.1,-1.6,-5.5
1998/2/5,-2.6,1.1,-6.3
1998/2/6,-1.0,3.5,-4.9
1998/2/7,-4.1,-1.7,-8.0
1998/2/8,0.8,2.5,-2.4
1998/2/9,-0.5,1.3,-2.5
1998/2/10,-2.2,1.2,-4.9
1998/2/11,-2.8,2.0,-5.5
1998/2/12,2.4,6.5,-5.5
1998/2/13,2.5,6.2,-0.5
1998/2/14,-0.2,2.1,-1.8
1998/2/15,-1.5,1.0,-3.1
1998/2/16,-2.2,1.8,-5.3
1998/2/17,-3.5,-0.2,-6.5
1998/2/18,-2.2,1.4,-5.9
1998/2/19,2.4,7.6,-2.9
1998/2/20,4.6,7.1,2.3
1998/2/21,-3.0,2.4,-6.7
1998/2/22,-2.1,2.9,-8.5
1998/2/23,1.4,8.2,-5.4
1998/2/24,0.5,2.7,-2.7
1998/2/25,2.4,4.8,0.5
1998/2/26,2.5,7.3,-2.8
1998/2/27,3.1,5.7,0.9
1998/2/28,2.5,4.4,1.2
1998/3/1,2.3,4.2,-0.7
1998/3/2,3.9,10.7,-2.6
1998/3/3,7.1,12.8,2.9
1998/3/4,3.9,8.6,-0.5
1998/3/5,1.5,7.4,-3.4
1998/3/6,3.3,9.0,-2.5
1998/3/7,2.4,5.6,-1.4
1998/3/8,2.1,5.9,-2.0
1998/3/9,2.6,7.5,-1.5
1998/3/10,-0.2,4.8,-4.9
1998/3/11,1.0,7.6,-4.2
1998/3/12,3.8,8.4,-2.9
1998/3/13,6.1,9.0,3.3
1998/3/14,5.6,11.2,1.3
1998/3/15,0.2,3.8,-3.5
1998/3/16,-2.5,0.8,-4.4
1998/3/17,0.0,3.8,-4.9
1998/3/18,3.1,6.0,0.0
1998/3/19,8.4,15.5,1.0
1998/3/20,8.7,17.6,2.7
1998/3/21,3.4,7.3,0.6
1998/3/22,2.0,7.1,-1.5
1998/3/23,1.5,5.8,-1.7
1998/3/24,5.0,10.6,-0.8
1998/3/25,7.8,14.1,2.3
1998/3/26,8.6,16.3,1.4
1998/3/27,8.0,12.9,4.2
1998/3/28,9.8,15.8,2.1
1998/3/29,13.9,18.9,9.8
1998/3/30,10.6,17.9,4.3
1998/3/31,4.0,10.8,-1.0
