ダウンロードした時刻：2019/10/10 15:52:28

,敦賀,敦賀,敦賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/12/1,12.0,15.7,8.7
1982/12/2,11.3,15.5,8.3
1982/12/3,9.9,13.2,5.4
1982/12/4,10.5,15.6,4.8
1982/12/5,12.0,15.2,10.3
1982/12/6,4.3,11.2,2.1
1982/12/7,6.4,9.5,1.5
1982/12/8,7.4,9.1,5.6
1982/12/9,8.5,11.9,5.2
1982/12/10,10.3,13.9,7.2
1982/12/11,12.8,17.4,10.8
1982/12/12,8.0,11.5,5.1
1982/12/13,5.3,8.0,4.0
1982/12/14,6.2,9.8,3.5
1982/12/15,6.2,8.9,2.2
1982/12/16,7.6,10.9,3.7
1982/12/17,7.7,10.6,5.3
1982/12/18,1.7,5.6,0.5
1982/12/19,4.7,8.5,1.0
1982/12/20,6.8,11.0,2.7
1982/12/21,8.0,11.8,5.1
1982/12/22,10.3,11.1,6.3
1982/12/23,9.4,11.6,7.4
1982/12/24,9.1,12.3,6.5
1982/12/25,7.7,10.0,4.1
1982/12/26,6.7,8.3,4.0
1982/12/27,6.9,10.5,5.0
1982/12/28,6.8,11.1,2.1
1982/12/29,7.8,12.3,2.2
1982/12/30,7.5,10.1,5.2
1982/12/31,6.0,6.9,5.1
1983/1/1,6.2,7.9,4.1
1983/1/2,4.7,8.8,0.3
1983/1/3,5.2,8.0,1.3
1983/1/4,6.3,9.7,2.2
1983/1/5,7.9,9.3,6.7
1983/1/6,8.3,11.0,4.7
1983/1/7,9.1,12.3,2.4
1983/1/8,9.3,13.6,4.2
1983/1/9,3.8,6.2,1.2
1983/1/10,1.3,2.8,-0.3
1983/1/11,2.1,3.9,0.3
1983/1/12,2.5,4.2,1.3
1983/1/13,2.5,5.9,0.8
1983/1/14,1.7,3.4,0.5
1983/1/15,4.1,6.4,1.5
1983/1/16,4.7,8.2,0.3
1983/1/17,6.0,8.4,3.9
1983/1/18,5.6,7.0,4.0
1983/1/19,4.7,6.7,1.7
1983/1/20,0.4,3.6,-0.5
1983/1/21,1.8,4.3,-0.5
1983/1/22,0.8,2.1,-1.3
1983/1/23,1.5,3.8,-1.5
1983/1/24,3.5,5.8,0.7
1983/1/25,4.1,9.4,0.5
1983/1/26,5.6,9.7,1.8
1983/1/27,3.9,9.6,-0.3
1983/1/28,6.7,12.5,1.4
1983/1/29,7.6,14.1,2.6
1983/1/30,7.4,12.2,3.5
1983/1/31,3.7,7.2,-1.0
1983/2/1,7.1,12.0,-1.2
1983/2/2,7.3,10.4,5.7
1983/2/3,4.6,6.6,3.6
1983/2/4,4.1,7.4,-0.3
1983/2/5,4.8,9.0,-1.4
1983/2/6,5.8,11.5,2.6
1983/2/7,4.3,6.7,0.5
1983/2/8,2.6,5.5,0.2
1983/2/9,2.0,3.9,-0.1
1983/2/10,2.0,4.1,0.3
1983/2/11,1.8,4.0,-0.8
1983/2/12,1.3,3.5,-0.9
1983/2/13,-0.2,1.7,-2.0
1983/2/14,1.7,3.8,-0.4
1983/2/15,4.6,7.9,1.5
1983/2/16,4.6,9.2,0.3
1983/2/17,3.7,7.7,0.2
1983/2/18,3.5,8.4,-1.2
1983/2/19,1.5,5.2,-2.6
1983/2/20,1.5,6.1,-1.3
1983/2/21,0.8,3.1,-0.9
1983/2/22,2.3,5.9,-0.6
1983/2/23,4.8,8.6,-0.5
1983/2/24,5.1,9.2,1.1
1983/2/25,4.6,7.3,2.2
1983/2/26,3.2,5.3,1.5
1983/2/27,5.1,7.5,1.9
1983/2/28,5.3,10.7,0.1
1983/3/1,7.6,13.9,-0.7
1983/3/2,11.3,15.2,7.3
1983/3/3,7.7,12.2,5.6
1983/3/4,5.1,6.6,3.8
1983/3/5,2.9,6.4,0.4
1983/3/6,3.4,6.1,1.0
1983/3/7,2.6,5.3,0.6
1983/3/8,2.2,5.1,-0.3
1983/3/9,4.6,8.8,-2.0
1983/3/10,6.2,8.8,4.0
1983/3/11,8.2,12.6,3.1
1983/3/12,10.1,15.0,1.8
1983/3/13,7.8,10.7,4.6
1983/3/14,3.3,5.1,1.1
1983/3/15,4.6,10.7,0.2
1983/3/16,7.3,11.8,2.1
1983/3/17,7.0,13.8,3.9
1983/3/18,3.4,5.4,1.6
1983/3/19,5.3,9.3,0.9
1983/3/20,11.0,17.0,1.2
1983/3/21,11.3,14.9,8.9
1983/3/22,11.8,15.0,6.0
1983/3/23,13.2,15.2,12.4
1983/3/24,9.6,15.5,7.2
1983/3/25,8.1,11.8,6.3
1983/3/26,7.8,11.9,3.3
1983/3/27,7.9,10.6,5.3
1983/3/28,8.6,13.0,4.8
1983/3/29,8.1,10.3,4.0
1983/3/30,9.2,12.1,5.8
1983/3/31,10.9,16.9,5.0
