ダウンロードした時刻：2019/10/10 16:06:21

,舞鶴,舞鶴,舞鶴
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,4.2,6.5,3.4
1995/12/2,6.1,9.3,3.5
1995/12/3,6.9,10.6,4.6
1995/12/4,5.9,11.1,2.3
1995/12/5,4.5,10.1,0.6
1995/12/6,3.0,8.0,0.2
1995/12/7,3.4,8.7,1.1
1995/12/8,3.3,5.7,1.2
1995/12/9,5.0,8.2,2.3
1995/12/10,3.5,10.3,0.8
1995/12/11,5.6,13.9,-0.9
1995/12/12,7.0,9.8,4.0
1995/12/13,5.0,10.3,0.5
1995/12/14,6.3,13.2,-0.5
1995/12/15,8.2,11.3,5.3
1995/12/16,5.2,7.8,2.3
1995/12/17,4.8,8.3,2.4
1995/12/18,6.8,9.1,4.8
1995/12/19,5.9,8.6,2.8
1995/12/20,5.8,11.2,3.0
1995/12/21,5.0,7.0,2.0
1995/12/22,5.3,9.8,2.2
1995/12/23,6.5,12.2,2.1
1995/12/24,5.1,11.3,-0.1
1995/12/25,0.1,1.9,-0.8
1995/12/26,0.7,2.6,-1.2
1995/12/27,1.7,5.0,-0.9
1995/12/28,1.4,6.2,-2.9
1995/12/29,3.1,7.4,-0.4
1995/12/30,1.9,5.6,-0.4
1995/12/31,2.9,7.5,-0.3
1996/1/1,3.8,5.5,2.1
1996/1/2,1.9,7.7,-1.7
1996/1/3,4.3,12.2,-1.0
1996/1/4,1.0,2.8,0.1
1996/1/5,1.9,3.1,0.6
1996/1/6,3.7,6.4,1.7
1996/1/7,3.4,9.7,0.3
1996/1/8,5.6,12.0,-0.8
1996/1/9,-1.1,0.0,-2.0
1996/1/10,0.5,2.3,-1.7
1996/1/11,2.0,7.6,-0.5
1996/1/12,3.7,8.0,-0.2
1996/1/13,2.5,8.3,-1.2
1996/1/14,6.3,12.8,-1.6
1996/1/15,9.8,12.7,8.0
1996/1/16,7.5,11.2,3.3
1996/1/17,4.3,8.2,2.0
1996/1/18,3.5,6.6,2.0
1996/1/19,3.9,7.7,0.9
1996/1/20,3.9,8.5,0.9
1996/1/21,3.2,9.7,-0.2
1996/1/22,2.6,6.4,-1.0
1996/1/23,3.2,6.8,0.9
1996/1/24,0.7,2.6,0.0
1996/1/25,0.7,3.5,-1.1
1996/1/26,0.5,2.5,-1.1
1996/1/27,0.6,5.2,-1.7
1996/1/28,0.9,7.5,-3.4
1996/1/29,2.7,8.1,-0.7
1996/1/30,0.2,1.9,-1.2
1996/1/31,-0.3,1.9,-2.5
1996/2/1,-0.2,3.6,-2.4
1996/2/2,-1.6,1.2,-3.3
1996/2/3,-0.3,2.9,-4.0
1996/2/4,0.6,5.6,-2.5
1996/2/5,2.2,8.6,-2.6
1996/2/6,0.0,1.9,-1.6
1996/2/7,1.1,4.2,-1.3
1996/2/8,1.5,6.9,-2.6
1996/2/9,1.9,6.1,-1.2
1996/2/10,-0.2,2.6,-1.8
1996/2/11,1.3,6.8,-1.6
1996/2/12,4.5,11.9,-0.8
1996/2/13,6.1,17.2,0.6
1996/2/14,8.1,17.5,2.2
1996/2/15,6.6,9.1,4.8
1996/2/16,2.8,4.9,1.0
1996/2/17,1.3,2.8,-0.2
1996/2/18,1.5,4.1,-0.3
1996/2/19,0.2,3.9,-2.0
1996/2/20,0.6,4.3,-2.1
1996/2/21,0.0,2.2,-1.8
1996/2/22,0.4,4.0,-2.4
1996/2/23,1.2,5.2,-1.7
1996/2/24,1.8,5.2,-0.6
1996/2/25,1.3,6.3,-2.6
1996/2/26,3.5,8.0,0.6
1996/2/27,4.9,10.7,0.7
1996/2/28,5.1,9.5,-0.6
1996/2/29,6.0,14.0,-2.0
1996/3/1,6.1,10.3,2.4
1996/3/2,2.1,5.7,0.5
1996/3/3,2.7,7.5,-0.8
1996/3/4,4.0,11.1,-1.6
1996/3/5,1.9,4.1,-0.1
1996/3/6,3.4,8.3,-1.0
1996/3/7,2.3,7.1,-1.9
1996/3/8,7.8,11.7,3.2
1996/3/9,4.4,6.8,0.7
1996/3/10,3.2,8.0,-0.6
1996/3/11,3.9,12.3,0.2
1996/3/12,2.1,5.6,-0.4
1996/3/13,4.5,13.9,-1.8
1996/3/14,7.6,16.8,0.0
1996/3/15,6.8,8.2,5.1
1996/3/16,8.0,12.9,2.9
1996/3/17,11.7,15.7,7.6
1996/3/18,5.4,7.8,-0.5
1996/3/19,2.5,6.3,-1.3
1996/3/20,5.0,9.1,1.5
1996/3/21,9.5,16.5,0.4
1996/3/22,10.1,13.3,6.4
1996/3/23,5.6,7.3,4.2
1996/3/24,7.3,10.9,4.1
1996/3/25,8.2,9.8,5.7
1996/3/26,7.1,12.7,3.0
1996/3/27,7.6,16.4,0.9
1996/3/28,7.4,12.0,3.0
1996/3/29,10.1,16.8,3.1
1996/3/30,16.6,22.0,11.4
1996/3/31,11.9,14.7,10.1
