ダウンロードした時刻：2019/10/10 15:49:21

,高山,高山,高山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/12/1,3.6,5.7,2.3
2002/12/2,3.5,6.9,1.7
2002/12/3,4.0,10.9,0.5
2002/12/4,6.0,8.9,2.4
2002/12/5,8.8,13.7,6.7
2002/12/6,3.6,7.2,1.7
2002/12/7,2.3,5.1,0.1
2002/12/8,2.1,4.5,0.1
2002/12/9,1.2,4.6,-0.4
2002/12/10,-0.2,2.4,-2.1
2002/12/11,-1.6,0.6,-4.5
2002/12/12,0.3,3.3,-1.7
2002/12/13,-1.0,0.8,-2.1
2002/12/14,-1.8,2.9,-4.8
2002/12/15,-1.2,4.6,-4.5
2002/12/16,2.2,11.2,-2.1
2002/12/17,2.2,5.1,-2.6
2002/12/18,1.9,10.9,-2.4
2002/12/19,2.9,5.7,0.6
2002/12/20,1.4,4.5,-1.5
2002/12/21,0.2,1.2,-1.5
2002/12/22,2.4,5.0,0.9
2002/12/23,1.3,7.7,-2.4
2002/12/24,3.0,8.5,-0.2
2002/12/25,2.2,6.4,-1.2
2002/12/26,-2.4,-0.1,-3.6
2002/12/27,-3.1,-0.7,-6.0
2002/12/28,-4.3,1.1,-11.7
2002/12/29,-0.8,1.8,-3.2
2002/12/30,-2.4,3.2,-8.0
2002/12/31,0.7,3.6,-1.5
2003/1/1,0.3,5.0,-3.2
2003/1/2,-3.9,-1.0,-8.6
2003/1/3,-3.1,0.7,-8.5
2003/1/4,-0.5,2.5,-3.9
2003/1/5,-4.1,-2.4,-5.3
2003/1/6,-4.6,0.2,-9.1
2003/1/7,-4.8,0.4,-10.6
2003/1/8,-3.2,3.1,-8.2
2003/1/9,-5.1,2.6,-9.8
2003/1/10,-0.7,5.9,-4.7
2003/1/11,-1.0,4.9,-4.7
2003/1/12,-1.1,6.0,-5.1
2003/1/13,-1.4,6.3,-5.9
2003/1/14,-1.1,6.2,-5.0
2003/1/15,-4.5,-1.7,-8.6
2003/1/16,-6.9,-1.4,-10.8
2003/1/17,-2.1,5.2,-9.5
2003/1/18,1.3,7.0,-3.2
2003/1/19,-0.8,2.3,-3.4
2003/1/20,0.7,5.3,-1.5
2003/1/21,-2.4,0.1,-6.2
2003/1/22,-4.1,1.2,-9.6
2003/1/23,-1.4,1.5,-3.7
2003/1/24,-2.1,0.3,-4.3
2003/1/25,-2.6,1.6,-7.0
2003/1/26,-1.6,3.5,-7.4
2003/1/27,1.5,2.4,0.5
2003/1/28,0.6,3.1,-2.1
2003/1/29,-5.5,-1.8,-8.0
2003/1/30,-4.7,-0.9,-7.7
2003/1/31,-3.7,0.0,-7.7
2003/2/1,-3.7,0.8,-10.3
2003/2/2,-6.6,0.4,-11.7
2003/2/3,-5.4,1.7,-12.6
2003/2/4,-3.4,3.0,-8.0
2003/2/5,-2.0,3.6,-5.7
2003/2/6,-3.6,1.3,-9.1
2003/2/7,-3.3,9.2,-11.5
2003/2/8,-1.6,4.3,-8.1
2003/2/9,3.7,9.6,1.0
2003/2/10,3.3,9.7,0.8
2003/2/11,2.4,4.3,1.1
2003/2/12,-0.5,2.9,-5.5
2003/2/13,-1.6,4.9,-7.1
2003/2/14,0.1,4.3,-2.0
2003/2/15,0.3,6.8,-4.4
2003/2/16,0.1,3.2,-1.3
2003/2/17,1.1,5.8,-3.0
2003/2/18,-0.9,7.5,-5.9
2003/2/19,0.3,8.8,-5.2
2003/2/20,-0.7,3.2,-4.2
2003/2/21,-0.4,4.7,-4.0
2003/2/22,-1.2,0.9,-4.4
2003/2/23,1.7,3.9,-0.7
2003/2/24,0.9,4.3,-1.4
2003/2/25,0.5,6.3,-3.9
2003/2/26,0.9,8.9,-6.3
2003/2/27,0.3,3.6,-3.1
2003/2/28,0.5,10.0,-7.4
2003/3/1,2.4,4.1,-0.1
2003/3/2,3.4,8.1,-0.2
2003/3/3,1.7,5.9,-1.5
2003/3/4,-4.1,-1.3,-7.5
2003/3/5,-3.9,2.9,-10.1
2003/3/6,-0.1,8.2,-7.0
2003/3/7,3.3,5.7,1.5
2003/3/8,1.2,4.1,-0.6
2003/3/9,-1.3,2.6,-3.2
2003/3/10,-1.7,2.7,-5.5
2003/3/11,-2.2,2.5,-6.5
2003/3/12,-1.2,3.9,-5.6
2003/3/13,-1.3,6.8,-8.1
2003/3/14,0.8,10.5,-6.3
2003/3/15,2.6,8.6,-0.4
2003/3/16,3.2,12.2,-3.0
2003/3/17,3.4,8.1,-0.5
2003/3/18,2.0,8.3,-2.1
2003/3/19,0.8,7.9,-4.8
2003/3/20,0.9,5.7,-2.9
2003/3/21,1.2,10.9,-6.4
2003/3/22,0.9,6.8,-2.9
2003/3/23,3.5,15.0,-5.4
2003/3/24,7.2,17.2,-2.0
2003/3/25,6.3,10.7,4.3
2003/3/26,6.3,15.2,0.3
2003/3/27,7.6,16.7,-0.9
2003/3/28,5.4,10.6,2.1
2003/3/29,3.4,8.7,-1.9
2003/3/30,3.4,12.4,-4.4
2003/3/31,6.6,18.1,-1.8
