ダウンロードした時刻：2019/10/10 16:13:53

,潮岬,潮岬,潮岬
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/12/1,17.2,19.0,14.3
1993/12/2,15.6,18.2,11.9
1993/12/3,17.9,20.4,15.1
1993/12/4,10.5,15.1,6.6
1993/12/5,8.7,11.7,5.3
1993/12/6,10.1,13.4,8.1
1993/12/7,10.1,14.2,6.8
1993/12/8,11.7,15.6,9.2
1993/12/9,11.1,15.1,7.9
1993/12/10,14.4,18.3,10.0
1993/12/11,12.1,15.3,8.4
1993/12/12,10.3,13.9,6.3
1993/12/13,13.9,17.2,9.1
1993/12/14,11.9,14.0,8.1
1993/12/15,8.3,12.0,6.0
1993/12/16,7.7,11.9,3.6
1993/12/17,8.1,10.5,5.1
1993/12/18,6.6,10.0,4.2
1993/12/19,9.0,12.8,4.9
1993/12/20,9.8,11.3,8.1
1993/12/21,9.7,14.7,4.5
1993/12/22,5.7,8.6,3.1
1993/12/23,6.6,8.8,5.0
1993/12/24,8.6,12.3,6.3
1993/12/25,9.9,14.2,6.2
1993/12/26,11.2,16.2,6.8
1993/12/27,10.0,12.1,8.0
1993/12/28,9.0,12.5,5.2
1993/12/29,7.9,12.3,4.6
1993/12/30,10.6,15.1,6.6
1993/12/31,12.3,16.6,5.4
1994/1/1,6.7,10.4,3.6
1994/1/2,9.4,13.4,6.2
1994/1/3,9.7,13.9,7.1
1994/1/4,10.4,13.2,8.0
1994/1/5,9.3,12.7,5.7
1994/1/6,11.3,15.2,7.2
1994/1/7,9.2,11.7,4.1
1994/1/8,7.7,10.0,3.5
1994/1/9,10.1,14.4,6.9
1994/1/10,10.6,14.9,7.2
1994/1/11,11.7,15.8,8.7
1994/1/12,11.0,13.8,8.9
1994/1/13,8.4,10.7,5.7
1994/1/14,7.7,12.6,4.6
1994/1/15,6.3,10.2,3.0
1994/1/16,8.8,13.4,3.9
1994/1/17,15.3,19.2,9.0
1994/1/18,12.3,16.3,7.9
1994/1/19,5.6,8.0,3.2
1994/1/20,4.6,8.3,2.0
1994/1/21,5.4,8.3,4.2
1994/1/22,5.3,8.9,3.2
1994/1/23,5.4,8.8,2.5
1994/1/24,4.1,7.7,1.2
1994/1/25,8.5,12.6,3.9
1994/1/26,12.0,16.4,7.0
1994/1/27,9.9,13.8,6.1
1994/1/28,7.2,10.4,5.0
1994/1/29,5.5,8.9,1.6
1994/1/30,2.9,7.3,0.5
1994/1/31,5.6,10.3,0.9
1994/2/1,12.2,18.3,7.6
1994/2/2,6.6,8.7,5.4
1994/2/3,5.5,7.9,3.7
1994/2/4,6.7,10.4,2.9
1994/2/5,10.3,14.6,6.9
1994/2/6,10.7,14.6,6.5
1994/2/7,11.4,14.3,8.9
1994/2/8,11.2,15.0,5.7
1994/2/9,10.3,13.5,4.6
1994/2/10,3.9,6.1,2.3
1994/2/11,4.6,7.8,1.4
1994/2/12,5.3,9.1,2.4
1994/2/13,4.8,7.7,1.8
1994/2/14,7.6,11.1,4.6
1994/2/15,7.5,11.0,4.5
1994/2/16,7.5,12.7,3.2
1994/2/17,7.8,12.7,3.8
1994/2/18,8.8,13.3,3.8
1994/2/19,11.8,16.1,6.5
1994/2/20,11.9,14.2,10.0
1994/2/21,11.0,14.6,4.9
1994/2/22,7.9,11.0,5.0
1994/2/23,8.3,10.9,4.4
1994/2/24,5.1,10.3,2.6
1994/2/25,6.4,12.1,1.7
1994/2/26,7.5,12.7,4.4
1994/2/27,6.5,11.8,2.9
1994/2/28,8.3,12.7,4.0
1994/3/1,10.2,13.6,7.2
1994/3/2,8.7,13.7,5.1
1994/3/3,7.5,12.1,3.6
1994/3/4,7.6,12.2,3.4
1994/3/5,9.7,14.2,4.4
1994/3/6,8.4,12.1,3.9
1994/3/7,9.9,13.0,7.5
1994/3/8,13.6,17.4,9.6
1994/3/9,13.9,14.8,12.0
1994/3/10,9.6,13.8,5.0
1994/3/11,7.3,11.8,1.8
1994/3/12,7.9,9.3,6.2
1994/3/13,9.3,12.9,7.5
1994/3/14,8.7,12.8,5.6
1994/3/15,6.9,10.7,3.9
1994/3/16,7.6,10.9,2.4
1994/3/17,10.0,14.0,6.8
1994/3/18,9.9,14.9,4.7
1994/3/19,11.1,15.1,8.1
1994/3/20,10.9,14.8,6.5
1994/3/21,9.4,13.8,4.6
1994/3/22,10.1,12.6,7.0
1994/3/23,11.6,14.1,9.9
1994/3/24,10.8,14.1,7.4
1994/3/25,7.9,9.9,5.9
1994/3/26,8.2,13.1,5.1
1994/3/27,8.3,13.0,4.4
1994/3/28,12.7,16.9,6.6
1994/3/29,14.0,18.0,9.4
1994/3/30,11.3,15.0,5.7
1994/3/31,14.6,19.3,10.2
