ダウンロードした時刻：2019/10/10 16:16:12

,高松,高松,高松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,8.5,12.1,4.9
1995/12/2,9.4,14.3,3.9
1995/12/3,9.5,14.2,5.5
1995/12/4,9.0,12.4,4.1
1995/12/5,7.0,10.5,3.9
1995/12/6,6.6,9.2,5.0
1995/12/7,6.7,11.0,3.7
1995/12/8,6.8,10.6,3.1
1995/12/9,6.4,9.9,2.5
1995/12/10,5.1,11.2,-0.3
1995/12/11,6.1,12.2,-0.5
1995/12/12,8.1,12.7,3.4
1995/12/13,6.1,11.0,1.9
1995/12/14,8.5,13.6,1.9
1995/12/15,11.3,13.6,7.8
1995/12/16,6.9,10.8,2.4
1995/12/17,8.2,12.0,3.8
1995/12/18,5.4,10.1,-0.1
1995/12/19,5.8,9.7,3.3
1995/12/20,6.6,12.4,0.5
1995/12/21,8.4,11.0,4.8
1995/12/22,5.8,11.2,0.6
1995/12/23,7.4,12.7,2.1
1995/12/24,6.4,12.9,2.4
1995/12/25,2.4,4.8,1.4
1995/12/26,3.3,6.7,1.6
1995/12/27,4.2,8.1,0.5
1995/12/28,3.7,9.1,-2.3
1995/12/29,5.8,9.2,0.2
1995/12/30,4.3,6.4,1.7
1995/12/31,4.3,8.6,-2.0
1996/1/1,7.9,10.8,1.5
1996/1/2,3.7,9.6,-1.7
1996/1/3,6.0,15.4,-1.5
1996/1/4,3.7,7.0,0.0
1996/1/5,4.4,11.8,-3.2
1996/1/6,6.2,11.1,0.6
1996/1/7,7.1,12.6,2.3
1996/1/8,5.5,10.8,2.1
1996/1/9,2.0,3.8,0.4
1996/1/10,5.2,8.0,3.5
1996/1/11,6.7,11.6,2.9
1996/1/12,5.7,10.6,1.0
1996/1/13,4.5,11.0,-1.7
1996/1/14,6.8,11.0,0.4
1996/1/15,11.0,15.9,7.5
1996/1/16,10.2,13.2,5.9
1996/1/17,6.4,10.4,1.7
1996/1/18,5.6,9.1,2.8
1996/1/19,4.9,8.7,1.5
1996/1/20,6.3,10.1,4.3
1996/1/21,6.5,11.1,2.4
1996/1/22,4.3,7.4,0.1
1996/1/23,6.0,9.9,1.7
1996/1/24,4.6,7.9,1.6
1996/1/25,3.0,6.8,-1.5
1996/1/26,3.5,6.9,0.3
1996/1/27,2.6,8.6,-2.8
1996/1/28,4.0,9.8,-2.9
1996/1/29,6.6,10.8,1.8
1996/1/30,4.0,6.9,1.1
1996/1/31,3.4,6.0,1.1
1996/2/1,2.5,5.3,0.4
1996/2/2,1.1,4.5,-1.4
1996/2/3,2.9,6.9,-2.6
1996/2/4,4.6,10.1,-0.9
1996/2/5,4.0,11.2,-1.2
1996/2/6,2.5,6.2,0.4
1996/2/7,2.6,7.4,-0.8
1996/2/8,3.5,8.6,-3.8
1996/2/9,5.2,9.1,1.1
1996/2/10,2.6,6.1,0.5
1996/2/11,3.7,9.8,-1.9
1996/2/12,5.2,12.4,-1.7
1996/2/13,8.5,14.2,2.8
1996/2/14,11.8,22.9,3.4
1996/2/15,10.8,15.5,5.5
1996/2/16,6.6,12.4,2.7
1996/2/17,1.9,4.0,0.6
1996/2/18,3.5,7.8,0.6
1996/2/19,3.2,7.0,0.5
1996/2/20,3.3,6.7,0.1
1996/2/21,3.9,8.1,1.1
1996/2/22,3.9,9.0,-1.4
1996/2/23,5.2,9.4,0.7
1996/2/24,4.6,8.6,-0.2
1996/2/25,3.5,6.1,0.9
1996/2/26,6.0,9.9,1.6
1996/2/27,7.0,11.8,4.6
1996/2/28,6.1,12.0,1.1
1996/2/29,5.4,10.7,-1.1
1996/3/1,7.4,12.6,4.6
1996/3/2,6.4,10.8,2.3
1996/3/3,5.5,11.5,0.2
1996/3/4,7.5,13.2,0.9
1996/3/5,3.8,7.6,0.0
1996/3/6,3.7,9.1,-1.9
1996/3/7,4.1,6.9,-0.6
1996/3/8,9.5,16.3,6.2
1996/3/9,7.0,9.2,5.0
1996/3/10,6.2,11.5,0.3
1996/3/11,6.7,13.3,1.4
1996/3/12,4.9,9.0,1.6
1996/3/13,6.0,11.2,0.3
1996/3/14,8.3,14.5,0.1
1996/3/15,9.3,14.3,6.6
1996/3/16,8.3,12.7,2.7
1996/3/17,12.3,17.2,8.3
1996/3/18,9.7,12.4,4.3
1996/3/19,7.4,12.8,0.7
1996/3/20,7.5,10.8,5.2
1996/3/21,10.5,15.9,4.0
1996/3/22,11.8,16.5,8.5
1996/3/23,8.0,11.0,4.5
1996/3/24,5.3,7.4,0.9
1996/3/25,9.9,14.8,6.0
1996/3/26,10.5,16.1,4.5
1996/3/27,9.8,13.1,5.6
1996/3/28,12.1,16.6,7.8
1996/3/29,9.4,11.5,8.2
1996/3/30,14.2,18.5,10.4
1996/3/31,14.4,18.7,12.0
