ダウンロードした時刻：2019/10/10 16:05:02

,鳥取,鳥取,鳥取
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,9.7,14.0,6.0
1998/12/2,9.6,12.0,5.9
1998/12/3,7.6,11.2,4.8
1998/12/4,9.0,15.4,3.2
1998/12/5,10.2,14.9,7.1
1998/12/6,8.8,11.2,4.3
1998/12/7,10.1,14.5,3.2
1998/12/8,9.6,11.9,6.5
1998/12/9,5.3,6.6,3.9
1998/12/10,5.0,9.0,1.7
1998/12/11,5.6,9.1,1.7
1998/12/12,5.9,11.6,1.6
1998/12/13,7.6,15.7,1.6
1998/12/14,10.1,16.4,3.8
1998/12/15,9.2,13.4,5.1
1998/12/16,8.6,15.0,4.7
1998/12/17,9.4,14.5,5.3
1998/12/18,7.5,14.0,2.8
1998/12/19,9.4,18.6,3.1
1998/12/20,10.0,13.7,6.3
1998/12/21,6.7,11.7,2.2
1998/12/22,8.5,16.5,1.5
1998/12/23,9.5,13.6,6.9
1998/12/24,7.7,10.2,5.2
1998/12/25,7.5,11.7,5.0
1998/12/26,7.4,9.7,2.8
1998/12/27,6.6,13.4,1.6
1998/12/28,7.5,10.9,4.8
1998/12/29,8.6,14.5,3.9
1998/12/30,6.5,10.6,3.1
1998/12/31,2.3,5.5,0.7
1999/1/1,2.1,3.7,0.7
1999/1/2,5.0,8.2,1.2
1999/1/3,5.3,7.7,3.5
1999/1/4,4.8,7.7,2.4
1999/1/5,5.8,13.0,1.9
1999/1/6,8.0,14.6,1.9
1999/1/7,5.2,,
1999/1/8,-1.0,2.0,-2.2
1999/1/9,-1.0,0.7,-1.9
1999/1/10,1.5,4.4,-1.7
1999/1/11,1.5,3.5,0.5
1999/1/12,1.0,2.5,0.2
1999/1/13,3.5,7.4,0.5
1999/1/14,3.0,6.0,1.3
1999/1/15,2.8,7.1,1.0
1999/1/16,4.0,8.2,0.8
1999/1/17,3.1,6.2,-1.4
1999/1/18,4.1,11.9,-1.2
1999/1/19,3.7,7.4,0.6
1999/1/20,5.4,11.6,1.3
1999/1/21,3.4,6.9,-0.4
1999/1/22,4.7,11.8,-0.9
1999/1/23,7.3,13.1,4.1
1999/1/24,6.4,12.1,3.2
1999/1/25,7.3,12.1,2.0
1999/1/26,6.1,10.6,1.3
1999/1/27,6.4,12.9,-0.4
1999/1/28,5.7,8.1,2.8
1999/1/29,2.4,5.5,0.4
1999/1/30,2.6,8.1,0.2
1999/1/31,3.9,10.9,-0.5
1999/2/1,5.1,10.1,0.1
1999/2/2,3.5,6.2,0.8
1999/2/3,-1.3,1.7,-4.0
1999/2/4,0.1,3.6,-3.1
1999/2/5,2.5,6.1,-0.2
1999/2/6,3.4,6.9,0.3
1999/2/7,4.9,11.0,0.5
1999/2/8,4.4,12.1,-0.4
1999/2/9,6.2,14.6,0.2
1999/2/10,4.7,7.9,1.2
1999/2/11,4.8,6.3,1.7
1999/2/12,1.0,4.3,-0.7
1999/2/13,0.0,2.0,-1.3
1999/2/14,1.8,5.6,-0.8
1999/2/15,3.2,7.3,0.4
1999/2/16,4.9,13.1,-0.9
1999/2/17,7.7,17.0,1.0
1999/2/18,5.9,8.1,4.6
1999/2/19,2.5,4.9,0.0
1999/2/20,2.3,6.9,-0.3
1999/2/21,0.2,1.9,-1.0
1999/2/22,2.7,7.5,-1.4
1999/2/23,4.8,10.0,1.0
1999/2/24,4.1,9.2,1.8
1999/2/25,6.3,11.1,1.5
1999/2/26,7.0,12.7,0.9
1999/2/27,5.6,10.5,1.2
1999/2/28,3.0,8.4,0.2
1999/3/1,6.4,15.0,-0.3
1999/3/2,7.6,13.7,1.7
1999/3/3,8.4,16.9,2.5
1999/3/4,9.9,18.8,2.2
1999/3/5,14.8,19.1,8.1
1999/3/6,8.0,11.6,5.0
1999/3/7,6.9,8.1,5.9
1999/3/8,7.0,10.0,5.2
1999/3/9,6.2,8.9,4.3
1999/3/10,7.0,12.0,3.6
1999/3/11,6.7,11.1,3.9
1999/3/12,5.6,10.3,1.4
1999/3/13,9.4,18.6,-0.6
1999/3/14,15.1,20.6,11.4
1999/3/15,11.9,17.7,8.5
1999/3/16,9.0,13.0,4.2
1999/3/17,12.6,22.1,2.4
1999/3/18,17.8,21.8,9.7
1999/3/19,12.1,18.6,5.5
1999/3/20,5.7,6.6,3.9
1999/3/21,6.1,9.1,2.5
1999/3/22,3.8,7.2,1.8
1999/3/23,4.5,10.7,-1.0
1999/3/24,11.0,19.3,1.4
1999/3/25,14.1,18.9,9.1
1999/3/26,14.7,18.2,12.4
1999/3/27,8.0,12.6,2.9
1999/3/28,6.2,11.0,1.0
1999/3/29,4.9,8.6,2.8
1999/3/30,6.0,10.9,1.5
1999/3/31,9.3,15.3,5.7
