ダウンロードした時刻：2019/10/10 16:07:45

,京都,京都,京都
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/12/1,9.0,15.6,4.4
2001/12/2,9.0,15.9,3.9
2001/12/3,9.6,14.2,4.6
2001/12/4,10.3,14.8,6.1
2001/12/5,9.5,15.2,3.8
2001/12/6,9.7,12.3,6.4
2001/12/7,7.8,13.7,4.2
2001/12/8,7.0,12.9,1.9
2001/12/9,7.8,10.9,5.5
2001/12/10,6.5,9.7,4.7
2001/12/11,6.0,9.1,4.0
2001/12/12,7.1,12.7,2.3
2001/12/13,10.1,13.7,6.8
2001/12/14,5.5,8.4,2.8
2001/12/15,4.3,8.6,1.3
2001/12/16,5.8,11.8,1.3
2001/12/17,4.6,8.9,0.6
2001/12/18,5.5,10.1,1.6
2001/12/19,6.0,11.8,0.8
2001/12/20,5.7,9.9,2.7
2001/12/21,5.2,6.5,2.8
2001/12/22,4.3,7.5,2.2
2001/12/23,3.9,8.6,-0.5
2001/12/24,5.3,11.9,0.5
2001/12/25,4.6,8.0,-0.2
2001/12/26,5.2,9.9,3.2
2001/12/27,6.2,11.3,2.9
2001/12/28,5.5,9.9,3.0
2001/12/29,5.1,10.1,-0.1
2001/12/30,5.8,9.7,2.1
2001/12/31,4.6,10.8,-0.3
2002/1/1,5.2,9.7,1.0
2002/1/2,2.2,5.6,-2.8
2002/1/3,1.3,6.3,-2.8
2002/1/4,4.6,7.9,1.4
2002/1/5,5.7,9.3,1.4
2002/1/6,3.4,6.8,1.1
2002/1/7,4.9,9.0,0.0
2002/1/8,4.4,7.9,1.0
2002/1/9,4.6,9.0,0.6
2002/1/10,5.6,10.2,0.0
2002/1/11,8.2,14.2,3.7
2002/1/12,7.8,15.1,1.4
2002/1/13,8.9,15.5,4.5
2002/1/14,8.8,14.0,3.7
2002/1/15,10.4,11.9,9.4
2002/1/16,11.8,14.8,9.6
2002/1/17,7.9,10.9,4.7
2002/1/18,5.2,7.3,3.8
2002/1/19,5.4,10.1,1.6
2002/1/20,7.2,12.0,-0.1
2002/1/21,10.1,11.9,7.1
2002/1/22,5.2,8.8,1.8
2002/1/23,3.7,7.9,0.1
2002/1/24,3.7,9.4,-1.3
2002/1/25,4.2,7.8,0.5
2002/1/26,4.7,8.3,0.5
2002/1/27,6.9,10.2,3.6
2002/1/28,5.5,9.3,2.8
2002/1/29,3.3,7.4,0.5
2002/1/30,3.8,8.9,-0.9
2002/1/31,3.4,7.6,0.7
2002/2/1,3.3,9.5,-2.0
2002/2/2,4.2,8.7,0.2
2002/2/3,6.3,10.0,3.1
2002/2/4,7.2,12.2,3.9
2002/2/5,7.1,12.5,2.8
2002/2/6,7.1,13.2,3.2
2002/2/7,6.9,13.7,2.5
2002/2/8,6.5,11.7,0.6
2002/2/9,5.3,9.6,1.9
2002/2/10,3.0,7.6,1.7
2002/2/11,2.6,6.6,0.6
2002/2/12,3.2,8.4,0.1
2002/2/13,3.6,8.5,-0.6
2002/2/14,4.0,10.1,0.9
2002/2/15,3.0,7.6,0.3
2002/2/16,4.5,11.0,-1.9
2002/2/17,6.2,9.0,3.2
2002/2/18,5.5,9.2,0.5
2002/2/19,2.6,5.6,0.0
2002/2/20,6.4,12.1,2.7
2002/2/21,8.2,15.3,0.3
2002/2/22,10.6,16.4,8.2
2002/2/23,9.5,14.1,5.9
2002/2/24,7.0,12.7,2.7
2002/2/25,6.5,13.9,0.0
2002/2/26,9.4,13.9,5.1
2002/2/27,9.9,14.5,5.0
2002/2/28,10.2,11.7,8.9
2002/3/1,10.9,15.9,8.0
2002/3/2,8.7,15.2,4.3
2002/3/3,6.1,11.5,2.2
2002/3/4,6.4,14.9,-0.3
2002/3/5,8.2,11.4,4.7
2002/3/6,9.7,14.3,5.5
2002/3/7,6.0,10.5,2.5
2002/3/8,5.0,10.2,1.3
2002/3/9,7.0,14.9,-0.5
2002/3/10,9.7,17.3,1.9
2002/3/11,11.2,17.1,6.8
2002/3/12,10.8,19.5,3.4
2002/3/13,10.1,17.5,4.0
2002/3/14,12.0,20.3,3.4
2002/3/15,14.5,19.4,11.6
2002/3/16,12.0,17.5,8.5
2002/3/17,12.8,21.6,6.7
2002/3/18,10.9,19.1,5.9
2002/3/19,10.7,17.0,3.2
2002/3/20,13.4,20.2,7.0
2002/3/21,14.4,20.6,7.7
2002/3/22,11.4,15.1,8.1
2002/3/23,8.8,13.1,4.5
2002/3/24,6.8,11.8,4.1
2002/3/25,8.1,14.7,2.0
2002/3/26,13.0,20.4,4.4
2002/3/27,11.4,14.8,6.4
2002/3/28,10.0,17.3,2.2
2002/3/29,12.8,18.3,7.3
2002/3/30,13.9,19.0,8.5
2002/3/31,12.9,20.6,6.7
