É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:50:55

,åFíJ,åFíJ,åFíJ
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1986/12/1,7.8,16.8,-0.5
1986/12/2,8.0,13.4,3.4
1986/12/3,4.8,6.9,1.3
1986/12/4,9.4,14.3,6.4
1986/12/5,8.4,13.5,3.1
1986/12/6,6.5,13.4,1.2
1986/12/7,8.4,18.3,2.4
1986/12/8,8.2,14.0,4.7
1986/12/9,5.7,14.0,-0.3
1986/12/10,6.8,13.9,-0.5
1986/12/11,10.7,16.0,3.9
1986/12/12,8.1,13.8,1.7
1986/12/13,8.8,14.5,2.0
1986/12/14,8.3,9.5,6.9
1986/12/15,6.4,8.7,3.6
1986/12/16,6.9,11.0,4.0
1986/12/17,6.0,11.9,0.8
1986/12/18,4.1,6.0,0.8
1986/12/19,8.2,11.7,4.0
1986/12/20,5.8,9.3,2.7
1986/12/21,3.2,8.2,-0.2
1986/12/22,4.4,7.6,1.1
1986/12/23,3.9,9.8,-0.1
1986/12/24,6.3,16.3,-2.2
1986/12/25,4.3,7.6,0.7
1986/12/26,7.5,11.9,2.4
1986/12/27,5.1,8.7,1.2
1986/12/28,1.3,3.1,0.3
1986/12/29,3.3,7.5,0.5
1986/12/30,3.8,12.5,-2.5
1986/12/31,5.3,10.8,0.1
1987/1/1,5.3,8.5,2.5
1987/1/2,2.5,4.1,0.6
1987/1/3,5.9,11.4,1.1
1987/1/4,5.7,10.4,2.0
1987/1/5,1.4,3.5,-0.4
1987/1/6,1.7,4.6,-0.8
1987/1/7,2.7,5.8,0.0
1987/1/8,6.2,14.5,-1.1
1987/1/9,6.2,13.8,-0.1
1987/1/10,3.0,7.9,-0.7
1987/1/11,0.7,6.3,-2.7
1987/1/12,-0.7,2.5,-4.9
1987/1/13,3.3,10.1,-2.8
1987/1/14,2.2,7.5,-2.0
1987/1/15,5.2,12.3,-1.6
1987/1/16,5.1,10.6,-0.9
1987/1/17,8.1,18.8,1.2
1987/1/18,5.0,10.5,1.2
1987/1/19,3.2,9.7,-1.6
1987/1/20,0.9,5.1,-3.3
1987/1/21,1.8,7.4,-2.5
1987/1/22,2.3,9.6,-4.2
1987/1/23,3.3,6.6,-1.2
1987/1/24,7.4,13.3,2.3
1987/1/25,2.4,7.4,-1.0
1987/1/26,1.4,7.2,-4.8
1987/1/27,3.4,10.7,-3.3
1987/1/28,4.9,12.5,-2.4
1987/1/29,5.0,12.5,-2.1
1987/1/30,6.0,16.0,-1.9
1987/1/31,4.4,9.4,0.6
1987/2/1,2.6,7.5,-0.7
1987/2/2,-0.2,1.1,-1.5
1987/2/3,1.4,3.4,-0.1
1987/2/4,2.4,4.7,0.9
1987/2/5,5.1,11.4,0.5
1987/2/6,6.6,12.5,0.8
1987/2/7,7.4,13.8,1.2
1987/2/8,7.5,14.0,2.5
1987/2/9,5.6,13.0,0.2
1987/2/10,8.1,18.5,-0.3
1987/2/11,11.6,22.6,2.9
1987/2/12,10.5,23.9,5.9
1987/2/13,4.8,6.1,3.5
1987/2/14,6.7,16.4,1.0
1987/2/15,4.9,10.4,1.6
1987/2/16,3.8,10.6,-1.7
1987/2/17,2.7,5.6,0.6
1987/2/18,1.3,2.4,0.4
1987/2/19,3.1,6.9,-0.4
1987/2/20,3.2,8.1,-1.2
1987/2/21,2.9,6.4,-1.8
1987/2/22,1.8,3.6,0.3
1987/2/23,6.5,12.6,2.0
1987/2/24,7.0,13.2,0.9
1987/2/25,3.4,8.8,-1.2
1987/2/26,1.7,6.5,-2.2
1987/2/27,3.6,9.5,-1.3
1987/2/28,3.8,10.1,-0.9
1987/3/1,2.3,7.7,-3.0
1987/3/2,2.2,8.2,-2.2
1987/3/3,4.2,11.9,-4.5
1987/3/4,9.2,16.8,0.5
1987/3/5,10.8,20.5,0.6
1987/3/6,9.0,17.2,3.6
1987/3/7,2.5,6.2,0.0
1987/3/8,3.2,8.1,-2.0
1987/3/9,6.3,11.6,1.7
1987/3/10,5.0,10.0,0.4
1987/3/11,3.5,7.8,0.5
1987/3/12,6.4,13.3,-0.8
1987/3/13,6.7,8.7,4.9
1987/3/14,10.9,14.9,6.7
1987/3/15,7.6,11.7,4.0
1987/3/16,7.2,13.8,1.9
1987/3/17,4.6,7.6,1.9
1987/3/18,8.8,14.5,1.6
1987/3/19,7.5,10.0,3.2
1987/3/20,10.5,17.8,6.3
1987/3/21,7.6,9.9,4.3
1987/3/22,10.9,15.4,7.8
1987/3/23,11.9,13.5,9.7
1987/3/24,13.4,17.7,11.1
1987/3/25,11.5,21.0,4.1
1987/3/26,6.0,11.9,2.4
1987/3/27,7.4,13.9,0.1
1987/3/28,8.5,13.4,2.9
1987/3/29,9.7,12.8,6.6
1987/3/30,11.0,18.3,3.4
1987/3/31,8.4,13.3,1.6
