É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:51:09

,åFíJ,åFíJ,åFíJ
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1997/12/1,7.8,9.5,4.7
1997/12/2,8.5,12.8,3.4
1997/12/3,3.3,7.5,-0.4
1997/12/4,4.4,11.0,-0.6
1997/12/5,4.9,12.4,-0.9
1997/12/6,8.2,13.4,1.7
1997/12/7,9.9,13.8,7.8
1997/12/8,10.8,13.0,7.4
1997/12/9,12.3,15.0,9.6
1997/12/10,9.2,13.8,4.0
1997/12/11,4.1,9.7,0.3
1997/12/12,6.1,11.4,0.8
1997/12/13,6.3,11.1,1.3
1997/12/14,4.1,10.4,-1.4
1997/12/15,6.8,14.3,-0.4
1997/12/16,8.3,13.7,3.6
1997/12/17,6.0,9.2,2.8
1997/12/18,9.4,15.3,3.6
1997/12/19,9.5,16.6,3.3
1997/12/20,10.8,19.2,4.5
1997/12/21,9.4,14.3,5.3
1997/12/22,4.3,6.6,0.3
1997/12/23,4.6,7.7,1.5
1997/12/24,5.0,9.7,0.6
1997/12/25,3.1,9.5,-1.3
1997/12/26,4.9,9.3,-1.4
1997/12/27,7.6,13.7,4.4
1997/12/28,8.9,14.7,4.6
1997/12/29,6.2,11.1,3.0
1997/12/30,5.4,9.2,3.3
1997/12/31,6.6,11.1,1.8
1998/1/1,4.2,10.0,-1.0
1998/1/2,5.7,10.9,0.1
1998/1/3,5.8,13.0,0.4
1998/1/4,5.4,12.8,0.2
1998/1/5,4.9,10.4,0.1
1998/1/6,4.3,11.8,-2.0
1998/1/7,4.7,10.0,-0.2
1998/1/8,0.3,3.7,-2.1
1998/1/9,2.3,6.6,-0.3
1998/1/10,2.7,9.0,-2.8
1998/1/11,1.9,6.1,-2.7
1998/1/12,0.8,3.3,-1.5
1998/1/13,1.4,7.6,-2.8
1998/1/14,3.1,8.1,-2.2
1998/1/15,0.7,3.7,-0.1
1998/1/16,2.4,6.7,-1.3
1998/1/17,1.3,5.7,-4.1
1998/1/18,4.1,8.7,1.6
1998/1/19,5.3,8.4,0.2
1998/1/20,2.1,8.2,-4.1
1998/1/21,3.6,12.4,-2.2
1998/1/22,3.7,10.6,-1.7
1998/1/23,4.1,8.1,1.3
1998/1/24,1.5,8.4,-3.1
1998/1/25,1.2,7.5,-4.7
1998/1/26,3.4,11.9,-4.2
1998/1/27,3.5,8.2,0.5
1998/1/28,2.9,9.6,-1.4
1998/1/29,2.7,8.2,-0.7
1998/1/30,2.0,8.7,-3.8
1998/1/31,3.9,14.4,-3.1
1998/2/1,3.9,8.5,0.0
1998/2/2,4.1,10.6,-2.4
1998/2/3,5.1,11.4,-2.0
1998/2/4,4.6,9.4,1.0
1998/2/5,3.6,9.6,-1.2
1998/2/6,4.6,12.1,-3.4
1998/2/7,4.6,10.2,-1.5
1998/2/8,4.5,9.2,1.6
1998/2/9,5.0,10.2,0.8
1998/2/10,2.6,8.0,-0.5
1998/2/11,4.7,10.3,-2.5
1998/2/12,5.8,10.1,1.5
1998/2/13,11.8,20.5,4.8
1998/2/14,11.4,18.9,6.0
1998/2/15,2.3,7.6,0.4
1998/2/16,3.5,10.4,-2.4
1998/2/17,4.1,9.6,0.3
1998/2/18,4.5,11.2,-0.2
1998/2/19,5.0,12.4,-2.0
1998/2/20,6.2,9.8,3.1
1998/2/21,5.9,12.0,0.4
1998/2/22,3.5,8.5,-1.5
1998/2/23,5.6,13.0,-1.2
1998/2/24,4.9,7.2,2.6
1998/2/25,4.7,5.8,3.5
1998/2/26,8.1,12.5,4.9
1998/2/27,9.8,15.3,5.9
1998/2/28,8.9,12.9,6.2
1998/3/1,3.9,7.9,0.3
1998/3/2,8.2,14.5,3.1
1998/3/3,7.4,14.3,-0.4
1998/3/4,9.4,17.2,2.0
1998/3/5,3.8,7.1,0.5
1998/3/6,5.8,12.8,0.5
1998/3/7,5.0,11.2,1.1
1998/3/8,6.2,12.8,0.8
1998/3/9,8.7,17.4,1.1
1998/3/10,6.7,12.8,1.7
1998/3/11,6.5,12.5,-0.7
1998/3/12,8.6,11.4,5.4
1998/3/13,11.1,17.2,7.1
1998/3/14,11.1,17.6,4.6
1998/3/15,5.5,10.8,0.9
1998/3/16,6.1,12.7,-1.3
1998/3/17,5.8,13.1,1.6
1998/3/18,6.6,13.1,1.5
1998/3/19,7.9,15.2,0.6
1998/3/20,12.9,22.4,7.5
1998/3/21,9.3,12.3,6.2
1998/3/22,5.8,9.1,2.6
1998/3/23,7.5,13.8,0.3
1998/3/24,8.7,15.3,2.1
1998/3/25,11.2,16.2,7.2
1998/3/26,12.0,18.6,5.2
1998/3/27,10.5,14.0,7.7
1998/3/28,15.7,22.4,9.2
1998/3/29,15.6,25.5,7.2
1998/3/30,18.3,26.9,8.9
1998/3/31,13.3,19.1,7.6
