ダウンロードした時刻：2019/10/10 15:36:36

,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2010/12/1,6.9,12.4,1.4
2010/12/2,10.4,15.6,4.8
2010/12/3,12.2,15.7,6.8
2010/12/4,6.3,8.6,3.4
2010/12/5,11.5,14.4,7.7
2010/12/6,11.7,15.2,9.0
2010/12/7,5.3,9.5,2.8
2010/12/8,3.2,6.3,0.3
2010/12/9,1.6,4.3,-1.1
2010/12/10,2.8,6.1,0.9
2010/12/11,5.9,12.6,0.5
2010/12/12,0.6,3.5,-1.6
2010/12/13,0.7,4.4,-2.8
2010/12/14,4.3,8.2,0.3
2010/12/15,-1.6,0.7,-3.9
2010/12/16,-1.6,1.3,-3.9
2010/12/17,0.1,2.5,-1.5
2010/12/18,2.4,5.1,0.1
2010/12/19,1.2,4.3,-1.8
2010/12/20,6.3,10.8,2.0
2010/12/21,4.2,7.7,-0.5
2010/12/22,7.3,10.4,5.4
2010/12/23,5.9,8.5,2.9
2010/12/24,0.2,5.8,-4.5
2010/12/25,-0.9,1.2,-3.9
2010/12/26,1.1,3.2,-1.0
2010/12/27,0.1,1.5,-1.4
2010/12/28,1.0,2.8,-0.8
2010/12/29,2.9,6.2,0.6
2010/12/30,1.7,3.5,-1.3
2010/12/31,1.0,3.0,0.0
2011/1/1,1.5,4.5,-0.2
2011/1/2,1.1,4.2,-0.6
2011/1/3,-0.2,1.0,-2.3
2011/1/4,1.0,2.2,-0.3
2011/1/5,1.2,5.4,-0.5
2011/1/6,-2.0,1.5,-5.6
2011/1/7,-3.1,-0.8,-5.6
2011/1/8,-0.5,2.3,-2.3
2011/1/9,-1.7,0.3,-4.5
2011/1/10,-3.6,-1.8,-5.3
2011/1/11,-3.5,-1.0,-6.8
2011/1/12,-2.2,4.0,-6.4
2011/1/13,-3.5,-2.0,-5.2
2011/1/14,-2.7,-1.4,-3.8
2011/1/15,-3.0,-0.3,-5.2
2011/1/16,-2.9,0.9,-7.1
2011/1/17,0.6,2.8,-3.2
2011/1/18,0.4,1.5,-1.5
2011/1/19,-0.6,1.3,-2.9
2011/1/20,-1.9,-0.5,-3.7
2011/1/21,-0.8,1.3,-2.4
2011/1/22,-0.1,1.1,-1.6
2011/1/23,-1.1,1.0,-3.3
2011/1/24,-1.8,0.3,-3.6
2011/1/25,-0.4,4.0,-3.5
2011/1/26,-0.2,1.9,-1.5
2011/1/27,-1.4,2.2,-7.1
2011/1/28,-1.0,0.8,-3.8
2011/1/29,-3.5,-1.7,-4.9
2011/1/30,-4.1,-2.2,-5.3
2011/1/31,-1.7,0.7,-4.2
2011/2/1,-0.6,0.9,-2.4
2011/2/2,-1.0,3.4,-5.6
2011/2/3,0.3,3.9,-3.2
2011/2/4,1.7,2.6,0.1
2011/2/5,1.4,5.1,-3.4
2011/2/6,0.6,5.9,-5.5
2011/2/7,0.9,6.0,-3.2
2011/2/8,-0.3,2.3,-2.8
2011/2/9,-1.2,1.2,-4.3
2011/2/10,-1.8,-0.3,-3.4
2011/2/11,-0.7,1.6,-3.7
2011/2/12,-1.4,3.5,-6.1
2011/2/13,-0.4,2.8,-3.3
2011/2/14,-0.3,3.9,-4.9
2011/2/15,1.5,3.3,-0.7
2011/2/16,4.3,6.6,2.4
2011/2/17,3.1,7.3,-0.3
2011/2/18,2.2,4.5,0.1
2011/2/19,1.0,3.9,-1.6
2011/2/20,1.1,6.1,-2.1
2011/2/21,0.0,5.1,-5.0
2011/2/22,1.5,9.1,-4.6
2011/2/23,4.9,11.4,-0.1
2011/2/24,7.2,13.5,1.8
2011/2/25,4.0,8.8,-2.0
2011/2/26,-0.9,1.4,-2.8
2011/2/27,1.5,5.8,-1.8
2011/2/28,3.2,7.7,0.7
2011/3/1,2.1,4.2,0.9
2011/3/2,0.3,2.5,-1.9
2011/3/3,-3.2,-1.3,-4.6
2011/3/4,-2.1,0.8,-4.4
2011/3/5,2.4,5.7,-3.2
2011/3/6,4.8,8.7,1.7
2011/3/7,2.3,6.0,-0.5
2011/3/8,0.6,4.2,-1.7
2011/3/9,-0.3,2.4,-3.2
2011/3/10,-0.7,2.3,-3.2
2011/3/11,-0.3,2.5,-1.8
2011/3/12,2.6,6.5,-2.1
2011/3/13,7.8,11.5,1.2
2011/3/14,5.8,12.2,1.9
2011/3/15,2.5,5.3,0.2
2011/3/16,0.0,2.8,-3.1
2011/3/17,-1.1,2.9,-3.8
2011/3/18,1.6,4.1,-3.9
2011/3/19,5.3,10.4,0.2
2011/3/20,6.6,11.9,1.2
2011/3/21,4.2,8.2,-0.5
2011/3/22,2.6,8.1,-1.2
2011/3/23,1.2,5.6,-0.9
2011/3/24,-0.4,3.5,-2.9
2011/3/25,1.6,5.7,-3.8
2011/3/26,2.3,6.0,0.1
2011/3/27,0.6,4.0,-1.0
2011/3/28,2.3,6.5,-1.3
2011/3/29,4.9,9.3,0.9
2011/3/30,4.9,9.5,1.0
2011/3/31,5.4,9.8,2.2
