ダウンロードした時刻：2017/07/24 15:43:03

,松江,松江,松江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2008/1/1,1.4,4.9,-0.1
2008/1/2,2.2,5.1,0.1
2008/1/3,4.7,8.5,1.2
2008/1/4,5.9,10.2,1.7
2008/1/5,4.8,11.0,0.9
2008/1/6,6.5,14.0,-0.7
2008/1/7,8.1,14.3,4.2
2008/1/8,9.4,13.2,6.1
2008/1/9,7.0,13.0,2.8
2008/1/10,6.5,14.0,0.5
2008/1/11,8.9,12.3,4.8
2008/1/12,7.4,11.1,4.8
2008/1/13,3.2,5.5,1.8
2008/1/14,3.2,7.2,0.4
2008/1/15,3.4,9.8,-2.2
2008/1/16,5.0,6.3,3.6
2008/1/17,2.7,4.9,0.5
2008/1/18,2.9,9.1,-0.2
2008/1/19,3.6,7.6,0.7
2008/1/20,3.3,4.0,2.3
2008/1/21,5.2,6.8,3.4
2008/1/22,5.4,7.9,3.6
2008/1/23,5.9,8.3,4.2
2008/1/24,2.7,6.1,0.2
2008/1/25,2.0,3.6,0.2
2008/1/26,2.7,6.2,0.5
2008/1/27,1.8,5.6,-1.2
2008/1/28,1.7,5.6,-2.2
2008/1/29,3.9,6.0,1.1
2008/1/30,4.9,7.6,2.8
2008/1/31,3.1,6.0,0.8
2008/2/1,1.9,4.8,0.0
2008/2/2,2.7,6.5,-0.2
2008/2/3,3.5,6.3,1.6
2008/2/4,3.8,7.6,1.5
2008/2/5,4.1,8.4,1.3
2008/2/6,2.7,7.9,0.2
2008/2/7,0.9,4.2,0.1
2008/2/8,1.7,5.0,0.0
2008/2/9,2.9,5.9,0.1
2008/2/10,6.0,10.0,2.0
2008/2/11,5.3,12.0,0.2
2008/2/12,3.2,7.5,-0.2
2008/2/13,0.4,3.5,-1.4
2008/2/14,2.0,6.2,-1.1
2008/2/15,2.7,7.4,-0.3
2008/2/16,1.0,4.5,-0.2
2008/2/17,0.1,1.4,-0.8
2008/2/18,1.5,4.8,-0.4
2008/2/19,2.3,8.3,-1.2
2008/2/20,3.4,8.5,-1.7
2008/2/21,4.3,11.9,-2.1
2008/2/22,7.1,14.6,1.2
2008/2/23,3.8,10.0,-1.2
2008/2/24,1.4,3.7,-2.0
2008/2/25,4.0,8.5,0.3
2008/2/26,4.1,6.8,1.8
2008/2/27,3.6,7.3,1.5
2008/2/28,4.3,10.1,-1.8
2008/2/29,6.7,12.9,0.5
2008/3/1,6.4,11.1,2.5
2008/3/2,6.3,13.8,-0.6
2008/3/3,6.3,11.8,4.2
2008/3/4,3.7,8.1,1.5
2008/3/5,3.7,9.7,0.6
2008/3/6,5.5,10.5,-0.5
2008/3/7,6.4,11.8,2.4
2008/3/8,6.0,12.7,2.3
2008/3/9,7.8,15.7,0.3
2008/3/10,9.8,14.0,6.0
2008/3/11,10.1,17.9,3.1
2008/3/12,10.0,15.0,6.5
2008/3/13,12.9,20.7,4.1
2008/3/14,10.2,15.8,6.1
2008/3/15,8.1,15.4,3.5
2008/3/16,9.7,16.9,4.5
2008/3/17,8.6,15.5,3.2
2008/3/18,9.6,14.8,4.0
2008/3/19,10.6,11.8,9.2
2008/3/20,9.3,11.1,7.5
2008/3/21,9.7,13.7,7.4
2008/3/22,10.2,14.8,6.2
2008/3/23,12.4,16.7,7.7
2008/3/24,10.6,15.2,6.8
2008/3/25,10.4,16.5,6.0
2008/3/26,7.0,12.0,3.5
2008/3/27,8.2,16.5,1.3
2008/3/28,8.4,12.8,5.1
2008/3/29,8.0,12.3,4.1
2008/3/30,6.8,8.3,5.6
2008/3/31,8.5,12.3,5.8
2008/4/1,10.8,15.7,7.0
2008/4/2,10.4,15.7,4.4
2008/4/3,12.1,16.5,7.0
2008/4/4,11.2,17.2,5.8
2008/4/5,11.8,19.9,4.7
2008/4/6,12.9,22.4,4.8
2008/4/7,12.2,15.7,8.7
2008/4/8,13.4,18.7,10.8
2008/4/9,12.3,14.8,9.5
2008/4/10,13.1,15.0,11.3
2008/4/11,12.3,15.9,9.6
2008/4/12,11.6,16.0,8.2
2008/4/13,12.9,15.8,9.6
2008/4/14,12.5,16.8,8.4
2008/4/15,13.0,20.6,6.8
2008/4/16,13.9,20.5,9.5
2008/4/17,13.5,14.1,12.6
2008/4/18,11.9,12.8,11.2
2008/4/19,13.1,16.8,11.8
2008/4/20,13.5,17.9,9.7
2008/4/21,13.6,20.8,7.8
2008/4/22,14.6,21.8,8.5
2008/4/23,15.9,22.8,10.3
2008/4/24,11.7,15.9,6.7
2008/4/25,11.1,17.4,5.2
2008/4/26,13.5,21.2,7.1
2008/4/27,14.2,19.5,10.1
2008/4/28,13.2,20.6,8.5
2008/4/29,16.9,23.9,8.7
2008/4/30,18.7,25.0,12.2
2008/5/1,19.7,26.0,13.9
