ダウンロードした時刻：2017/07/24 15:38:15

,小名浜,小名浜,小名浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/1/1,5.2,12.2,-1.2
1982/1/2,3.8,9.2,0.1
1982/1/3,2.3,7.4,-1.7
1982/1/4,8.5,12.3,-1.6
1982/1/5,10.5,14.1,5.4
1982/1/6,3.6,7.3,-1.2
1982/1/7,0.6,7.4,-2.8
1982/1/8,0.4,4.9,-5.1
1982/1/9,4.1,9.7,-0.9
1982/1/10,5.1,9.1,1.8
1982/1/11,3.1,6.2,-0.9
1982/1/12,7.7,12.5,1.6
1982/1/13,6.3,8.6,4.4
1982/1/14,3.4,6.8,0.1
1982/1/15,2.4,7.5,-2.4
1982/1/16,0.2,3.2,-2.2
1982/1/17,1.0,5.6,-2.6
1982/1/18,1.1,5.4,-5.7
1982/1/19,2.2,8.1,-1.8
1982/1/20,0.3,4.8,-2.6
1982/1/21,4.3,11.3,-4.9
1982/1/22,7.3,11.9,2.7
1982/1/23,4.9,11.2,0.5
1982/1/24,4.1,9.0,0.4
1982/1/25,4.5,9.5,0.2
1982/1/26,3.3,8.5,-0.6
1982/1/27,2.8,7.3,-0.3
1982/1/28,2.4,7.5,-1.7
1982/1/29,1.0,4.4,-1.5
1982/1/30,0.4,4.7,-2.5
1982/1/31,1.8,6.2,-4.5
1982/2/1,2.3,8.3,-2.5
1982/2/2,1.1,5.3,-2.7
1982/2/3,2.8,8.1,-5.6
1982/2/4,4.0,8.3,0.4
1982/2/5,0.5,5.4,-2.5
1982/2/6,0.1,5.2,-7.3
1982/2/7,-0.7,2.6,-4.1
1982/2/8,-1.3,4.0,-7.6
1982/2/9,0.6,5.7,-3.1
1982/2/10,1.5,5.4,-1.6
1982/2/11,1.7,8.4,-5.6
1982/2/12,3.0,7.9,-1.5
1982/2/13,2.3,6.9,-2.2
1982/2/14,1.9,8.7,-4.9
1982/2/15,3.4,8.6,-0.3
1982/2/16,5.4,11.4,-2.3
1982/2/17,4.4,6.1,3.3
1982/2/18,3.3,8.1,-0.9
1982/2/19,4.5,8.5,-1.5
1982/2/20,8.3,12.4,5.1
1982/2/21,7.2,10.9,4.4
1982/2/22,5.3,9.2,2.5
1982/2/23,4.3,9.3,1.1
1982/2/24,2.7,4.7,0.8
1982/2/25,2.0,6.6,-0.9
1982/2/26,1.0,5.6,-3.0
1982/2/27,4.3,9.7,-1.4
1982/2/28,6.6,12.1,-2.4
1982/3/1,4.9,7.2,3.1
1982/3/2,4.5,9.5,1.4
1982/3/3,4.5,9.3,-0.4
1982/3/4,6.7,10.1,0.6
1982/3/5,10.1,14.2,5.2
1982/3/6,7.0,12.6,1.4
1982/3/7,2.6,6.5,-0.2
1982/3/8,2.2,6.3,-1.3
1982/3/9,4.8,9.5,-2.0
1982/3/10,5.3,9.7,-1.2
1982/3/11,7.7,13.3,0.5
1982/3/12,9.2,13.6,4.2
1982/3/13,9.1,15.2,5.2
1982/3/14,5.2,8.2,0.5
1982/3/15,9.3,12.1,2.3
1982/3/16,13.6,19.0,8.8
1982/3/17,7.7,13.9,4.3
1982/3/18,6.2,12.0,2.4
1982/3/19,4.9,9.5,-0.4
1982/3/20,6.6,8.5,2.1
1982/3/21,9.0,11.3,7.5
1982/3/22,8.2,12.9,4.6
1982/3/23,7.8,11.6,1.6
1982/3/24,8.0,14.0,3.3
1982/3/25,4.8,10.0,2.1
1982/3/26,4.0,9.6,-0.3
1982/3/27,4.1,8.6,-0.7
1982/3/28,3.2,8.2,-1.4
1982/3/29,4.5,9.5,-3.1
1982/3/30,7.7,14.1,-0.9
1982/3/31,10.0,12.5,5.3
1982/4/1,7.1,13.2,3.3
1982/4/2,6.6,10.4,1.5
1982/4/3,11.5,18.7,6.8
1982/4/4,6.6,12.2,4.0
1982/4/5,8.1,14.0,0.5
1982/4/6,9.8,14.0,3.1
1982/4/7,12.0,15.3,7.4
1982/4/8,11.6,14.2,7.8
1982/4/9,10.4,13.3,5.3
1982/4/10,8.5,11.4,6.2
1982/4/11,9.6,15.4,4.7
1982/4/12,8.6,13.5,0.8
1982/4/13,11.7,14.8,8.0
1982/4/14,12.6,17.1,8.3
1982/4/15,13.6,15.0,12.1
1982/4/16,14.1,20.6,7.4
1982/4/17,9.7,13.3,5.1
1982/4/18,11.9,17.5,5.9
1982/4/19,12.3,18.5,6.2
1982/4/20,12.4,17.1,3.8
1982/4/21,10.9,13.0,7.6
1982/4/22,7.0,9.7,3.4
1982/4/23,8.0,12.5,1.1
1982/4/24,12.3,16.3,7.1
1982/4/25,13.9,17.5,9.4
1982/4/26,14.7,18.4,11.2
1982/4/27,10.7,14.0,8.5
1982/4/28,9.4,11.3,8.1
1982/4/29,13.6,16.2,9.1
1982/4/30,15.8,19.0,14.0
1982/5/1,15.5,17.0,14.6
