ダウンロードした時刻：2019/10/10 16:18:30

,徳島,徳島,徳島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/12/1,10.4,14.8,6.5
2001/12/2,11.0,16.8,7.1
2001/12/3,11.1,16.3,5.2
2001/12/4,11.7,15.1,9.1
2001/12/5,10.5,14.3,5.0
2001/12/6,10.5,13.8,7.9
2001/12/7,9.5,13.0,6.7
2001/12/8,10.1,14.4,5.0
2001/12/9,10.3,14.1,7.0
2001/12/10,8.5,9.6,7.4
2001/12/11,7.9,9.5,5.0
2001/12/12,8.2,12.4,3.8
2001/12/13,12.2,17.8,7.4
2001/12/14,6.3,9.3,4.2
2001/12/15,6.1,9.4,3.9
2001/12/16,6.7,10.9,2.5
2001/12/17,7.0,9.9,3.3
2001/12/18,8.0,12.6,5.5
2001/12/19,7.5,11.8,3.3
2001/12/20,8.1,12.3,3.3
2001/12/21,6.8,9.8,4.6
2001/12/22,6.0,9.4,3.5
2001/12/23,6.6,11.2,1.8
2001/12/24,6.6,10.4,3.5
2001/12/25,4.5,6.4,1.3
2001/12/26,7.1,10.6,4.9
2001/12/27,8.0,12.4,4.7
2001/12/28,6.8,10.6,2.1
2001/12/29,6.4,10.7,3.7
2001/12/30,6.0,8.6,3.0
2001/12/31,6.1,10.8,2.8
2002/1/1,6.6,13.2,1.4
2002/1/2,2.5,6.4,-0.6
2002/1/3,3.0,6.4,-0.6
2002/1/4,8.8,12.1,4.0
2002/1/5,8.5,11.5,3.8
2002/1/6,5.6,9.5,2.0
2002/1/7,7.1,14.1,0.5
2002/1/8,5.5,8.3,2.9
2002/1/9,6.2,9.3,2.8
2002/1/10,6.9,12.7,0.6
2002/1/11,10.2,16.4,4.2
2002/1/12,9.4,17.5,2.1
2002/1/13,10.3,16.5,5.9
2002/1/14,9.2,12.1,4.5
2002/1/15,11.4,14.0,9.2
2002/1/16,13.0,16.3,10.5
2002/1/17,9.0,10.5,5.8
2002/1/18,6.5,8.6,5.2
2002/1/19,6.2,8.9,3.0
2002/1/20,6.2,9.7,1.8
2002/1/21,9.3,12.6,6.1
2002/1/22,6.2,9.5,3.1
2002/1/23,4.0,7.7,0.7
2002/1/24,4.2,8.8,-0.6
2002/1/25,5.8,10.1,2.6
2002/1/26,4.7,7.2,2.7
2002/1/27,8.4,11.5,6.1
2002/1/28,7.2,11.0,4.0
2002/1/29,4.1,7.2,2.2
2002/1/30,4.5,9.3,1.3
2002/1/31,4.4,8.7,1.1
2002/2/1,4.3,9.5,0.0
2002/2/2,3.9,6.7,0.4
2002/2/3,6.4,9.0,3.9
2002/2/4,6.5,10.8,3.2
2002/2/5,6.6,9.5,3.2
2002/2/6,7.9,14.1,3.6
2002/2/7,8.8,14.6,3.1
2002/2/8,7.1,10.6,1.6
2002/2/9,8.4,12.4,4.5
2002/2/10,5.0,9.4,3.2
2002/2/11,3.3,6.4,0.6
2002/2/12,5.0,9.9,1.4
2002/2/13,6.1,10.8,1.1
2002/2/14,5.9,9.8,3.1
2002/2/15,5.2,9.9,1.5
2002/2/16,5.1,9.5,-0.9
2002/2/17,6.4,8.6,3.5
2002/2/18,7.2,11.0,2.9
2002/2/19,4.8,7.7,2.3
2002/2/20,6.9,11.8,3.0
2002/2/21,7.5,12.0,0.5
2002/2/22,11.4,16.3,8.3
2002/2/23,10.4,14.0,7.4
2002/2/24,8.8,12.8,5.8
2002/2/25,7.2,11.1,2.9
2002/2/26,9.0,12.0,5.1
2002/2/27,9.8,11.5,8.6
2002/2/28,10.9,12.3,9.2
2002/3/1,12.6,15.6,9.6
2002/3/2,10.6,14.3,6.8
2002/3/3,7.6,11.0,5.4
2002/3/4,7.6,12.9,2.6
2002/3/5,10.0,14.8,6.8
2002/3/6,11.9,15.4,8.2
2002/3/7,7.8,10.9,4.8
2002/3/8,7.0,11.6,2.4
2002/3/9,7.4,12.8,0.4
2002/3/10,10.6,15.8,3.1
2002/3/11,11.5,15.5,7.5
2002/3/12,13.1,19.4,5.8
2002/3/13,11.3,16.3,7.3
2002/3/14,12.3,19.6,4.3
2002/3/15,16.5,21.8,13.1
2002/3/16,12.5,17.1,8.9
2002/3/17,13.3,19.0,7.0
2002/3/18,12.8,20.3,8.9
2002/3/19,12.8,18.2,4.6
2002/3/20,13.9,17.2,10.6
2002/3/21,16.4,22.2,8.9
2002/3/22,12.1,16.5,10.5
2002/3/23,9.9,13.2,6.3
2002/3/24,8.3,13.2,4.3
2002/3/25,8.8,12.4,5.5
2002/3/26,13.1,17.6,7.8
2002/3/27,13.3,17.4,8.3
2002/3/28,10.3,15.3,4.9
2002/3/29,13.9,18.8,8.5
2002/3/30,15.4,19.7,11.3
2002/3/31,14.9,21.4,9.3
