ダウンロードした時刻：2019/10/10 16:11:01

,神戸,神戸,神戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/12/1,3.0,6.4,-0.8
1996/12/2,4.8,9.2,1.0
1996/12/3,6.4,10.9,3.0
1996/12/4,8.4,13.0,3.5
1996/12/5,13.4,17.1,9.1
1996/12/6,5.4,9.1,2.4
1996/12/7,4.6,8.9,2.2
1996/12/8,5.5,10.0,1.7
1996/12/9,8.5,11.5,5.7
1996/12/10,8.5,9.8,6.2
1996/12/11,9.1,13.3,6.2
1996/12/12,9.6,13.6,5.4
1996/12/13,9.7,13.6,5.8
1996/12/14,10.2,14.9,6.3
1996/12/15,10.4,14.4,6.7
1996/12/16,11.9,16.2,6.2
1996/12/17,13.5,14.8,12.8
1996/12/18,10.6,13.9,6.2
1996/12/19,5.6,8.2,2.2
1996/12/20,5.8,9.8,2.1
1996/12/21,7.3,10.9,4.3
1996/12/22,9.5,14.7,4.1
1996/12/23,5.6,10.3,2.3
1996/12/24,5.7,10.5,1.8
1996/12/25,8.8,13.2,4.6
1996/12/26,8.5,11.9,3.9
1996/12/27,6.2,10.4,2.5
1996/12/28,8.2,14.0,4.9
1996/12/29,6.9,11.3,3.2
1996/12/30,8.8,14.0,4.8
1996/12/31,9.5,13.4,6.4
1997/1/1,12.7,17.1,6.7
1997/1/2,6.2,12.1,3.2
1997/1/3,5.1,8.4,3.2
1997/1/4,4.9,8.2,2.3
1997/1/5,4.1,6.7,1.6
1997/1/6,5.3,7.1,3.5
1997/1/7,4.9,8.5,2.6
1997/1/8,4.6,8.1,2.1
1997/1/9,4.1,7.9,1.5
1997/1/10,5.3,9.0,1.3
1997/1/11,5.1,10.1,2.0
1997/1/12,5.8,8.5,2.7
1997/1/13,5.4,9.6,2.0
1997/1/14,6.8,10.7,2.4
1997/1/15,6.0,10.0,2.6
1997/1/16,5.6,10.6,1.2
1997/1/17,6.8,11.8,2.8
1997/1/18,8.4,12.0,5.6
1997/1/19,6.6,10.3,4.3
1997/1/20,7.1,10.8,3.7
1997/1/21,4.2,9.0,-4.1
1997/1/22,-0.8,4.2,-4.9
1997/1/23,4.3,6.9,1.4
1997/1/24,3.9,5.6,3.0
1997/1/25,3.8,7.6,1.3
1997/1/26,5.6,10.1,1.5
1997/1/27,7.1,10.6,3.9
1997/1/28,6.1,9.4,3.8
1997/1/29,3.1,6.2,0.4
1997/1/30,2.6,7.4,-0.4
1997/1/31,3.0,5.9,0.5
1997/2/1,4.2,8.9,0.8
1997/2/2,3.3,5.9,1.1
1997/2/3,3.5,8.8,0.2
1997/2/4,2.6,7.0,-0.7
1997/2/5,4.6,9.1,2.5
1997/2/6,5.6,10.2,1.9
1997/2/7,4.8,8.2,2.2
1997/2/8,6.2,10.2,2.6
1997/2/9,7.0,12.5,2.4
1997/2/10,6.9,11.2,3.2
1997/2/11,4.3,7.5,1.5
1997/2/12,3.4,7.4,0.9
1997/2/13,3.3,7.1,0.7
1997/2/14,4.6,9.8,-0.3
1997/2/15,7.0,11.5,2.3
1997/2/16,7.0,10.0,4.3
1997/2/17,4.5,8.1,2.9
1997/2/18,3.7,8.0,0.6
1997/2/19,2.9,6.7,-0.9
1997/2/20,5.9,10.0,0.6
1997/2/21,4.8,8.7,-1.5
1997/2/22,0.1,4.3,-2.7
1997/2/23,3.1,7.4,-1.5
1997/2/24,5.8,11.6,0.8
1997/2/25,9.6,14.3,3.5
1997/2/26,10.0,12.9,4.9
1997/2/27,7.6,13.2,3.2
1997/2/28,11.1,16.4,3.8
1997/3/1,10.0,14.8,2.7
1997/3/2,6.2,10.4,1.4
1997/3/3,6.2,9.4,4.4
1997/3/4,7.5,11.3,2.3
1997/3/5,8.7,13.9,3.4
1997/3/6,12.5,17.5,6.3
1997/3/7,15.5,20.1,9.8
1997/3/8,10.7,15.6,6.5
1997/3/9,9.6,16.3,4.7
1997/3/10,8.2,12.5,3.1
1997/3/11,10.8,15.3,4.1
1997/3/12,8.1,13.3,3.3
1997/3/13,10.3,14.8,5.9
1997/3/14,12.6,14.9,9.8
1997/3/15,10.8,12.9,8.1
1997/3/16,8.9,12.5,7.2
1997/3/17,8.0,13.0,4.3
1997/3/18,8.9,16.0,2.6
1997/3/19,9.5,11.9,7.4
1997/3/20,8.6,11.9,5.1
1997/3/21,10.4,12.9,6.4
1997/3/22,10.9,16.0,6.0
1997/3/23,7.9,12.8,3.6
1997/3/24,5.1,9.5,2.0
1997/3/25,7.9,13.1,1.6
1997/3/26,11.8,17.1,6.6
1997/3/27,10.2,14.6,7.8
1997/3/28,11.4,16.5,5.5
1997/3/29,13.0,13.9,11.5
1997/3/30,12.3,15.8,6.5
1997/3/31,8.8,13.9,4.0
