ダウンロードした時刻：2019/10/10 15:40:13

,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/12/1,7.2,12.3,3.2
2009/12/2,8.1,13.8,2.8
2009/12/3,7.8,8.7,6.2
2009/12/4,7.6,11.0,4.8
2009/12/5,7.0,10.5,3.0
2009/12/6,9.8,15.1,4.8
2009/12/7,6.6,9.2,4.9
2009/12/8,7.0,10.8,4.2
2009/12/9,7.1,12.3,2.0
2009/12/10,6.3,9.6,2.5
2009/12/11,5.9,7.4,4.4
2009/12/12,9.8,13.9,7.1
2009/12/13,7.0,9.1,4.9
2009/12/14,4.0,6.7,1.3
2009/12/15,2.9,7.9,-1.4
2009/12/16,1.1,3.8,-1.4
2009/12/17,0.1,4.1,-2.5
2009/12/18,-0.9,0.7,-1.9
2009/12/19,-0.3,1.6,-2.3
2009/12/20,2.3,4.5,-0.8
2009/12/21,0.2,2.9,-1.2
2009/12/22,3.3,7.5,-2.5
2009/12/23,5.0,8.6,1.5
2009/12/24,6.2,9.0,2.6
2009/12/25,5.2,8.9,1.9
2009/12/26,6.1,10.7,1.3
2009/12/27,5.9,8.7,2.2
2009/12/28,3.9,8.6,1.8
2009/12/29,3.3,6.4,-0.3
2009/12/30,3.8,8.9,-1.5
2009/12/31,2.9,7.3,-1.3
2010/1/1,-1.3,0.4,-2.9
2010/1/2,1.6,3.5,-1.3
2010/1/3,1.7,4.3,-0.6
2010/1/4,2.4,7.0,-1.6
2010/1/5,4.7,9.5,0.6
2010/1/6,4.0,6.4,1.5
2010/1/7,3.3,7.2,-0.8
2010/1/8,2.9,6.8,-0.1
2010/1/9,3.6,6.8,0.2
2010/1/10,3.3,6.5,1.0
2010/1/11,4.2,7.5,0.3
2010/1/12,2.8,4.5,1.2
2010/1/13,1.7,6.7,-1.3
2010/1/14,-1.4,0.0,-2.8
2010/1/15,-1.0,2.7,-4.6
2010/1/16,-1.2,1.4,-3.8
2010/1/17,0.0,4.1,-2.6
2010/1/18,1.6,6.9,-3.9
2010/1/19,5.0,10.7,0.0
2010/1/20,6.7,13.9,-0.2
2010/1/21,6.7,14.5,0.7
2010/1/22,0.7,3.6,-1.4
2010/1/23,1.1,4.9,-2.9
2010/1/24,2.9,7.9,-1.8
2010/1/25,6.1,12.4,1.3
2010/1/26,1.7,4.4,-1.1
2010/1/27,4.3,10.7,-1.7
2010/1/28,6.6,15.1,1.6
2010/1/29,3.5,7.2,1.1
2010/1/30,3.8,7.1,0.8
2010/1/31,4.5,7.6,1.5
2010/2/1,3.5,8.2,-0.9
2010/2/2,-0.1,2.0,-3.1
2010/2/3,-2.8,0.1,-4.8
2010/2/4,-1.8,1.9,-6.1
2010/2/5,-2.0,3.3,-4.8
2010/2/6,-4.5,-1.2,-6.0
2010/2/7,1.2,4.6,-6.0
2010/2/8,3.1,9.1,-2.3
2010/2/9,6.8,12.7,1.8
2010/2/10,2.7,4.9,1.0
2010/2/11,1.2,5.0,-1.0
2010/2/12,-0.3,2.3,-2.4
2010/2/13,-0.6,1.8,-1.9
2010/2/14,1.3,6.3,-2.3
2010/2/15,2.3,4.6,-0.7
2010/2/16,1.2,4.9,-1.9
2010/2/17,0.3,3.3,-2.6
2010/2/18,0.6,4.2,-1.8
2010/2/19,2.0,5.9,-0.8
2010/2/20,1.1,4.6,-1.2
2010/2/21,1.7,6.4,-1.6
2010/2/22,2.8,7.2,-1.7
2010/2/23,7.0,13.3,0.6
2010/2/24,6.6,12.5,0.3
2010/2/25,7.8,12.9,2.4
2010/2/26,8.0,11.6,4.8
2010/2/27,5.4,9.0,3.1
2010/2/28,3.7,6.0,1.5
2010/3/1,2.9,7.4,0.0
2010/3/2,0.6,1.6,-0.4
2010/3/3,3.9,8.5,0.2
2010/3/4,3.8,5.8,0.2
2010/3/5,9.6,16.1,3.2
2010/3/6,7.8,8.7,6.2
2010/3/7,3.4,6.8,0.9
2010/3/8,2.5,6.7,-0.1
2010/3/9,-0.6,1.7,-1.8
2010/3/10,0.7,2.2,-1.7
2010/3/11,3.4,7.5,-0.6
2010/3/12,4.1,8.6,-1.7
2010/3/13,6.3,10.8,1.7
2010/3/14,5.3,10.3,1.1
2010/3/15,5.9,10.0,-0.5
2010/3/16,9.3,14.6,4.9
2010/3/17,3.4,7.2,0.4
2010/3/18,4.0,9.2,-0.3
2010/3/19,4.4,9.6,-0.1
2010/3/20,8.8,15.8,1.5
2010/3/21,7.9,13.5,1.6
2010/3/22,5.1,9.8,0.2
2010/3/23,7.9,12.1,4.5
2010/3/24,6.1,9.3,4.6
2010/3/25,2.1,4.7,0.5
2010/3/26,4.7,8.7,1.1
2010/3/27,2.5,8.7,-1.6
2010/3/28,1.0,4.1,-1.8
2010/3/29,2.1,6.9,-0.9
2010/3/30,3.2,7.6,-0.9
2010/3/31,5.2,9.9,-0.7
