ダウンロードした時刻：2019/10/10 16:05:36

,豊岡,豊岡,豊岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,6.1,7.9,3.0
1986/12/2,7.0,13.4,2.5
1986/12/3,7.5,16.4,0.1
1986/12/4,7.4,11.9,5.5
1986/12/5,6.4,10.2,4.8
1986/12/6,9.2,16.3,2.0
1986/12/7,9.0,13.6,6.4
1986/12/8,7.0,10.7,2.7
1986/12/9,4.6,12.9,-0.3
1986/12/10,7.1,13.4,-0.3
1986/12/11,7.8,14.2,2.3
1986/12/12,7.1,16.3,1.2
1986/12/13,7.9,14.7,4.9
1986/12/14,9.9,14.0,5.4
1986/12/15,9.6,12.9,6.9
1986/12/16,6.5,8.7,4.0
1986/12/17,5.7,10.0,1.2
1986/12/18,8.4,15.3,-0.6
1986/12/19,10.4,14.7,5.5
1986/12/20,4.4,6.5,2.8
1986/12/21,5.5,12.8,-0.7
1986/12/22,3.7,7.0,1.5
1986/12/23,3.9,9.3,-0.5
1986/12/24,6.3,12.5,1.3
1986/12/25,6.7,10.5,3.7
1986/12/26,6.2,9.9,3.5
1986/12/27,3.9,6.8,2.3
1986/12/28,3.2,8.9,0.6
1986/12/29,1.6,4.4,0.4
1986/12/30,4.4,7.9,0.6
1986/12/31,12.2,17.8,4.9
1987/1/1,5.1,11.4,3.7
1987/1/2,6.2,13.4,2.4
1987/1/3,9.8,12.6,7.4
1987/1/4,5.1,7.7,3.5
1987/1/5,2.8,4.4,1.6
1987/1/6,5.2,10.0,1.7
1987/1/7,7.7,11.4,4.0
1987/1/8,6.5,10.3,0.5
1987/1/9,4.5,9.9,-0.8
1987/1/10,2.1,5.6,-0.2
1987/1/11,0.4,1.5,-0.8
1987/1/12,1.8,5.8,-2.0
1987/1/13,1.0,4.2,-0.9
1987/1/14,1.3,5.2,-0.9
1987/1/15,3.2,9.3,1.0
1987/1/16,4.4,9.8,-3.0
1987/1/17,6.8,12.8,2.0
1987/1/18,2.2,5.7,0.5
1987/1/19,1.1,3.7,0.5
1987/1/20,1.1,3.5,0.0
1987/1/21,2.1,6.2,-0.2
1987/1/22,3.2,10.2,-0.2
1987/1/23,7.8,13.7,0.1
1987/1/24,4.3,9.2,2.0
1987/1/25,0.2,2.2,-1.1
1987/1/26,0.6,3.9,-2.4
1987/1/27,2.7,7.8,-0.1
1987/1/28,2.4,9.7,-1.6
1987/1/29,3.6,13.3,-4.1
1987/1/30,3.5,6.4,1.3
1987/1/31,1.6,3.2,0.4
1987/2/1,0.4,2.7,-1.8
1987/2/2,-0.1,2.4,-2.9
1987/2/3,2.2,5.0,-0.4
1987/2/4,2.7,4.6,0.1
1987/2/5,4.6,9.2,1.4
1987/2/6,5.3,11.0,1.9
1987/2/7,5.8,14.7,-0.1
1987/2/8,4.7,12.6,0.1
1987/2/9,6.0,18.6,-1.3
1987/2/10,7.8,20.8,-0.6
1987/2/11,15.4,21.5,5.7
1987/2/12,8.4,17.5,5.8
1987/2/13,7.1,12.4,2.8
1987/2/14,6.1,11.2,1.9
1987/2/15,3.9,6.1,2.3
1987/2/16,3.4,7.5,1.6
1987/2/17,1.7,4.5,0.5
1987/2/18,4.0,9.2,0.7
1987/2/19,2.6,5.1,0.7
1987/2/20,2.5,8.4,-1.2
1987/2/21,3.1,7.7,-0.3
1987/2/22,3.2,8.8,-2.0
1987/2/23,5.3,13.5,-0.8
1987/2/24,7.3,16.3,-0.7
1987/2/25,0.3,6.8,-1.8
1987/2/26,-1.2,1.2,-1.8
1987/2/27,-0.3,4.0,-4.4
1987/2/28,0.4,5.9,-4.7
1987/3/1,0.9,3.3,-0.8
1987/3/2,0.8,4.2,-2.2
1987/3/3,1.7,7.8,-1.3
1987/3/4,3.2,11.1,-1.5
1987/3/5,6.6,16.8,0.5
1987/3/6,4.0,7.7,1.8
1987/3/7,2.5,3.9,0.5
1987/3/8,3.1,6.7,1.1
1987/3/9,3.3,5.2,0.9
1987/3/10,3.7,6.6,2.1
1987/3/11,4.1,8.1,0.9
1987/3/12,4.3,10.4,-0.2
1987/3/13,8.1,11.1,1.1
1987/3/14,7.0,10.3,3.4
1987/3/15,5.6,11.2,1.5
1987/3/16,3.8,7.9,0.0
1987/3/17,4.2,8.0,0.9
1987/3/18,8.6,12.6,5.0
1987/3/19,9.7,16.4,2.6
1987/3/20,8.7,12.0,3.5
1987/3/21,8.0,21.1,0.9
1987/3/22,10.5,17.8,6.3
1987/3/23,12.5,15.5,8.8
1987/3/24,13.2,18.6,9.5
1987/3/25,3.0,9.7,0.4
1987/3/26,2.8,7.3,-0.2
1987/3/27,5.1,12.8,-2.1
1987/3/28,7.1,13.2,2.7
1987/3/29,8.2,14.4,4.0
1987/3/30,10.0,18.7,0.7
1987/3/31,4.7,11.4,0.9
