ダウンロードした時刻：2019/10/10 15:52:27

,敦賀,敦賀,敦賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,8.4,11.3,4.3
1981/12/2,2.7,5.9,0.6
1981/12/3,3.9,7.0,0.4
1981/12/4,5.7,10.7,0.0
1981/12/5,6.9,9.9,4.7
1981/12/6,7.2,11.1,4.9
1981/12/7,6.7,7.8,4.6
1981/12/8,6.6,8.5,5.3
1981/12/9,7.3,9.5,4.1
1981/12/10,7.1,9.9,2.1
1981/12/11,7.5,12.6,0.2
1981/12/12,8.9,13.5,4.7
1981/12/13,4.1,8.5,1.4
1981/12/14,1.4,4.0,0.1
1981/12/15,2.2,4.6,0.5
1981/12/16,3.7,8.4,1.1
1981/12/17,3.9,8.8,1.0
1981/12/18,3.5,9.3,-1.0
1981/12/19,6.0,7.9,0.9
1981/12/20,6.4,8.6,1.5
1981/12/21,6.6,9.9,3.9
1981/12/22,8.2,11.8,5.6
1981/12/23,9.1,12.5,7.5
1981/12/24,6.0,9.6,4.1
1981/12/25,5.4,10.2,2.0
1981/12/26,8.4,12.5,3.5
1981/12/27,9.9,15.9,5.5
1981/12/28,10.0,16.4,4.8
1981/12/29,10.7,13.3,6.6
1981/12/30,6.3,9.3,1.8
1981/12/31,5.1,9.6,0.4
1982/1/1,4.4,8.2,2.5
1982/1/2,4.9,8.0,1.4
1982/1/3,6.9,10.7,2.9
1982/1/4,12.8,15.0,8.1
1982/1/5,7.7,14.4,4.3
1982/1/6,5.2,8.1,2.1
1982/1/7,2.4,4.8,0.5
1982/1/8,2.1,5.7,-2.8
1982/1/9,6.5,8.6,3.4
1982/1/10,5.0,9.3,1.0
1982/1/11,7.2,11.8,-0.1
1982/1/12,8.9,11.8,5.6
1982/1/13,4.1,6.5,2.5
1982/1/14,2.9,5.6,1.2
1982/1/15,1.7,3.6,0.4
1982/1/16,1.8,4.3,0.3
1982/1/17,1.6,4.8,-1.8
1982/1/18,1.6,5.7,-2.8
1982/1/19,0.7,2.4,-1.0
1982/1/20,0.8,2.6,0.0
1982/1/21,2.2,4.8,-0.8
1982/1/22,5.2,9.1,1.9
1982/1/23,4.2,6.6,2.9
1982/1/24,4.8,7.3,0.2
1982/1/25,4.8,6.9,2.8
1982/1/26,3.5,6.9,0.4
1982/1/27,3.6,7.1,0.5
1982/1/28,0.5,3.9,-1.4
1982/1/29,-0.6,1.6,-2.3
1982/1/30,-0.3,1.9,-2.0
1982/1/31,1.5,4.1,-1.7
1982/2/1,2.9,4.8,1.0
1982/2/2,1.5,3.3,0.2
1982/2/3,3.0,5.3,0.4
1982/2/4,2.8,4.7,1.9
1982/2/5,1.6,4.4,-1.9
1982/2/6,2.1,6.8,-2.1
1982/2/7,-0.1,1.8,-1.5
1982/2/8,0.3,3.3,-2.0
1982/2/9,2.3,5.1,-0.4
1982/2/10,1.5,3.9,-0.2
1982/2/11,1.7,5.0,-1.0
1982/2/12,4.2,9.2,0.6
1982/2/13,4.0,7.9,0.5
1982/2/14,3.2,6.3,1.0
1982/2/15,3.1,6.6,-0.7
1982/2/16,5.1,11.2,-0.2
1982/2/17,4.9,7.2,1.0
1982/2/18,6.9,11.6,2.6
1982/2/19,8.7,10.8,2.7
1982/2/20,10.2,12.2,8.3
1982/2/21,8.3,10.0,6.7
1982/2/22,6.7,9.2,5.6
1982/2/23,6.3,10.2,3.3
1982/2/24,4.6,6.3,3.1
1982/2/25,3.7,6.4,1.5
1982/2/26,2.4,4.9,0.4
1982/2/27,5.3,10.0,-1.2
1982/2/28,7.9,13.1,1.4
1982/3/1,5.8,7.8,3.9
1982/3/2,3.9,5.8,1.1
1982/3/3,3.6,7.9,0.5
1982/3/4,8.2,13.1,1.3
1982/3/5,10.4,12.9,8.1
1982/3/6,7.3,9.9,4.0
1982/3/7,3.5,7.3,1.1
1982/3/8,4.4,8.3,-0.1
1982/3/9,5.1,8.8,1.3
1982/3/10,7.6,14.9,1.9
1982/3/11,9.0,15.9,1.9
1982/3/12,9.9,14.2,3.6
1982/3/13,9.8,14.6,6.9
1982/3/14,10.1,16.3,2.5
1982/3/15,13.3,15.9,11.2
1982/3/16,11.6,14.4,9.4
1982/3/17,8.6,11.8,6.6
1982/3/18,8.0,11.7,3.3
1982/3/19,8.2,12.4,1.4
1982/3/20,10.7,12.4,8.0
1982/3/21,10.4,11.5,8.9
1982/3/22,10.0,15.7,4.6
1982/3/23,14.7,22.0,6.6
1982/3/24,7.0,12.9,2.8
1982/3/25,3.7,5.8,1.2
1982/3/26,4.3,7.6,1.3
1982/3/27,4.8,10.2,-1.5
1982/3/28,5.5,12.6,-1.3
1982/3/29,7.6,12.9,-1.0
1982/3/30,14.8,20.0,9.5
1982/3/31,10.4,16.1,8.1
