ダウンロードした時刻：2019/10/10 15:57:41

,浜松,浜松,浜松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,9.5,14.2,6.2
1986/12/2,10.5,14.5,6.9
1986/12/3,11.1,16.2,8.0
1986/12/4,10.4,14.3,7.6
1986/12/5,9.0,13.3,5.9
1986/12/6,10.3,15.6,6.2
1986/12/7,11.1,15.6,7.2
1986/12/8,9.3,14.9,5.5
1986/12/9,8.5,15.9,3.0
1986/12/10,10.1,17.0,4.3
1986/12/11,11.8,15.7,8.2
1986/12/12,10.7,16.6,4.8
1986/12/13,11.8,17.9,5.1
1986/12/14,12.3,13.7,10.7
1986/12/15,12.3,15.9,7.9
1986/12/16,8.4,13.2,4.9
1986/12/17,8.3,13.8,3.5
1986/12/18,11.2,16.6,6.9
1986/12/19,12.5,17.8,7.8
1986/12/20,7.1,9.8,4.6
1986/12/21,8.2,11.9,5.0
1986/12/22,6.9,11.4,2.6
1986/12/23,6.0,10.3,1.3
1986/12/24,9.9,13.8,6.2
1986/12/25,8.8,10.7,5.7
1986/12/26,8.6,11.8,5.7
1986/12/27,7.4,10.9,4.2
1986/12/28,6.4,10.0,3.8
1986/12/29,4.5,7.7,2.7
1986/12/30,7.2,10.7,3.3
1986/12/31,9.0,10.7,6.0
1987/1/1,7.2,10.7,3.6
1987/1/2,7.3,9.3,3.3
1987/1/3,11.9,16.5,8.8
1987/1/4,8.1,12.2,4.6
1987/1/5,5.4,8.9,3.9
1987/1/6,6.6,10.2,2.9
1987/1/7,7.6,11.3,4.8
1987/1/8,8.8,12.5,5.9
1987/1/9,8.1,11.7,4.2
1987/1/10,5.2,8.7,1.9
1987/1/11,2.4,6.5,-0.2
1987/1/12,3.6,5.7,-0.5
1987/1/13,3.2,4.9,2.2
1987/1/14,3.0,7.2,-0.5
1987/1/15,6.4,12.1,2.8
1987/1/16,7.4,12.4,2.2
1987/1/17,10.1,14.5,6.2
1987/1/18,5.0,8.2,3.3
1987/1/19,4.7,8.6,2.2
1987/1/20,2.8,6.9,-0.1
1987/1/21,3.4,8.4,-0.8
1987/1/22,5.8,11.4,-0.8
1987/1/23,10.1,15.1,5.4
1987/1/24,9.3,16.6,3.3
1987/1/25,3.3,8.3,-0.3
1987/1/26,2.2,6.7,-1.4
1987/1/27,4.8,8.7,1.3
1987/1/28,6.7,11.3,2.9
1987/1/29,8.1,13.3,3.9
1987/1/30,8.9,14.9,3.9
1987/1/31,5.0,9.2,1.8
1987/2/1,3.8,8.6,1.2
1987/2/2,3.5,8.4,-0.2
1987/2/3,3.1,5.1,1.4
1987/2/4,3.7,6.9,2.0
1987/2/5,6.6,11.2,2.3
1987/2/6,8.1,11.8,4.3
1987/2/7,9.0,14.0,4.9
1987/2/8,9.0,14.2,4.8
1987/2/9,9.5,14.3,3.3
1987/2/10,12.1,18.6,7.1
1987/2/11,13.5,18.6,6.1
1987/2/12,14.7,17.7,9.0
1987/2/13,7.9,12.3,4.6
1987/2/14,8.9,13.7,4.0
1987/2/15,6.8,9.9,4.1
1987/2/16,6.3,11.2,3.4
1987/2/17,5.1,10.2,2.3
1987/2/18,6.7,8.7,4.7
1987/2/19,5.5,8.4,4.0
1987/2/20,6.2,10.9,3.2
1987/2/21,4.9,8.4,0.3
1987/2/22,5.5,9.5,2.4
1987/2/23,7.5,12.8,2.2
1987/2/24,9.5,14.2,3.1
1987/2/25,4.7,10.6,0.7
1987/2/26,2.3,5.3,-0.2
1987/2/27,2.7,6.6,-0.1
1987/2/28,3.5,7.8,-0.4
1987/3/1,4.1,8.9,0.5
1987/3/2,2.9,7.6,-0.4
1987/3/3,5.1,9.6,-0.6
1987/3/4,9.0,14.0,5.0
1987/3/5,11.3,17.1,5.3
1987/3/6,11.8,17.1,7.2
1987/3/7,4.6,8.6,3.0
1987/3/8,6.1,11.3,2.2
1987/3/9,6.5,9.7,4.2
1987/3/10,6.9,10.3,2.1
1987/3/11,8.5,13.7,6.1
1987/3/12,9.5,13.3,5.3
1987/3/13,10.2,11.6,8.5
1987/3/14,12.5,14.6,9.5
1987/3/15,9.4,14.4,5.6
1987/3/16,8.8,13.5,5.5
1987/3/17,7.9,11.3,5.8
1987/3/18,10.9,16.3,6.3
1987/3/19,11.8,16.5,6.9
1987/3/20,13.6,18.6,9.1
1987/3/21,13.8,17.0,10.1
1987/3/22,14.3,18.5,10.2
1987/3/23,14.5,17.1,12.6
1987/3/24,15.8,20.0,12.0
1987/3/25,8.8,14.4,3.5
1987/3/26,5.8,10.9,2.3
1987/3/27,8.3,13.2,2.5
1987/3/28,10.4,14.7,6.6
1987/3/29,10.0,12.0,7.4
1987/3/30,11.6,15.9,5.7
1987/3/31,11.1,16.6,3.9
