ダウンロードした時刻：2019/10/10 16:05:45

,豊岡,豊岡,豊岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/12/1,12.1,15.1,7.5
1993/12/2,10.5,20.0,4.9
1993/12/3,10.2,13.0,8.1
1993/12/4,6.0,10.2,2.8
1993/12/5,5.6,10.3,3.0
1993/12/6,4.9,8.8,1.8
1993/12/7,5.7,9.3,3.3
1993/12/8,6.4,13.6,2.7
1993/12/9,7.1,12.6,3.2
1993/12/10,5.5,8.5,1.6
1993/12/11,7.4,10.2,4.2
1993/12/12,6.3,11.4,1.9
1993/12/13,6.8,13.4,0.7
1993/12/14,6.9,10.0,2.8
1993/12/15,0.9,3.3,0.5
1993/12/16,3.5,6.9,0.6
1993/12/17,3.2,7.4,1.3
1993/12/18,3.2,6.5,1.0
1993/12/19,5.0,11.4,1.7
1993/12/20,4.2,8.9,0.7
1993/12/21,3.5,8.6,0.2
1993/12/22,1.2,3.4,0.0
1993/12/23,1.6,2.6,0.8
1993/12/24,3.7,10.0,1.0
1993/12/25,4.3,12.8,0.1
1993/12/26,5.6,14.1,-2.2
1993/12/27,6.2,8.7,4.0
1993/12/28,6.6,9.8,5.0
1993/12/29,5.1,9.9,-0.5
1993/12/30,5.8,16.0,-3.2
1993/12/31,7.2,11.9,3.3
1994/1/1,4.7,6.8,0.4
1994/1/2,4.8,13.7,-1.1
1994/1/3,5.3,11.6,0.5
1994/1/4,7.4,12.0,5.0
1994/1/5,5.8,10.3,0.6
1994/1/6,6.6,13.8,-0.1
1994/1/7,3.9,8.5,1.8
1994/1/8,4.2,9.6,0.4
1994/1/9,4.3,13.3,-1.4
1994/1/10,5.9,13.3,1.3
1994/1/11,4.5,7.6,1.3
1994/1/12,5.5,7.3,4.4
1994/1/13,4.6,6.8,2.8
1994/1/14,2.7,5.0,0.3
1994/1/15,1.7,6.0,-1.6
1994/1/16,2.0,10.5,-2.6
1994/1/17,8.2,13.4,1.2
1994/1/18,5.5,7.9,0.4
1994/1/19,1.4,4.4,0.1
1994/1/20,1.7,6.5,-0.5
1994/1/21,0.5,3.8,-1.0
1994/1/22,1.1,5.3,-1.4
1994/1/23,0.2,5.4,-2.8
1994/1/24,1.0,5.2,-1.6
1994/1/25,2.4,8.8,-1.5
1994/1/26,3.3,13.6,-3.4
1994/1/27,2.7,6.3,0.8
1994/1/28,3.3,7.6,1.0
1994/1/29,2.1,4.4,-0.4
1994/1/30,0.7,3.1,-0.9
1994/1/31,2.3,7.4,-0.8
1994/2/1,4.4,7.9,1.9
1994/2/2,1.6,4.4,0.2
1994/2/3,1.4,4.1,0.3
1994/2/4,1.7,4.7,-0.2
1994/2/5,2.9,9.0,-0.5
1994/2/6,3.8,10.2,0.3
1994/2/7,3.8,11.3,0.1
1994/2/8,3.6,9.8,-1.3
1994/2/9,4.6,9.1,0.4
1994/2/10,1.3,3.2,0.0
1994/2/11,1.5,4.2,-0.5
1994/2/12,1.0,2.2,0.0
1994/2/13,2.1,5.0,-0.9
1994/2/14,3.0,7.9,-0.2
1994/2/15,1.6,7.7,-2.0
1994/2/16,2.3,8.3,-1.8
1994/2/17,3.3,8.0,-0.3
1994/2/18,2.8,12.0,-3.1
1994/2/19,4.2,15.7,-3.5
1994/2/20,5.5,15.0,-1.0
1994/2/21,6.2,8.8,3.3
1994/2/22,5.8,8.7,3.0
1994/2/23,4.3,7.6,1.3
1994/2/24,2.4,3.9,0.7
1994/2/25,3.5,7.7,0.7
1994/2/26,3.3,7.9,0.7
1994/2/27,3.0,5.9,0.6
1994/2/28,4.1,9.3,0.5
1994/3/1,3.1,7.0,0.5
1994/3/2,3.4,8.3,0.9
1994/3/3,4.3,11.5,-1.5
1994/3/4,4.5,10.1,0.4
1994/3/5,2.6,5.0,0.4
1994/3/6,3.5,8.8,-0.6
1994/3/7,5.6,12.7,-0.9
1994/3/8,10.7,13.5,7.4
1994/3/9,9.3,13.0,6.9
1994/3/10,4.7,7.1,2.0
1994/3/11,5.2,11.1,0.6
1994/3/12,4.9,7.1,2.4
1994/3/13,4.9,8.5,1.6
1994/3/14,2.4,7.1,0.5
1994/3/15,2.6,6.3,-1.0
1994/3/16,5.1,12.9,-1.9
1994/3/17,4.6,8.3,1.1
1994/3/18,4.6,13.2,-1.3
1994/3/19,6.4,15.1,-0.7
1994/3/20,5.3,10.4,2.0
1994/3/21,5.3,9.6,1.1
1994/3/22,5.5,13.0,-1.4
1994/3/23,7.7,9.8,5.4
1994/3/24,6.7,11.2,2.5
1994/3/25,2.8,7.5,0.6
1994/3/26,2.3,5.8,0.5
1994/3/27,5.3,11.9,0.8
1994/3/28,7.6,15.2,-1.4
1994/3/29,6.5,10.1,0.7
1994/3/30,4.8,13.0,-1.6
1994/3/31,8.1,18.1,-0.9
