ダウンロードした時刻：2019/10/10 16:22:07

,大分,大分,大分
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,5.9,8.7,1.1
1987/12/2,4.3,8.6,0.5
1987/12/3,7.5,11.8,2.0
1987/12/4,6.5,10.4,1.8
1987/12/5,5.5,8.1,0.9
1987/12/6,7.9,10.6,5.9
1987/12/7,6.7,11.2,2.7
1987/12/8,7.5,14.0,0.6
1987/12/9,10.0,11.4,8.1
1987/12/10,9.2,14.3,5.1
1987/12/11,9.8,13.3,6.9
1987/12/12,9.1,12.2,5.5
1987/12/13,7.6,11.6,3.8
1987/12/14,6.2,12.8,0.9
1987/12/15,8.0,12.9,2.4
1987/12/16,8.9,13.5,2.7
1987/12/17,6.8,12.5,0.6
1987/12/18,7.5,12.9,1.4
1987/12/19,7.6,14.6,1.7
1987/12/20,8.7,15.1,1.8
1987/12/21,8.1,11.9,2.4
1987/12/22,6.7,13.8,-0.3
1987/12/23,8.3,15.1,3.8
1987/12/24,6.8,15.0,0.5
1987/12/25,9.1,17.8,0.6
1987/12/26,12.1,19.0,6.6
1987/12/27,11.8,20.6,6.1
1987/12/28,11.1,18.8,5.1
1987/12/29,12.8,18.5,6.1
1987/12/30,11.0,17.5,6.9
1987/12/31,5.8,11.3,1.3
1988/1/1,7.3,15.1,0.6
1988/1/2,9.9,13.3,5.2
1988/1/3,10.2,14.8,5.6
1988/1/4,9.1,12.2,5.1
1988/1/5,8.9,11.5,6.1
1988/1/6,6.5,10.0,2.9
1988/1/7,6.9,9.5,2.7
1988/1/8,10.0,13.8,6.9
1988/1/9,7.9,11.2,4.6
1988/1/10,4.0,6.6,2.5
1988/1/11,3.9,8.5,-0.8
1988/1/12,3.0,9.5,-1.9
1988/1/13,4.9,12.0,-1.4
1988/1/14,6.7,14.0,-0.8
1988/1/15,10.2,12.5,5.2
1988/1/16,11.5,15.8,7.5
1988/1/17,6.5,10.6,2.6
1988/1/18,6.4,9.0,3.8
1988/1/19,5.9,10.0,2.5
1988/1/20,5.7,13.2,-0.5
1988/1/21,10.3,17.9,3.4
1988/1/22,11.8,14.5,8.2
1988/1/23,4.4,12.6,0.7
1988/1/24,2.8,6.3,-0.3
1988/1/25,5.2,7.7,0.0
1988/1/26,6.6,9.5,4.5
1988/1/27,5.2,10.5,0.2
1988/1/28,5.3,12.5,-1.5
1988/1/29,9.6,16.1,4.1
1988/1/30,7.4,11.7,3.2
1988/1/31,5.3,7.7,1.3
1988/2/1,3.8,9.9,-2.3
1988/2/2,5.9,12.5,2.1
1988/2/3,1.0,4.5,-2.1
1988/2/4,2.6,9.6,-4.9
1988/2/5,13.1,23.9,0.5
1988/2/6,9.3,15.4,4.0
1988/2/7,2.9,5.3,0.9
1988/2/8,3.8,8.0,0.8
1988/2/9,3.9,7.3,-0.5
1988/2/10,5.0,7.6,2.3
1988/2/11,3.9,7.9,0.0
1988/2/12,5.6,11.7,-0.3
1988/2/13,5.8,11.9,0.1
1988/2/14,7.7,12.0,3.9
1988/2/15,6.3,9.0,2.3
1988/2/16,3.9,8.0,-0.7
1988/2/17,4.8,8.6,2.8
1988/2/18,3.8,7.0,1.3
1988/2/19,3.8,9.0,-2.6
1988/2/20,5.5,9.9,1.7
1988/2/21,6.4,9.4,1.1
1988/2/22,7.9,11.3,3.5
1988/2/23,10.4,13.0,9.5
1988/2/24,9.5,11.9,7.4
1988/2/25,8.2,12.0,4.9
1988/2/26,6.1,8.1,4.7
1988/2/27,5.6,7.1,4.2
1988/2/28,7.2,10.7,1.9
1988/2/29,7.0,8.5,5.4
1988/3/1,9.1,10.9,6.7
1988/3/2,9.5,12.4,6.3
1988/3/3,4.3,6.9,1.7
1988/3/4,2.7,7.2,-1.9
1988/3/5,4.2,8.1,-0.2
1988/3/6,6.3,10.7,1.0
1988/3/7,3.0,5.8,-0.8
1988/3/8,4.6,9.3,-1.7
1988/3/9,7.3,12.5,1.6
1988/3/10,8.2,15.3,2.4
1988/3/11,10.7,20.0,2.2
1988/3/12,13.9,16.9,7.8
1988/3/13,10.9,16.6,3.8
1988/3/14,11.5,13.4,10.4
1988/3/15,10.3,12.8,7.7
1988/3/16,4.5,7.7,3.1
1988/3/17,5.7,6.7,2.9
1988/3/18,10.0,14.2,6.2
1988/3/19,9.9,15.0,2.9
1988/3/20,9.4,12.7,5.6
1988/3/21,8.2,9.8,6.3
1988/3/22,10.7,13.8,9.1
1988/3/23,10.4,14.9,6.1
1988/3/24,8.2,12.6,2.1
1988/3/25,8.4,9.2,7.2
1988/3/26,9.9,12.8,8.6
1988/3/27,8.9,12.3,5.4
1988/3/28,7.4,11.1,3.0
1988/3/29,9.9,12.3,6.4
1988/3/30,7.5,10.5,4.6
1988/3/31,8.7,14.6,2.5
