ダウンロードした時刻：2019/10/10 16:21:54

,佐賀,佐賀,佐賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/12/1,12.8,17.3,9.6
2016/12/2,10.6,14.8,6.2
2016/12/3,9.2,16.7,3.5
2016/12/4,10.2,11.9,7.8
2016/12/5,11.1,16.0,6.5
2016/12/6,10.5,13.8,4.9
2016/12/7,7.2,12.6,1.8
2016/12/8,8.8,14.2,4.3
2016/12/9,11.1,17.3,7.2
2016/12/10,8.8,15.1,4.4
2016/12/11,8.2,14.8,2.8
2016/12/12,9.2,14.3,4.0
2016/12/13,12.4,14.4,9.9
2016/12/14,10.9,14.4,7.9
2016/12/15,7.4,9.7,5.2
2016/12/16,5.2,9.0,1.1
2016/12/17,5.9,12.5,0.9
2016/12/18,6.6,12.0,1.2
2016/12/19,10.7,18.1,3.3
2016/12/20,12.7,16.2,10.9
2016/12/21,14.7,18.7,10.3
2016/12/22,15.0,18.6,10.6
2016/12/23,9.2,11.4,6.8
2016/12/24,7.6,11.4,5.4
2016/12/25,10.1,15.5,5.1
2016/12/26,12.0,15.0,10.0
2016/12/27,10.6,16.1,7.1
2016/12/28,6.6,9.7,4.4
2016/12/29,5.6,9.2,3.2
2016/12/30,5.0,11.0,0.2
2016/12/31,5.9,12.3,0.4
2017/1/1,6.9,13.5,2.0
2017/1/2,7.7,11.6,2.9
2017/1/3,7.7,15.2,2.2
2017/1/4,8.0,14.8,1.8
2017/1/5,8.8,12.1,5.6
2017/1/6,8.8,13.6,5.5
2017/1/7,7.8,11.7,2.4
2017/1/8,11.7,15.8,9.2
2017/1/9,9.9,12.3,5.7
2017/1/10,6.7,11.2,3.4
2017/1/11,4.9,8.6,1.9
2017/1/12,4.9,8.9,0.4
2017/1/13,6.8,9.3,4.9
2017/1/14,4.9,7.2,2.5
2017/1/15,2.4,6.5,-0.8
2017/1/16,2.8,9.4,-2.4
2017/1/17,5.1,11.2,-0.3
2017/1/18,7.2,13.8,1.5
2017/1/19,8.7,12.4,5.7
2017/1/20,6.0,8.9,2.4
2017/1/21,5.5,9.6,1.0
2017/1/22,4.8,8.3,2.7
2017/1/23,2.3,5.3,-0.3
2017/1/24,1.8,7.0,-1.9
2017/1/25,2.4,9.2,-3.3
2017/1/26,4.3,10.5,-0.5
2017/1/27,6.9,14.0,1.0
2017/1/28,6.8,14.3,0.3
2017/1/29,9.8,14.4,4.1
2017/1/30,9.6,14.4,4.4
2017/1/31,7.2,10.4,3.8
2017/2/1,6.9,9.9,2.8
2017/2/2,5.3,12.4,-0.2
2017/2/3,6.6,13.9,0.2
2017/2/4,9.3,13.3,5.3
2017/2/5,9.8,13.7,7.8
2017/2/6,7.5,11.3,4.7
2017/2/7,6.4,12.2,2.0
2017/2/8,6.1,10.4,2.1
2017/2/9,4.5,7.1,1.5
2017/2/10,1.7,5.1,-0.4
2017/2/11,2.5,7.2,-0.7
2017/2/12,3.5,9.5,-0.7
2017/2/13,4.2,11.4,-1.4
2017/2/14,5.3,11.3,1.0
2017/2/15,6.0,12.6,0.0
2017/2/16,9.0,16.1,0.6
2017/2/17,13.6,19.3,9.0
2017/2/18,8.0,12.3,3.1
2017/2/19,6.6,11.9,-0.1
2017/2/20,11.8,17.4,7.6
2017/2/21,7.8,12.3,4.3
2017/2/22,8.4,14.1,2.6
2017/2/23,9.7,13.9,4.9
2017/2/24,6.8,12.5,2.9
2017/2/25,5.5,11.5,0.2
2017/2/26,7.2,12.1,2.9
2017/2/27,7.9,14.2,2.2
2017/2/28,8.5,15.5,2.0
2017/3/1,8.3,14.4,2.9
2017/3/2,8.9,12.4,6.2
2017/3/3,8.5,15.0,2.7
2017/3/4,10.1,16.7,4.9
2017/3/5,9.4,13.8,5.3
2017/3/6,9.2,15.2,5.6
2017/3/7,7.1,11.2,5.0
2017/3/8,5.4,8.4,3.5
2017/3/9,7.4,12.7,2.9
2017/3/10,8.8,16.3,1.9
2017/3/11,9.3,17.3,2.5
2017/3/12,10.7,17.7,2.8
2017/3/13,10.2,11.1,8.7
2017/3/14,11.0,15.0,7.2
2017/3/15,8.3,12.0,5.6
2017/3/16,9.0,16.0,3.2
2017/3/17,9.6,16.5,3.7
2017/3/18,9.6,15.5,3.1
2017/3/19,12.3,20.1,5.2
2017/3/20,11.2,14.4,8.3
2017/3/21,11.5,15.4,8.9
2017/3/22,10.7,15.0,7.0
2017/3/23,9.6,12.9,6.5
2017/3/24,9.7,14.3,4.6
2017/3/25,10.5,15.0,7.9
2017/3/26,10.3,14.8,7.3
2017/3/27,9.2,13.7,5.6
2017/3/28,10.1,16.5,3.0
2017/3/29,10.7,12.8,8.5
2017/3/30,15.2,21.1,11.4
2017/3/31,10.6,13.9,8.0
