ダウンロードした時刻：2019/10/10 16:09:50

,広島,広島,広島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2018/12/1,12.1,17.9,8.3
2018/12/2,12.3,17.0,7.9
2018/12/3,13.9,15.2,12.3
2018/12/4,16.8,20.9,14.8
2018/12/5,15.1,19.1,12.0
2018/12/6,11.9,12.9,10.8
2018/12/7,9.2,12.0,5.8
2018/12/8,4.9,6.8,3.4
2018/12/9,4.9,6.5,3.6
2018/12/10,6.5,11.5,3.0
2018/12/11,5.4,6.9,3.2
2018/12/12,7.9,12.3,5.0
2018/12/13,7.1,12.6,2.9
2018/12/14,7.0,9.3,4.6
2018/12/15,6.8,12.4,2.9
2018/12/16,5.7,8.0,2.4
2018/12/17,7.9,11.9,6.0
2018/12/18,7.8,11.6,4.6
2018/12/19,8.0,13.7,3.1
2018/12/20,9.0,11.4,6.4
2018/12/21,10.8,13.5,8.7
2018/12/22,13.1,16.8,10.8
2018/12/23,12.4,15.1,9.4
2018/12/24,8.7,13.0,5.1
2018/12/25,7.4,12.4,2.8
2018/12/26,9.0,10.9,7.6
2018/12/27,7.9,12.6,4.5
2018/12/28,3.3,7.1,1.4
2018/12/29,3.1,6.7,1.0
2018/12/30,3.1,7.5,0.2
2018/12/31,4.6,9.1,1.7
2019/1/1,5.4,10.7,0.9
2019/1/2,5.6,9.8,2.0
2019/1/3,4.8,11.2,0.3
2019/1/4,6.4,11.0,0.8
2019/1/5,8.3,12.4,5.5
2019/1/6,6.6,8.8,4.5
2019/1/7,6.6,11.4,2.5
2019/1/8,7.2,13.0,3.0
2019/1/9,5.6,8.1,2.7
2019/1/10,4.6,7.8,1.0
2019/1/11,8.0,12.5,4.8
2019/1/12,6.5,8.4,4.9
2019/1/13,7.1,14.1,2.7
2019/1/14,7.4,12.9,2.9
2019/1/15,8.1,14.2,4.4
2019/1/16,6.8,9.7,3.7
2019/1/17,5.8,11.7,0.9
2019/1/18,7.0,12.5,2.4
2019/1/19,7.2,13.0,1.3
2019/1/20,9.3,14.0,6.6
2019/1/21,6.7,11.4,3.2
2019/1/22,6.4,12.6,1.4
2019/1/23,7.4,15.4,1.2
2019/1/24,7.5,10.7,3.8
2019/1/25,6.6,13.5,1.2
2019/1/26,2.3,6.7,0.9
2019/1/27,4.6,9.8,1.2
2019/1/28,5.8,11.1,1.2
2019/1/29,6.2,10.9,2.8
2019/1/30,5.7,11.3,0.9
2019/1/31,5.8,7.3,3.7
2019/2/1,4.6,8.5,1.1
2019/2/2,4.6,11.0,-0.8
2019/2/3,5.6,8.2,3.0
2019/2/4,10.4,14.2,5.2
2019/2/5,7.7,13.1,2.2
2019/2/6,8.4,12.1,6.0
2019/2/7,10.3,14.8,6.6
2019/2/8,7.7,10.7,4.8
2019/2/9,5.8,8.6,4.5
2019/2/10,5.8,10.2,2.7
2019/2/11,5.4,8.5,2.7
2019/2/12,5.8,10.9,1.0
2019/2/13,7.4,12.4,4.3
2019/2/14,6.1,9.1,2.9
2019/2/15,5.1,7.8,1.2
2019/2/16,7.6,11.3,5.8
2019/2/17,7.0,12.3,3.1
2019/2/18,7.3,12.6,1.7
2019/2/19,8.2,10.2,6.2
2019/2/20,10.8,14.5,7.8
2019/2/21,8.6,12.7,5.4
2019/2/22,8.5,12.3,4.4
2019/2/23,10.0,14.7,6.3
2019/2/24,7.8,12.9,3.5
2019/2/25,9.3,15.0,3.6
2019/2/26,10.6,17.1,6.3
2019/2/27,7.9,11.5,5.2
2019/2/28,9.1,13.4,5.7
2019/3/1,9.9,15.7,5.1
2019/3/2,9.4,14.6,4.1
2019/3/3,9.0,10.9,7.1
2019/3/4,10.3,14.4,7.5
2019/3/5,10.1,16.5,3.9
2019/3/6,9.5,10.5,8.7
2019/3/7,9.2,13.0,5.3
2019/3/8,7.7,13.6,2.0
2019/3/9,9.6,16.3,2.6
2019/3/10,10.6,12.5,8.7
2019/3/11,12.6,16.7,8.0
2019/3/12,11.3,15.9,7.5
2019/3/13,8.2,11.4,6.2
2019/3/14,7.8,12.7,3.5
2019/3/15,7.5,14.8,1.5
2019/3/16,8.5,14.1,3.3
2019/3/17,9.1,15.8,4.3
2019/3/18,9.5,15.7,2.7
2019/3/19,11.2,16.4,8.9
2019/3/20,12.6,18.9,6.0
2019/3/21,15.6,20.8,12.4
2019/3/22,12.6,16.0,8.0
2019/3/23,7.9,11.9,5.8
2019/3/24,8.6,12.8,4.6
2019/3/25,8.8,12.5,3.9
2019/3/26,12.1,19.8,6.3
2019/3/27,13.8,20.7,6.2
2019/3/28,16.3,21.8,12.6
2019/3/29,14.1,19.3,9.8
2019/3/30,15.5,20.0,13.0
2019/3/31,10.2,14.1,6.3
