ダウンロードした時刻：2019/10/10 16:10:38

,岡山,岡山,岡山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2017/12/1,7.6,13.6,3.1
2017/12/2,5.7,12.1,0.7
2017/12/3,7.2,14.8,1.6
2017/12/4,6.3,9.6,2.4
2017/12/5,4.6,8.3,0.5
2017/12/6,4.1,10.0,-0.5
2017/12/7,6.5,12.9,0.2
2017/12/8,6.2,9.9,2.0
2017/12/9,5.7,11.1,1.3
2017/12/10,7.0,11.8,1.6
2017/12/11,5.7,9.8,1.9
2017/12/12,2.2,6.4,-0.3
2017/12/13,2.5,7.1,-0.8
2017/12/14,3.3,7.8,-1.0
2017/12/15,4.9,10.4,-0.8
2017/12/16,6.1,12.1,2.5
2017/12/17,2.5,7.4,-0.5
2017/12/18,4.5,9.1,-0.5
2017/12/19,5.9,11.0,1.5
2017/12/20,2.6,8.3,-2.2
2017/12/21,3.5,11.5,-2.5
2017/12/22,4.3,11.5,-1.2
2017/12/23,4.9,11.9,-0.5
2017/12/24,7.1,10.9,1.9
2017/12/25,7.6,12.0,3.5
2017/12/26,4.7,9.4,0.9
2017/12/27,3.8,7.9,0.8
2017/12/28,4.7,9.6,-0.1
2017/12/29,6.3,9.3,2.9
2017/12/30,6.5,12.0,1.9
2017/12/31,4.9,7.9,2.6
2018/1/1,4.5,10.4,0.5
2018/1/2,5.6,11.7,0.2
2018/1/3,4.3,7.8,-1.1
2018/1/4,2.7,8.6,-2.9
2018/1/5,3.9,6.6,1.7
2018/1/6,5.5,11.3,0.1
2018/1/7,4.5,9.5,-1.0
2018/1/8,6.6,8.3,4.2
2018/1/9,6.4,9.8,2.8
2018/1/10,3.9,8.4,0.4
2018/1/11,0.4,3.9,-2.9
2018/1/12,-0.5,5.2,-5.5
2018/1/13,0.7,6.2,-3.4
2018/1/14,1.2,7.1,-3.6
2018/1/15,2.5,9.6,-3.3
2018/1/16,5.8,13.0,-0.7
2018/1/17,9.7,12.5,7.5
2018/1/18,9.6,14.5,4.5
2018/1/19,7.5,12.9,3.9
2018/1/20,7.0,14.0,2.3
2018/1/21,5.8,12.4,0.3
2018/1/22,2.7,5.2,1.0
2018/1/23,2.7,8.1,-0.5
2018/1/24,-1.1,2.5,-3.8
2018/1/25,-0.2,5.5,-3.9
2018/1/26,0.2,3.9,-2.0
2018/1/27,0.4,6.1,-3.8
2018/1/28,0.9,4.5,-2.9
2018/1/29,2.9,7.8,-0.7
2018/1/30,1.3,6.6,-3.3
2018/1/31,2.0,8.4,-3.7
2018/2/1,2.6,5.0,0.2
2018/2/2,3.0,8.7,-1.1
2018/2/3,4.2,9.2,0.3
2018/2/4,1.4,5.6,-1.2
2018/2/5,-0.3,4.1,-2.8
2018/2/6,-1.2,4.9,-5.7
2018/2/7,-0.1,5.7,-6.1
2018/2/8,1.2,7.1,-4.2
2018/2/9,2.1,9.6,-4.5
2018/2/10,4.0,5.8,1.7
2018/2/11,2.4,6.0,-1.3
2018/2/12,1.2,6.4,-1.7
2018/2/13,1.1,6.8,-3.7
2018/2/14,3.6,11.6,-4.0
2018/2/15,6.1,11.1,1.5
2018/2/16,5.7,11.8,0.3
2018/2/17,5.1,9.7,0.4
2018/2/18,3.1,9.1,-1.3
2018/2/19,4.4,10.0,-0.3
2018/2/20,6.4,14.1,-0.5
2018/2/21,7.2,12.9,4.2
2018/2/22,4.9,9.0,0.6
2018/2/23,5.5,12.9,-1.3
2018/2/24,6.6,14.9,-1.1
2018/2/25,5.9,9.6,2.6
2018/2/26,7.8,14.5,2.1
2018/2/27,7.6,16.1,0.5
2018/2/28,9.1,13.6,1.9
2018/3/1,11.7,15.1,7.0
2018/3/2,7.6,13.3,3.1
2018/3/3,7.4,13.6,0.7
2018/3/4,11.8,20.3,3.7
2018/3/5,12.1,16.0,7.0
2018/3/6,7.2,11.9,3.4
2018/3/7,6.9,12.3,0.5
2018/3/8,9.8,11.2,8.1
2018/3/9,6.2,10.8,3.0
2018/3/10,5.2,12.7,-0.3
2018/3/11,7.4,15.3,-0.1
2018/3/12,8.3,16.5,1.7
2018/3/13,10.6,20.2,2.6
2018/3/14,13.8,23.2,6.1
2018/3/15,14.9,22.0,7.9
2018/3/16,8.5,14.0,2.7
2018/3/17,5.9,12.7,-0.2
2018/3/18,9.5,16.2,1.7
2018/3/19,12.9,15.0,10.8
2018/3/20,8.2,11.1,4.6
2018/3/21,7.0,9.4,4.4
2018/3/22,8.5,13.7,3.2
2018/3/23,7.9,15.5,0.9
2018/3/24,9.6,17.0,2.5
2018/3/25,11.7,19.5,4.4
2018/3/26,13.0,21.8,5.8
2018/3/27,13.9,22.9,6.4
2018/3/28,15.3,24.8,6.9
2018/3/29,16.2,24.3,8.2
2018/3/30,13.8,20.0,8.2
2018/3/31,11.4,19.1,3.4
