ダウンロードした時刻：2019/10/10 16:02:43

,八丈島,八丈島,八丈島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/12/1,12.4,16.8,11.7
1983/12/2,14.6,16.4,12.2
1983/12/3,15.6,17.2,13.9
1983/12/4,12.0,14.5,10.7
1983/12/5,13.6,16.0,10.7
1983/12/6,11.8,14.5,10.7
1983/12/7,12.1,14.3,10.1
1983/12/8,10.9,13.7,8.2
1983/12/9,12.9,16.0,8.7
1983/12/10,16.3,18.3,12.2
1983/12/11,16.2,20.3,10.9
1983/12/12,11.1,12.7,9.8
1983/12/13,13.3,15.2,11.2
1983/12/14,15.6,18.1,13.4
1983/12/15,13.0,14.8,11.2
1983/12/16,11.2,13.3,10.6
1983/12/17,11.8,14.7,10.4
1983/12/18,8.4,11.6,4.7
1983/12/19,9.2,12.1,4.8
1983/12/20,9.2,11.1,7.2
1983/12/21,8.2,12.1,4.8
1983/12/22,13.4,17.1,5.1
1983/12/23,12.2,17.9,9.3
1983/12/24,9.8,11.4,8.2
1983/12/25,8.2,10.7,7.2
1983/12/26,7.4,9.3,5.1
1983/12/27,7.5,9.9,5.2
1983/12/28,7.8,11.2,5.2
1983/12/29,8.5,10.0,6.3
1983/12/30,8.2,9.9,6.8
1983/12/31,9.2,11.1,7.6
1984/1/1,8.5,11.0,5.5
1984/1/2,10.4,12.1,8.8
1984/1/3,12.5,16.2,9.7
1984/1/4,9.7,12.4,7.8
1984/1/5,7.6,10.3,4.5
1984/1/6,7.8,10.5,5.7
1984/1/7,8.8,10.8,6.3
1984/1/8,7.8,11.4,4.1
1984/1/9,8.4,10.9,3.6
1984/1/10,11.3,13.1,9.0
1984/1/11,10.0,12.8,6.6
1984/1/12,7.0,8.6,6.1
1984/1/13,8.5,10.7,6.5
1984/1/14,9.3,12.4,5.7
1984/1/15,13.8,16.7,8.6
1984/1/16,7.7,16.2,5.8
1984/1/17,6.4,8.6,5.4
1984/1/18,7.1,8.8,6.1
1984/1/19,7.7,9.7,5.8
1984/1/20,7.2,10.0,5.3
1984/1/21,10.1,11.7,6.0
1984/1/22,10.6,14.4,8.9
1984/1/23,7.7,9.6,5.8
1984/1/24,7.4,10.4,5.5
1984/1/25,7.4,9.5,5.7
1984/1/26,5.3,6.9,3.1
1984/1/27,6.2,9.5,4.7
1984/1/28,6.9,9.2,4.8
1984/1/29,5.7,7.7,2.5
1984/1/30,6.9,10.5,2.6
1984/1/31,11.9,16.8,7.3
1984/2/1,9.8,12.9,7.9
1984/2/2,11.1,14.2,7.9
1984/2/3,6.9,12.0,2.3
1984/2/4,4.2,5.6,2.3
1984/2/5,7.4,9.3,4.6
1984/2/6,6.1,9.2,3.6
1984/2/7,2.6,4.7,0.0
1984/2/8,2.7,5.7,1.1
1984/2/9,3.8,5.7,1.2
1984/2/10,5.0,6.3,2.8
1984/2/11,7.4,11.5,5.0
1984/2/12,8.4,11.0,4.4
1984/2/13,9.1,11.3,6.9
1984/2/14,9.0,11.9,6.9
1984/2/15,7.5,9.8,5.8
1984/2/16,6.7,9.3,4.7
1984/2/17,10.7,14.6,6.4
1984/2/18,6.8,9.7,5.3
1984/2/19,6.9,10.4,5.5
1984/2/20,8.4,11.7,4.8
1984/2/21,9.5,12.6,6.4
1984/2/22,11.6,15.8,8.4
1984/2/23,14.1,17.2,10.2
1984/2/24,10.7,12.4,9.3
1984/2/25,10.0,11.9,9.0
1984/2/26,11.9,15.0,9.9
1984/2/27,7.6,10.1,3.5
1984/2/28,5.3,6.9,3.7
1984/2/29,6.6,8.8,3.2
1984/3/1,6.8,8.7,4.7
1984/3/2,9.2,12.7,6.6
1984/3/3,10.5,13.5,8.1
1984/3/4,7.5,10.1,5.8
1984/3/5,7.9,10.3,6.5
1984/3/6,8.2,11.5,6.2
1984/3/7,7.6,9.8,5.9
1984/3/8,8.3,11.2,6.7
1984/3/9,8.5,12.1,6.6
1984/3/10,9.4,14.9,6.7
1984/3/11,7.0,9.4,5.9
1984/3/12,9.8,12.9,6.1
1984/3/13,9.7,12.9,8.1
1984/3/14,9.5,11.2,7.2
1984/3/15,10.1,11.8,8.5
1984/3/16,11.9,13.0,10.7
1984/3/17,11.6,15.2,9.0
1984/3/18,9.7,12.5,7.7
1984/3/19,10.6,13.9,8.4
1984/3/20,10.4,14.0,8.4
1984/3/21,8.0,11.5,4.5
1984/3/22,6.5,10.3,3.4
1984/3/23,6.8,9.2,4.3
1984/3/24,11.9,15.3,5.2
1984/3/25,11.7,15.1,10.2
1984/3/26,11.8,14.2,8.2
1984/3/27,12.8,16.0,8.1
1984/3/28,8.4,13.5,7.0
1984/3/29,11.2,15.3,4.1
1984/3/30,14.4,18.6,12.2
1984/3/31,15.4,19.3,13.1
