ダウンロードした時刻：2019/10/10 16:26:31

,種子島,種子島,種子島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,13.0,17.2,10.1
1986/12/2,15.4,18.7,10.9
1986/12/3,17.8,20.2,15.4
1986/12/4,15.0,18.0,12.3
1986/12/5,14.0,16.3,12.3
1986/12/6,16.1,19.8,10.1
1986/12/7,13.5,18.2,9.2
1986/12/8,12.4,14.1,10.2
1986/12/9,14.7,16.7,11.6
1986/12/10,16.1,18.8,12.1
1986/12/11,14.3,18.4,11.0
1986/12/12,16.0,19.9,12.5
1986/12/13,17.7,20.2,14.8
1986/12/14,18.9,20.4,16.2
1986/12/15,18.0,19.8,15.3
1986/12/16,15.1,17.6,13.7
1986/12/17,15.5,17.8,13.5
1986/12/18,18.1,21.4,16.2
1986/12/19,12.5,16.8,9.4
1986/12/20,11.8,14.7,8.1
1986/12/21,14.1,17.7,8.7
1986/12/22,12.4,14.3,9.0
1986/12/23,15.1,19.3,10.8
1986/12/24,16.1,18.4,11.8
1986/12/25,16.7,20.7,12.9
1986/12/26,12.9,16.6,10.4
1986/12/27,14.0,16.1,12.2
1986/12/28,9.8,13.2,8.0
1986/12/29,10.8,13.0,8.4
1986/12/30,13.6,17.1,9.4
1986/12/31,18.0,19.9,15.2
1987/1/1,15.3,17.7,13.1
1987/1/2,18.3,20.4,14.4
1987/1/3,16.1,18.5,13.6
1987/1/4,14.5,18.4,11.1
1987/1/5,13.1,15.4,12.2
1987/1/6,12.6,14.7,11.1
1987/1/7,13.7,17.2,8.4
1987/1/8,13.4,15.8,11.9
1987/1/9,15.2,17.0,12.5
1987/1/10,13.0,16.2,10.4
1987/1/11,11.9,13.5,9.2
1987/1/12,11.8,15.6,7.0
1987/1/13,5.7,9.3,4.4
1987/1/14,8.0,9.7,4.5
1987/1/15,12.3,15.9,9.1
1987/1/16,14.6,19.0,9.2
1987/1/17,14.0,16.4,10.7
1987/1/18,10.4,12.4,9.3
1987/1/19,9.4,10.6,7.7
1987/1/20,7.7,11.4,4.3
1987/1/21,10.1,14.2,5.6
1987/1/22,13.3,15.7,8.7
1987/1/23,17.0,20.9,13.6
1987/1/24,10.1,15.3,7.3
1987/1/25,7.2,8.5,5.4
1987/1/26,8.0,10.9,3.3
1987/1/27,10.6,13.6,8.7
1987/1/28,11.6,13.8,9.8
1987/1/29,14.1,16.8,10.8
1987/1/30,14.4,16.8,11.8
1987/1/31,10.2,12.6,7.9
1987/2/1,9.6,10.9,7.1
1987/2/2,10.7,14.0,7.3
1987/2/3,6.9,8.7,4.1
1987/2/4,8.5,11.0,6.6
1987/2/5,10.6,12.8,8.2
1987/2/6,12.9,15.6,10.3
1987/2/7,14.2,17.2,13.4
1987/2/8,13.9,16.9,12.3
1987/2/9,13.9,17.5,11.0
1987/2/10,15.8,21.0,10.0
1987/2/11,18.9,22.1,14.3
1987/2/12,17.5,20.9,14.3
1987/2/13,14.6,17.9,12.9
1987/2/14,15.3,17.6,13.1
1987/2/15,12.4,15.0,9.6
1987/2/16,12.3,15.1,8.2
1987/2/17,17.5,21.8,12.8
1987/2/18,15.5,18.8,13.1
1987/2/19,11.6,13.1,10.4
1987/2/20,10.9,12.0,9.6
1987/2/21,11.9,13.2,11.1
1987/2/22,12.3,13.7,11.2
1987/2/23,13.3,16.1,11.0
1987/2/24,14.4,17.8,11.3
1987/2/25,8.8,12.4,7.1
1987/2/26,8.8,10.9,7.4
1987/2/27,6.5,9.2,4.2
1987/2/28,8.6,11.9,3.7
1987/3/1,10.1,12.6,6.9
1987/3/2,7.9,10.6,6.0
1987/3/3,10.7,14.3,6.8
1987/3/4,14.5,18.2,11.2
1987/3/5,15.9,18.8,13.2
1987/3/6,17.4,21.3,12.9
1987/3/7,16.0,19.5,10.6
1987/3/8,12.3,15.8,8.8
1987/3/9,13.7,17.6,12.3
1987/3/10,12.7,15.7,10.6
1987/3/11,14.7,17.2,12.1
1987/3/12,14.3,16.4,11.3
1987/3/13,17.6,19.3,14.7
1987/3/14,16.4,18.1,14.1
1987/3/15,14.7,17.6,13.2
1987/3/16,13.0,15.8,10.8
1987/3/17,16.5,19.1,12.1
1987/3/18,15.5,18.2,11.3
1987/3/19,17.4,20.7,10.7
1987/3/20,16.9,18.7,15.9
1987/3/21,17.2,18.6,15.4
1987/3/22,18.6,21.4,16.8
1987/3/23,20.7,23.6,18.5
1987/3/24,17.3,21.2,14.6
1987/3/25,10.7,14.7,8.3
1987/3/26,10.3,13.8,7.9
1987/3/27,11.5,14.8,8.0
1987/3/28,13.4,16.2,10.4
1987/3/29,15.2,16.9,12.4
1987/3/30,17.7,19.9,15.6
1987/3/31,16.4,18.9,13.0
