ダウンロードした時刻：2017/07/24 15:42:57

,松江,松江,松江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/1/1,6.2,9.4,4.5
1987/1/2,5.7,9.2,3.7
1987/1/3,9.7,12.5,7.0
1987/1/4,6.0,9.1,3.6
1987/1/5,4.6,5.6,4.1
1987/1/6,7.6,10.7,3.9
1987/1/7,7.5,12.4,1.2
1987/1/8,8.0,10.5,6.6
1987/1/9,9.0,11.1,6.8
1987/1/10,4.4,8.4,0.5
1987/1/11,1.4,5.2,-0.1
1987/1/12,2.5,6.7,-0.2
1987/1/13,0.0,2.6,-1.5
1987/1/14,1.7,4.5,-1.9
1987/1/15,3.5,8.8,0.5
1987/1/16,6.3,12.4,-1.1
1987/1/17,8.4,11.0,5.2
1987/1/18,5.4,8.8,3.4
1987/1/19,3.3,5.6,0.4
1987/1/20,1.0,2.9,-1.2
1987/1/21,2.3,8.2,-0.9
1987/1/22,3.8,11.0,-2.3
1987/1/23,7.7,14.8,0.6
1987/1/24,4.3,8.0,0.2
1987/1/25,-0.1,0.7,-1.7
1987/1/26,1.0,5.1,-3.2
1987/1/27,2.7,7.4,-0.5
1987/1/28,4.4,10.0,-0.5
1987/1/29,9.3,14.0,1.1
1987/1/30,7.4,11.0,3.3
1987/1/31,2.7,5.9,0.2
1987/2/1,1.0,4.0,-1.1
1987/2/2,1.4,3.4,-1.6
1987/2/3,1.4,4.6,-2.1
1987/2/4,3.1,5.2,0.8
1987/2/5,4.5,8.8,-1.0
1987/2/6,6.3,12.6,0.2
1987/2/7,9.1,13.7,3.0
1987/2/8,5.6,13.6,-0.3
1987/2/9,7.8,15.3,-0.3
1987/2/10,11.5,18.0,3.9
1987/2/11,16.1,21.9,8.2
1987/2/12,7.4,13.2,5.6
1987/2/13,8.6,13.7,4.5
1987/2/14,8.6,12.6,5.5
1987/2/15,4.8,8.8,2.3
1987/2/16,4.5,9.4,-0.4
1987/2/17,3.9,6.0,0.6
1987/2/18,6.0,10.1,3.8
1987/2/19,3.3,5.7,2.2
1987/2/20,4.9,9.7,0.8
1987/2/21,5.6,11.3,-0.1
1987/2/22,5.1,12.1,1.4
1987/2/23,6.2,12.4,-0.1
1987/2/24,7.9,14.4,2.8
1987/2/25,0.7,5.8,-1.7
1987/2/26,1.1,3.8,-1.0
1987/2/27,-0.4,2.9,-2.9
1987/2/28,1.2,4.2,-1.5
1987/3/1,1.0,4.8,-0.3
1987/3/2,1.3,4.5,-0.6
1987/3/3,4.4,9.2,-1.2
1987/3/4,8.2,13.4,1.4
1987/3/5,13.2,17.0,9.3
1987/3/6,8.0,13.4,5.1
1987/3/7,3.1,5.1,1.4
1987/3/8,5.1,9.7,1.0
1987/3/9,5.2,8.0,2.4
1987/3/10,4.9,8.7,2.4
1987/3/11,4.9,9.0,1.5
1987/3/12,5.6,12.6,-0.3
1987/3/13,9.6,11.8,6.0
1987/3/14,8.5,11.3,4.0
1987/3/15,7.8,12.7,3.5
1987/3/16,7.4,11.0,3.4
1987/3/17,6.1,8.2,4.4
1987/3/18,8.8,12.5,3.4
1987/3/19,9.3,15.3,2.6
1987/3/20,9.0,11.9,5.0
1987/3/21,9.2,16.9,1.4
1987/3/22,11.9,16.9,9.1
1987/3/23,12.1,13.6,10.7
1987/3/24,10.7,14.0,8.5
1987/3/25,4.6,10.8,1.1
1987/3/26,3.0,8.3,-0.7
1987/3/27,5.0,11.6,-1.5
1987/3/28,6.8,13.8,0.1
1987/3/29,9.2,15.0,5.3
1987/3/30,9.8,14.4,3.6
1987/3/31,4.8,9.1,-0.1
1987/4/1,4.1,11.1,-1.9
1987/4/2,7.2,12.7,3.7
1987/4/3,9.7,16.2,2.8
1987/4/4,12.4,18.0,7.7
1987/4/5,12.8,24.1,3.5
1987/4/6,14.2,23.8,8.8
1987/4/7,13.6,15.6,11.0
1987/4/8,12.8,19.8,9.5
1987/4/9,13.8,17.7,9.6
1987/4/10,13.4,15.9,9.3
1987/4/11,8.8,13.6,5.9
1987/4/12,6.8,12.9,2.8
1987/4/13,3.2,8.7,0.5
1987/4/14,5.9,12.3,-0.7
1987/4/15,9.7,17.4,2.1
1987/4/16,11.6,20.9,3.9
1987/4/17,13.8,22.1,4.9
1987/4/18,14.6,22.3,7.3
1987/4/19,15.8,22.6,8.9
1987/4/20,17.6,24.1,10.2
1987/4/21,18.5,23.6,11.7
1987/4/22,15.9,18.6,13.4
1987/4/23,15.6,21.3,10.9
1987/4/24,14.2,20.6,8.4
1987/4/25,10.8,16.2,7.2
1987/4/26,9.5,12.6,7.5
1987/4/27,9.7,17.4,2.8
1987/4/28,13.4,20.3,5.7
1987/4/29,15.6,24.4,8.4
1987/4/30,18.4,28.4,7.8
1987/5/1,17.3,21.8,14.2
