ダウンロードした時刻：2019/10/10 15:35:08

,新庄,新庄,新庄
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/12/1,4.0,8.9,1.3
1984/12/2,5.1,8.5,2.4
1984/12/3,5.0,6.7,2.8
1984/12/4,4.5,11.3,0.0
1984/12/5,5.1,14.1,-0.7
1984/12/6,1.4,6.0,0.4
1984/12/7,2.4,4.9,-0.2
1984/12/8,4.7,7.7,1.6
1984/12/9,5.0,9.9,-1.2
1984/12/10,4.1,11.5,-2.9
1984/12/11,7.7,8.9,6.1
1984/12/12,9.2,11.5,7.5
1984/12/13,4.5,8.1,-0.1
1984/12/14,2.5,6.1,-1.0
1984/12/15,-0.8,2.0,-2.2
1984/12/16,0.5,2.3,-1.0
1984/12/17,0.7,3.9,-1.1
1984/12/18,0.7,2.6,0.1
1984/12/19,0.2,2.2,-0.9
1984/12/20,-0.9,3.0,-4.8
1984/12/21,0.0,3.0,-3.7
1984/12/22,-2.7,0.2,-7.9
1984/12/23,-4.0,0.3,-11.9
1984/12/24,-4.0,-0.2,-6.9
1984/12/25,-6.1,-4.6,-7.7
1984/12/26,-4.1,-2.7,-5.8
1984/12/27,-2.9,-1.6,-4.2
1984/12/28,-3.2,-2.2,-3.9
1984/12/29,-3.6,-2.4,-5.9
1984/12/30,-3.6,-1.4,-5.5
1984/12/31,-3.3,-2.0,-4.9
1985/1/1,-1.1,0.7,-3.5
1985/1/2,-3.0,-0.1,-8.7
1985/1/3,-4.8,-2.6,-9.9
1985/1/4,-4.0,-1.0,-7.5
1985/1/5,-5.7,-4.1,-9.5
1985/1/6,-5.0,-4.0,-5.7
1985/1/7,-4.6,-2.3,-7.3
1985/1/8,-3.2,-1.5,-4.7
1985/1/9,-3.6,0.6,-8.0
1985/1/10,-1.3,2.9,-7.0
1985/1/11,-1.7,1.8,-8.2
1985/1/12,-3.2,3.1,-12.3
1985/1/13,-3.3,3.2,-4.8
1985/1/14,-5.9,-4.8,-6.9
1985/1/15,-3.9,-1.6,-6.8
1985/1/16,-3.9,-0.7,-6.2
1985/1/17,-6.4,-4.9,-8.0
1985/1/18,-4.5,-3.0,-7.5
1985/1/19,-3.6,0.2,-6.4
1985/1/20,-1.3,2.9,-4.9
1985/1/21,-2.1,1.0,-3.1
1985/1/22,-0.7,2.8,-5.0
1985/1/23,-1.2,1.6,-3.1
1985/1/24,-3.9,-2.1,-5.0
1985/1/25,-5.2,-4.0,-6.3
1985/1/26,-6.2,-5.3,-7.1
1985/1/27,-4.6,-1.1,-11.5
1985/1/28,-1.4,0.7,-3.7
1985/1/29,-4.0,-1.8,-6.8
1985/1/30,-5.6,-4.1,-9.0
1985/1/31,-1.9,0.3,-5.3
1985/2/1,0.9,3.3,-1.5
1985/2/2,-2.7,-0.7,-8.6
1985/2/3,-4.2,0.9,-10.9
1985/2/4,-3.6,2.5,-14.1
1985/2/5,-3.0,1.7,-10.1
1985/2/6,-2.2,5.3,-9.0
1985/2/7,-1.3,4.0,-6.9
1985/2/8,-3.8,3.4,-11.7
1985/2/9,1.7,4.0,-3.6
1985/2/10,3.0,6.2,1.1
1985/2/11,-0.2,2.1,-1.6
1985/2/12,-0.4,3.4,-4.4
1985/2/13,-0.8,1.9,-3.6
1985/2/14,-3.0,-1.3,-4.8
1985/2/15,-2.3,-0.6,-4.5
1985/2/16,0.0,2.7,-2.8
1985/2/17,0.6,2.6,-2.8
1985/2/18,1.3,3.6,-1.7
1985/2/19,1.3,3.9,-2.3
1985/2/20,3.5,7.1,1.3
1985/2/21,0.1,4.2,-3.3
1985/2/22,-1.8,-0.1,-3.6
1985/2/23,0.0,1.7,-1.7
1985/2/24,-0.3,2.4,-3.2
1985/2/25,-0.1,1.8,-3.1
1985/2/26,-0.6,1.4,-3.3
1985/2/27,-1.2,0.9,-4.6
1985/2/28,-3.3,0.2,-7.8
1985/3/1,2.1,5.0,-1.0
1985/3/2,2.4,4.2,0.8
1985/3/3,-0.1,2.1,-2.7
1985/3/4,-1.5,1.0,-4.5
1985/3/5,1.0,7.6,-2.9
1985/3/6,-1.2,1.3,-3.9
1985/3/7,-1.1,1.3,-5.2
1985/3/8,3.5,6.6,0.7
1985/3/9,1.5,3.8,-0.8
1985/3/10,-2.9,-0.8,-6.1
1985/3/11,-3.1,-0.1,-7.3
1985/3/12,0.6,2.9,-2.4
1985/3/13,1.9,7.0,-3.4
1985/3/14,-0.2,2.4,-3.3
1985/3/15,-0.2,2.0,-3.0
1985/3/16,0.5,7.0,-5.5
1985/3/17,1.4,6.2,-4.3
1985/3/18,2.7,6.2,-2.1
1985/3/19,0.8,5.8,-3.3
1985/3/20,1.9,6.3,-0.9
1985/3/21,2.1,4.4,-1.6
1985/3/22,1.6,4.3,-1.9
1985/3/23,1.4,6.1,-3.1
1985/3/24,1.2,8.7,-7.1
1985/3/25,4.1,10.7,-4.2
1985/3/26,3.8,7.5,-1.8
1985/3/27,1.0,5.1,-4.2
1985/3/28,3.5,5.7,1.4
1985/3/29,4.5,9.0,1.1
1985/3/30,2.3,5.1,-0.8
1985/3/31,1.1,3.5,-1.6
