ダウンロードした時刻：2019/10/10 15:35:22

,新庄,新庄,新庄
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,1.2,4.8,0.3
1995/12/2,3.0,5.6,0.4
1995/12/3,4.5,9.1,1.8
1995/12/4,3.1,6.5,0.6
1995/12/5,2.4,5.6,0.6
1995/12/6,1.7,3.4,0.4
1995/12/7,2.2,4.5,0.7
1995/12/8,0.2,2.2,-2.6
1995/12/9,0.4,4.6,-5.0
1995/12/10,2.3,5.8,0.0
1995/12/11,4.3,9.0,0.4
1995/12/12,3.4,5.6,2.2
1995/12/13,2.9,4.3,0.1
1995/12/14,2.9,6.9,-0.8
1995/12/15,2.2,7.1,-0.8
1995/12/16,-0.7,0.9,-1.4
1995/12/17,-0.9,-0.1,-1.6
1995/12/18,0.2,1.8,-1.9
1995/12/19,0.4,3.2,-1.2
1995/12/20,0.4,2.6,-1.4
1995/12/21,0.2,1.9,-1.2
1995/12/22,2.2,4.8,-0.3
1995/12/23,2.7,4.5,0.6
1995/12/24,1.1,4.3,-2.0
1995/12/25,-2.3,1.4,-6.7
1995/12/26,-3.9,-0.9,-9.8
1995/12/27,-3.1,0.4,-8.4
1995/12/28,-3.3,0.8,-6.5
1995/12/29,-2.0,1.9,-8.1
1995/12/30,0.4,1.7,-1.1
1995/12/31,1.9,3.3,0.6
1996/1/1,-1.6,1.1,-3.4
1996/1/2,-1.5,2.7,-6.9
1996/1/3,-2.9,2.1,-5.9
1996/1/4,-2.4,-0.6,-4.1
1996/1/5,1.0,2.5,-1.9
1996/1/6,0.5,2.3,-3.6
1996/1/7,0.8,4.8,-5.5
1996/1/8,-1.8,1.1,-7.3
1996/1/9,-4.9,-2.2,-6.3
1996/1/10,-1.6,0.3,-5.2
1996/1/11,1.6,3.6,0.0
1996/1/12,2.6,4.2,0.9
1996/1/13,1.1,4.5,-4.7
1996/1/14,-3.8,0.9,-9.8
1996/1/15,3.8,8.3,-0.8
1996/1/16,1.8,4.2,-0.9
1996/1/17,-1.7,0.7,-6.1
1996/1/18,-2.1,1.0,-4.9
1996/1/19,-2.4,1.1,-7.7
1996/1/20,-2.7,1.3,-6.9
1996/1/21,-1.5,1.6,-7.5
1996/1/22,-0.7,1.9,-3.3
1996/1/23,-0.4,1.3,-2.8
1996/1/24,-4.0,-1.0,-5.9
1996/1/25,-3.1,-0.6,-5.1
1996/1/26,-3.1,-2.0,-4.0
1996/1/27,-1.4,1.3,-4.0
1996/1/28,-0.2,1.6,-2.9
1996/1/29,0.3,2.8,-2.4
1996/1/30,-4.3,-1.4,-7.2
1996/1/31,-6.2,-5.5,-7.2
1996/2/1,-5.8,-5.0,-6.6
1996/2/2,-6.7,-2.4,-7.7
1996/2/3,-3.7,-2.6,-4.7
1996/2/4,-0.9,2.0,-3.2
1996/2/5,1.0,5.3,-1.8
1996/2/6,0.4,2.0,-1.3
1996/2/7,0.1,2.2,-1.5
1996/2/8,0.3,3.2,-1.8
1996/2/9,-1.3,0.6,-4.0
1996/2/10,-3.6,-1.8,-4.6
1996/2/11,0.0,4.1,-3.8
1996/2/12,5.8,8.3,2.7
1996/2/13,6.2,10.3,2.5
1996/2/14,5.4,14.0,1.2
1996/2/15,2.6,5.2,-0.6
1996/2/16,-2.9,-0.6,-5.4
1996/2/17,-3.2,0.7,-6.7
1996/2/18,-2.7,1.8,-6.3
1996/2/19,-3.6,-0.9,-6.2
1996/2/20,-3.5,-0.7,-6.8
1996/2/21,-3.9,-1.6,-6.0
1996/2/22,-3.1,-0.8,-5.2
1996/2/23,-2.0,1.3,-5.3
1996/2/24,-2.0,1.9,-6.4
1996/2/25,0.2,4.4,-2.5
1996/2/26,1.0,5.7,-2.4
1996/2/27,1.3,7.2,-2.0
1996/2/28,2.5,4.7,-0.6
1996/2/29,3.1,7.5,0.3
1996/3/1,1.4,3.7,-1.1
1996/3/2,-0.3,2.7,-2.6
1996/3/3,-1.6,1.0,-3.1
1996/3/4,-0.8,3.3,-3.5
1996/3/5,-2.9,-0.8,-5.1
1996/3/6,-0.8,2.0,-3.7
1996/3/7,1.4,5.8,-4.6
1996/3/8,2.3,3.3,0.9
1996/3/9,0.9,2.0,-0.2
1996/3/10,0.2,2.4,-2.4
1996/3/11,1.1,7.4,-4.7
1996/3/12,-0.8,0.6,-2.6
1996/3/13,1.7,6.8,-2.5
1996/3/14,2.9,7.2,-2.6
1996/3/15,2.8,6.4,0.2
1996/3/16,3.2,6.6,0.3
1996/3/17,3.8,8.9,0.3
1996/3/18,2.1,6.8,-2.1
1996/3/19,0.3,3.3,-1.8
1996/3/20,0.7,5.5,-3.8
1996/3/21,2.8,11.6,-7.3
1996/3/22,4.8,7.9,1.9
1996/3/23,0.4,2.9,-1.0
1996/3/24,1.5,6.1,-5.3
1996/3/25,2.6,5.1,0.3
1996/3/26,4.4,8.0,-0.2
1996/3/27,2.9,9.4,-3.5
1996/3/28,2.9,7.6,-2.9
1996/3/29,2.4,10.1,-4.5
1996/3/30,1.1,8.2,-4.4
1996/3/31,6.7,8.9,4.4
