ダウンロードした時刻：2019/10/10 15:53:17

,岐阜,岐阜,岐阜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/12/1,2.4,7.6,-0.1
1996/12/2,2.5,6.7,0.2
1996/12/3,4.9,11.1,1.2
1996/12/4,5.6,11.4,0.1
1996/12/5,8.6,11.4,5.4
1996/12/6,5.7,9.2,1.8
1996/12/7,4.1,9.2,-0.6
1996/12/8,4.6,8.5,0.8
1996/12/9,5.7,9.8,1.9
1996/12/10,6.5,10.0,2.2
1996/12/11,8.6,14.1,4.2
1996/12/12,9.2,15.1,4.2
1996/12/13,8.6,14.8,3.1
1996/12/14,10.2,16.8,3.8
1996/12/15,9.2,16.4,3.2
1996/12/16,10.7,17.1,4.0
1996/12/17,12.4,16.3,10.2
1996/12/18,10.3,15.8,5.2
1996/12/19,5.3,9.8,2.0
1996/12/20,4.4,8.5,1.3
1996/12/21,5.6,10.9,0.7
1996/12/22,6.1,11.0,0.9
1996/12/23,5.0,8.0,1.3
1996/12/24,4.2,10.5,-1.1
1996/12/25,6.0,11.7,0.5
1996/12/26,7.1,12.6,2.8
1996/12/27,5.3,12.0,-0.1
1996/12/28,5.7,11.8,1.1
1996/12/29,6.3,13.9,0.8
1996/12/30,7.3,15.4,1.0
1996/12/31,7.7,14.6,2.3
1997/1/1,9.0,14.3,2.7
1997/1/2,7.5,11.2,3.3
1997/1/3,3.7,6.8,1.7
1997/1/4,4.0,8.8,-0.4
1997/1/5,2.5,6.4,-1.5
1997/1/6,5.4,9.5,2.9
1997/1/7,4.7,10.8,1.5
1997/1/8,4.0,9.1,-0.2
1997/1/9,4.3,9.5,-0.4
1997/1/10,4.2,10.8,-1.0
1997/1/11,4.2,10.3,-0.9
1997/1/12,4.3,11.7,-1.4
1997/1/13,4.5,11.6,-1.1
1997/1/14,5.0,10.0,-0.2
1997/1/15,5.1,9.5,0.8
1997/1/16,4.0,10.8,-1.6
1997/1/17,6.0,14.3,-0.8
1997/1/18,5.8,10.9,1.9
1997/1/19,6.8,12.3,3.3
1997/1/20,5.9,12.4,1.2
1997/1/21,2.7,12.0,-3.9
1997/1/22,-1.3,3.5,-5.7
1997/1/23,2.6,6.0,-1.4
1997/1/24,2.7,3.5,1.3
1997/1/25,2.9,7.6,0.1
1997/1/26,3.5,7.2,0.6
1997/1/27,5.2,9.1,2.7
1997/1/28,4.7,10.0,-0.1
1997/1/29,2.3,6.5,0.2
1997/1/30,1.9,5.9,-1.1
1997/1/31,2.0,7.2,-1.7
1997/2/1,2.4,8.3,-1.6
1997/2/2,3.2,6.5,-0.4
1997/2/3,3.8,10.5,0.8
1997/2/4,3.0,7.3,-0.3
1997/2/5,4.3,11.2,-1.2
1997/2/6,4.8,10.7,0.1
1997/2/7,5.6,9.9,3.2
1997/2/8,6.3,13.0,0.8
1997/2/9,6.7,15.3,0.2
1997/2/10,7.0,14.5,-0.1
1997/2/11,3.6,8.1,0.3
1997/2/12,2.7,7.8,-0.3
1997/2/13,2.9,8.5,-1.8
1997/2/14,3.8,10.3,-1.7
1997/2/15,5.0,9.7,-0.2
1997/2/16,7.0,13.0,4.3
1997/2/17,5.0,8.6,3.0
1997/2/18,3.6,9.2,-0.3
1997/2/19,2.5,7.0,-1.1
1997/2/20,5.2,10.3,0.8
1997/2/21,2.9,7.5,-2.6
1997/2/22,0.0,4.0,-3.2
1997/2/23,3.0,10.9,-3.9
1997/2/24,6.1,14.2,-1.4
1997/2/25,6.5,14.1,-0.1
1997/2/26,9.6,15.8,6.0
1997/2/27,8.4,15.0,4.3
1997/2/28,9.9,14.6,4.5
1997/3/1,9.3,13.5,3.1
1997/3/2,6.2,12.7,-0.6
1997/3/3,6.8,11.8,2.4
1997/3/4,6.9,13.3,1.6
1997/3/5,8.3,15.7,1.3
1997/3/6,10.3,17.1,2.8
1997/3/7,13.2,20.5,10.2
1997/3/8,9.8,15.0,4.4
1997/3/9,8.0,15.3,3.2
1997/3/10,7.2,13.8,0.2
1997/3/11,9.5,15.9,5.3
1997/3/12,8.4,15.8,1.0
1997/3/13,10.1,15.1,3.8
1997/3/14,13.8,20.3,9.0
1997/3/15,11.8,15.3,8.4
1997/3/16,10.1,13.8,7.9
1997/3/17,9.3,15.7,4.6
1997/3/18,8.8,16.8,1.0
1997/3/19,9.8,15.7,5.3
1997/3/20,8.7,13.7,3.3
1997/3/21,9.4,14.2,4.3
1997/3/22,11.0,16.0,7.7
1997/3/23,9.8,15.9,5.3
1997/3/24,5.5,9.1,2.6
1997/3/25,8.4,16.7,-0.1
1997/3/26,12.1,19.7,4.0
1997/3/27,11.8,17.4,7.9
1997/3/28,12.0,19.1,4.2
1997/3/29,11.5,13.3,8.6
1997/3/30,10.9,14.9,7.0
1997/3/31,8.7,14.3,2.3
