ダウンロードした時刻：2019/10/10 16:05:35

,豊岡,豊岡,豊岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/12/1,5.9,13.1,-0.4
1985/12/2,6.0,12.4,2.3
1985/12/3,4.9,13.3,-0.7
1985/12/4,4.4,7.4,0.0
1985/12/5,8.0,14.5,3.2
1985/12/6,5.9,9.1,1.7
1985/12/7,8.0,14.0,4.1
1985/12/8,6.7,10.5,3.6
1985/12/9,2.1,7.0,-0.8
1985/12/10,0.4,3.7,-0.8
1985/12/11,1.8,6.8,-1.2
1985/12/12,2.2,6.4,-0.5
1985/12/13,2.5,8.1,-3.2
1985/12/14,4.6,10.1,0.9
1985/12/15,0.6,4.1,-1.8
1985/12/16,-0.6,4.8,-5.1
1985/12/17,0.6,4.6,-4.1
1985/12/18,1.2,5.4,-1.6
1985/12/19,2.1,7.0,-1.9
1985/12/20,1.1,1.9,0.4
1985/12/21,1.8,4.2,0.8
1985/12/22,1.6,2.8,0.7
1985/12/23,3.6,9.0,1.0
1985/12/24,3.0,4.7,0.3
1985/12/25,2.4,8.1,-2.8
1985/12/26,2.9,7.4,0.5
1985/12/27,2.9,6.8,-0.4
1985/12/28,2.6,9.1,-1.5
1985/12/29,4.2,15.8,-4.0
1985/12/30,10.3,15.7,3.4
1985/12/31,7.2,11.5,5.6
1986/1/1,1.9,5.7,-0.6
1986/1/2,-0.5,1.7,-1.8
1986/1/3,2.1,7.1,-2.8
1986/1/4,4.3,7.9,0.1
1986/1/5,-0.5,2.6,-2.4
1986/1/6,0.4,2.9,-1.6
1986/1/7,2.4,8.8,-1.5
1986/1/8,1.5,8.7,-3.4
1986/1/9,1.1,4.4,-1.6
1986/1/10,-0.6,3.4,-4.9
1986/1/11,-0.8,0.7,-4.7
1986/1/12,-0.6,4.3,-5.8
1986/1/13,-0.2,4.9,-7.3
1986/1/14,1.8,3.5,0.8
1986/1/15,1.8,8.0,-0.9
1986/1/16,2.5,7.8,-1.4
1986/1/17,3.4,9.0,0.7
1986/1/18,3.5,7.9,1.3
1986/1/19,2.5,8.5,-1.3
1986/1/20,3.0,9.8,-1.9
1986/1/21,3.0,6.3,0.5
1986/1/22,0.2,2.6,-0.5
1986/1/23,1.2,4.4,-0.8
1986/1/24,0.4,1.6,-0.2
1986/1/25,0.3,3.4,-0.8
1986/1/26,-0.8,0.8,-2.4
1986/1/27,-1.4,0.7,-3.8
1986/1/28,0.0,3.2,-3.8
1986/1/29,1.5,6.7,-1.0
1986/1/30,1.1,6.4,-2.2
1986/1/31,2.0,5.3,0.4
1986/2/1,0.8,2.9,-1.2
1986/2/2,0.7,5.5,-3.1
1986/2/3,-0.5,2.7,-3.4
1986/2/4,-0.3,3.4,-3.4
1986/2/5,-0.6,1.9,-1.9
1986/2/6,-0.8,2.8,-5.4
1986/2/7,-0.2,2.1,-2.8
1986/2/8,-0.4,1.1,-2.1
1986/2/9,-0.6,1.6,-3.9
1986/2/10,0.2,2.5,-1.4
1986/2/11,0.5,3.4,-1.2
1986/2/12,0.4,5.0,-3.0
1986/2/13,0.4,5.5,-3.7
1986/2/14,3.0,6.5,1.1
1986/2/15,1.4,4.0,-1.6
1986/2/16,-0.7,1.5,-2.9
1986/2/17,0.1,4.2,-3.8
1986/2/18,-0.1,1.4,-2.3
1986/2/19,3.7,6.5,0.7
1986/2/20,2.2,5.6,0.5
1986/2/21,1.5,4.7,0.3
1986/2/22,2.2,7.9,-1.3
1986/2/23,1.7,7.3,-2.7
1986/2/24,-0.3,2.2,-1.6
1986/2/25,1.0,3.7,-2.3
1986/2/26,0.7,7.6,-6.5
1986/2/27,0.9,4.4,-2.2
1986/2/28,0.6,3.8,-3.0
1986/3/1,-0.5,2.4,-5.2
1986/3/2,0.5,5.0,-1.7
1986/3/3,0.9,5.7,-2.8
1986/3/4,1.8,7.0,-2.2
1986/3/5,2.6,7.3,-3.7
1986/3/6,3.8,7.8,-1.1
1986/3/7,3.0,10.7,-1.8
1986/3/8,3.7,12.0,-1.3
1986/3/9,6.4,19.1,-3.0
1986/3/10,9.1,13.9,4.5
1986/3/11,4.3,5.9,2.9
1986/3/12,4.8,11.0,1.0
1986/3/13,5.3,13.5,-1.4
1986/3/14,5.0,6.4,3.9
1986/3/15,8.5,16.5,4.4
1986/3/16,6.6,9.4,4.6
1986/3/17,4.7,8.6,-0.4
1986/3/18,3.7,8.5,-1.9
1986/3/19,8.9,12.0,4.6
1986/3/20,5.3,6.7,2.7
1986/3/21,4.2,8.7,1.7
1986/3/22,4.1,9.1,-0.2
1986/3/23,4.4,5.9,0.9
1986/3/24,6.7,10.5,1.7
1986/3/25,4.5,11.1,-0.7
1986/3/26,6.2,16.2,-2.0
1986/3/27,8.3,19.8,-0.7
1986/3/28,9.6,11.9,7.2
1986/3/29,9.5,13.7,5.1
1986/3/30,9.7,19.4,3.2
1986/3/31,7.9,12.4,2.1
