ダウンロードした時刻：2019/10/10 16:10:10

,岡山,岡山,岡山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,7.6,11.6,4.2
1995/12/2,7.6,12.8,2.4
1995/12/3,8.7,12.0,5.7
1995/12/4,8.3,11.8,4.1
1995/12/5,5.5,9.5,1.9
1995/12/6,4.5,8.6,1.7
1995/12/7,5.8,10.5,2.2
1995/12/8,5.3,10.3,1.3
1995/12/9,5.9,9.5,2.6
1995/12/10,5.1,10.7,0.2
1995/12/11,6.5,12.5,0.4
1995/12/12,8.0,13.1,4.5
1995/12/13,6.6,11.1,1.6
1995/12/14,7.6,12.3,2.1
1995/12/15,10.3,13.5,6.3
1995/12/16,6.6,10.0,1.9
1995/12/17,6.7,11.9,3.3
1995/12/18,5.4,9.4,0.3
1995/12/19,6.2,9.6,3.5
1995/12/20,5.8,10.7,1.0
1995/12/21,6.6,10.9,3.6
1995/12/22,5.8,10.6,1.1
1995/12/23,6.5,11.8,1.4
1995/12/24,4.4,11.2,0.3
1995/12/25,0.8,2.9,-0.4
1995/12/26,1.5,4.4,-1.1
1995/12/27,3.3,7.3,-0.6
1995/12/28,3.4,7.9,-1.4
1995/12/29,4.5,8.3,1.1
1995/12/30,3.2,5.5,1.1
1995/12/31,3.7,8.2,-2.0
1996/1/1,6.9,10.2,3.5
1996/1/2,4.5,9.6,-0.3
1996/1/3,4.9,13.2,0.3
1996/1/4,3.2,6.6,0.3
1996/1/5,4.1,9.9,-2.1
1996/1/6,5.9,9.6,1.3
1996/1/7,6.6,11.9,1.4
1996/1/8,4.9,8.9,-0.1
1996/1/9,0.4,2.5,-1.5
1996/1/10,3.1,7.0,0.2
1996/1/11,5.3,10.4,0.2
1996/1/12,5.2,10.0,0.8
1996/1/13,4.5,10.2,-1.3
1996/1/14,7.2,11.9,2.1
1996/1/15,11.4,14.6,9.0
1996/1/16,9.3,12.7,4.0
1996/1/17,5.7,10.7,0.7
1996/1/18,5.5,7.9,3.5
1996/1/19,4.8,8.3,1.3
1996/1/20,6.2,10.2,3.8
1996/1/21,5.7,10.4,0.7
1996/1/22,4.5,7.5,1.7
1996/1/23,5.1,10.0,1.0
1996/1/24,3.1,7.4,0.1
1996/1/25,2.3,6.9,-1.6
1996/1/26,2.5,6.2,-0.3
1996/1/27,2.7,7.5,-2.0
1996/1/28,3.3,8.4,-1.9
1996/1/29,5.1,9.7,1.5
1996/1/30,3.3,7.0,0.2
1996/1/31,1.8,5.4,-1.8
1996/2/1,1.1,4.9,-1.2
1996/2/2,-0.1,2.9,-2.3
1996/2/3,1.6,6.2,-3.0
1996/2/4,3.1,8.6,-2.5
1996/2/5,3.2,10.2,-0.4
1996/2/6,1.4,5.7,-1.4
1996/2/7,2.9,7.1,-0.1
1996/2/8,3.8,9.8,-2.0
1996/2/9,4.2,7.5,-0.2
1996/2/10,1.4,5.6,-2.0
1996/2/11,3.9,8.0,-0.5
1996/2/12,6.1,12.8,0.2
1996/2/13,9.9,16.6,4.4
1996/2/14,11.9,20.0,4.4
1996/2/15,10.3,15.2,4.1
1996/2/16,5.9,12.3,2.2
1996/2/17,1.6,3.8,0.2
1996/2/18,3.3,7.8,0.5
1996/2/19,3.1,6.5,0.5
1996/2/20,3.0,6.3,-0.6
1996/2/21,3.1,7.1,0.2
1996/2/22,3.3,8.3,-2.7
1996/2/23,4.4,8.9,-0.1
1996/2/24,4.3,8.8,0.5
1996/2/25,2.0,4.4,0.5
1996/2/26,5.2,9.9,0.9
1996/2/27,5.9,10.7,3.0
1996/2/28,5.8,10.5,0.7
1996/2/29,5.6,11.0,0.2
1996/3/1,7.1,12.3,3.6
1996/3/2,5.6,10.1,1.8
1996/3/3,5.0,9.5,0.0
1996/3/4,6.1,12.7,-0.1
1996/3/5,2.8,6.3,0.2
1996/3/6,4.3,9.7,-1.5
1996/3/7,3.8,5.6,0.9
1996/3/8,8.1,14.7,4.7
1996/3/9,5.8,8.5,2.5
1996/3/10,5.7,10.4,0.7
1996/3/11,5.4,11.1,1.1
1996/3/12,4.3,8.4,0.2
1996/3/13,6.2,11.9,0.9
1996/3/14,9.2,16.0,1.7
1996/3/15,8.4,10.6,6.9
1996/3/16,8.8,13.0,2.7
1996/3/17,12.6,18.2,9.3
1996/3/18,8.7,11.1,3.4
1996/3/19,6.1,11.1,0.9
1996/3/20,7.4,11.4,3.7
1996/3/21,10.5,14.9,4.8
1996/3/22,11.6,16.1,8.2
1996/3/23,7.2,10.0,3.8
1996/3/24,5.6,8.7,0.5
1996/3/25,9.6,13.2,7.1
1996/3/26,10.1,16.2,3.6
1996/3/27,10.1,14.2,5.3
1996/3/28,11.7,17.1,6.5
1996/3/29,9.8,12.2,8.2
1996/3/30,15.2,19.1,10.9
1996/3/31,14.2,17.8,11.4
