ダウンロードした時刻：2019/10/10 15:44:34

,金沢,金沢,金沢
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,11.8,15.2,9.2
1998/12/2,6.1,9.9,4.7
1998/12/3,6.4,7.6,4.9
1998/12/4,10.1,14.8,5.8
1998/12/5,10.7,12.6,8.2
1998/12/6,8.6,11.6,5.7
1998/12/7,10.2,14.8,5.8
1998/12/8,10.3,13.4,6.7
1998/12/9,7.2,9.9,5.1
1998/12/10,4.8,7.1,3.7
1998/12/11,6.3,9.2,3.6
1998/12/12,6.2,9.2,3.3
1998/12/13,11.0,14.8,5.3
1998/12/14,11.4,14.3,10.0
1998/12/15,10.0,11.4,8.3
1998/12/16,11.8,13.8,10.0
1998/12/17,10.3,13.3,5.4
1998/12/18,6.7,11.4,3.1
1998/12/19,12.0,16.2,2.4
1998/12/20,8.0,13.7,4.8
1998/12/21,5.4,8.8,2.7
1998/12/22,8.0,13.3,0.5
1998/12/23,8.5,10.5,4.9
1998/12/24,5.7,7.3,4.5
1998/12/25,7.0,10.5,3.8
1998/12/26,6.6,9.1,2.7
1998/12/27,5.6,11.1,1.4
1998/12/28,7.0,12.7,3.3
1998/12/29,8.2,14.2,2.5
1998/12/30,6.4,9.7,2.2
1998/12/31,1.7,3.3,0.4
1999/1/1,2.3,3.8,0.5
1999/1/2,3.8,7.0,0.5
1999/1/3,3.0,5.1,1.2
1999/1/4,3.5,6.6,1.1
1999/1/5,6.6,12.4,0.9
1999/1/6,9.2,14.1,2.9
1999/1/7,4.7,11.7,-0.8
1999/1/8,-0.2,1.1,-1.5
1999/1/9,0.2,2.2,-1.9
1999/1/10,2.5,4.4,-0.3
1999/1/11,2.8,4.3,0.6
1999/1/12,1.9,3.2,0.6
1999/1/13,2.9,5.6,1.6
1999/1/14,3.0,4.7,1.4
1999/1/15,2.9,4.9,1.1
1999/1/16,4.1,7.7,1.3
1999/1/17,2.4,5.7,-0.4
1999/1/18,4.3,11.0,-2.2
1999/1/19,5.4,9.0,1.7
1999/1/20,7.9,11.7,2.9
1999/1/21,2.8,5.2,0.5
1999/1/22,7.6,10.7,3.9
1999/1/23,8.5,12.1,5.5
1999/1/24,6.7,9.0,5.2
1999/1/25,8.5,12.3,4.5
1999/1/26,7.9,9.9,5.0
1999/1/27,8.1,11.8,4.7
1999/1/28,6.5,10.2,2.5
1999/1/29,2.2,5.6,-0.8
1999/1/30,1.8,4.7,-2.0
1999/1/31,4.8,8.6,1.9
1999/2/1,6.8,11.4,3.8
1999/2/2,3.1,5.4,0.6
1999/2/3,-1.0,1.9,-4.1
1999/2/4,-0.5,2.4,-4.2
1999/2/5,0.7,3.0,-3.4
1999/2/6,2.8,4.8,1.3
1999/2/7,5.6,8.7,1.1
1999/2/8,6.2,10.9,2.7
1999/2/9,6.5,11.7,-0.3
1999/2/10,4.0,8.6,1.3
1999/2/11,4.6,7.5,1.1
1999/2/12,1.7,5.2,-1.2
1999/2/13,-0.5,1.2,-2.6
1999/2/14,1.1,4.0,-1.2
1999/2/15,3.9,7.4,0.7
1999/2/16,7.8,13.0,4.1
1999/2/17,10.7,15.3,3.3
1999/2/18,8.0,12.1,3.7
1999/2/19,2.3,4.2,0.1
1999/2/20,1.4,3.4,-0.6
1999/2/21,0.0,1.7,-1.5
1999/2/22,2.6,5.8,-0.5
1999/2/23,5.2,9.0,2.0
1999/2/24,4.4,6.5,1.8
1999/2/25,6.3,9.5,2.7
1999/2/26,7.6,14.3,1.5
1999/2/27,5.1,11.2,-0.6
1999/2/28,3.3,6.9,0.2
1999/3/1,8.6,13.6,2.4
1999/3/2,8.9,13.3,5.7
1999/3/3,8.9,13.0,4.2
1999/3/4,10.8,18.1,4.4
1999/3/5,12.7,20.1,6.4
1999/3/6,6.0,8.8,3.9
1999/3/7,5.6,7.3,4.5
1999/3/8,5.2,7.6,2.7
1999/3/9,5.4,7.9,2.7
1999/3/10,7.8,11.8,3.7
1999/3/11,5.8,8.8,2.2
1999/3/12,3.7,7.7,1.2
1999/3/13,8.6,15.8,1.5
1999/3/14,12.4,18.4,6.4
1999/3/15,10.1,12.3,9.3
1999/3/16,10.1,13.5,9.0
1999/3/17,12.9,21.9,4.8
1999/3/18,16.7,23.3,9.2
1999/3/19,11.2,16.8,5.3
1999/3/20,4.6,5.4,3.5
1999/3/21,5.5,8.0,2.5
1999/3/22,2.6,6.8,-0.1
1999/3/23,4.4,9.1,0.6
1999/3/24,9.9,17.2,1.4
1999/3/25,14.0,19.4,9.0
1999/3/26,14.2,19.6,10.4
1999/3/27,7.7,12.4,4.6
1999/3/28,5.6,10.1,2.3
1999/3/29,3.2,6.0,0.9
1999/3/30,5.3,9.2,1.7
1999/3/31,8.8,13.4,5.6
