ダウンロードした時刻：2019/10/10 16:24:23

,熊本,熊本,熊本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/12/1,13.1,17.6,8.8
2016/12/2,9.5,14.9,5.3
2016/12/3,9.3,17.5,2.7
2016/12/4,9.9,11.9,7.6
2016/12/5,11.6,16.3,7.9
2016/12/6,10.8,14.6,4.4
2016/12/7,7.2,14.0,1.2
2016/12/8,7.9,13.8,3.2
2016/12/9,10.4,17.2,5.8
2016/12/10,8.4,14.7,3.4
2016/12/11,8.0,15.1,1.6
2016/12/12,9.3,15.4,3.1
2016/12/13,12.1,14.5,10.4
2016/12/14,11.0,14.2,7.7
2016/12/15,7.1,8.5,5.4
2016/12/16,4.9,8.7,1.5
2016/12/17,4.7,11.5,-0.4
2016/12/18,6.0,13.0,-0.6
2016/12/19,10.0,19.5,2.3
2016/12/20,13.0,17.2,9.8
2016/12/21,14.9,21.1,9.6
2016/12/22,14.7,19.4,11.9
2016/12/23,9.4,12.0,6.8
2016/12/24,7.6,12.2,3.6
2016/12/25,10.3,16.7,4.4
2016/12/26,12.6,17.3,9.8
2016/12/27,10.8,17.0,5.5
2016/12/28,6.0,11.3,2.0
2016/12/29,4.6,8.3,1.3
2016/12/30,4.3,11.1,-1.4
2016/12/31,6.0,13.2,-0.8
2017/1/1,6.5,13.6,0.6
2017/1/2,8.7,14.7,2.1
2017/1/3,9.0,15.8,4.0
2017/1/4,8.1,15.7,1.7
2017/1/5,9.3,14.9,5.0
2017/1/6,9.2,14.3,6.3
2017/1/7,7.9,12.2,2.1
2017/1/8,12.0,15.2,9.5
2017/1/9,9.8,12.1,4.7
2017/1/10,6.1,11.1,2.3
2017/1/11,4.7,9.1,0.8
2017/1/12,4.3,9.3,-0.5
2017/1/13,6.9,9.8,3.4
2017/1/14,4.6,7.8,2.3
2017/1/15,1.5,5.4,-1.7
2017/1/16,2.4,9.4,-3.6
2017/1/17,4.4,12.3,-2.0
2017/1/18,6.2,12.1,0.5
2017/1/19,7.3,12.5,3.7
2017/1/20,5.4,9.1,1.9
2017/1/21,3.9,8.9,-1.3
2017/1/22,4.4,7.4,2.6
2017/1/23,2.2,5.7,-1.5
2017/1/24,0.8,6.6,-3.9
2017/1/25,1.6,8.8,-4.5
2017/1/26,3.6,10.8,-2.9
2017/1/27,6.6,15.2,-0.6
2017/1/28,7.6,14.7,1.2
2017/1/29,12.0,20.3,4.6
2017/1/30,10.5,15.9,3.2
2017/1/31,5.6,11.7,0.4
2017/2/1,6.3,10.8,2.2
2017/2/2,4.8,11.6,-1.2
2017/2/3,5.9,13.6,-1.5
2017/2/4,9.5,15.1,4.2
2017/2/5,10.7,13.9,7.8
2017/2/6,7.4,11.3,3.4
2017/2/7,6.4,12.4,1.0
2017/2/8,6.3,10.9,0.9
2017/2/9,4.5,6.9,1.2
2017/2/10,1.9,4.6,0.8
2017/2/11,2.6,6.7,0.1
2017/2/12,3.1,9.2,-2.2
2017/2/13,4.0,11.2,-2.4
2017/2/14,5.6,12.3,0.5
2017/2/15,5.5,12.7,-1.1
2017/2/16,8.4,17.5,-0.9
2017/2/17,13.8,19.7,8.9
2017/2/18,8.3,12.5,4.4
2017/2/19,6.3,13.1,-0.9
2017/2/20,11.6,16.3,5.6
2017/2/21,7.6,13.4,3.4
2017/2/22,8.3,15.2,2.0
2017/2/23,9.7,14.0,5.8
2017/2/24,6.2,11.1,2.3
2017/2/25,5.6,11.8,-0.5
2017/2/26,6.7,11.3,2.6
2017/2/27,8.2,14.9,1.6
2017/2/28,8.6,15.2,1.8
2017/3/1,8.1,14.1,2.6
2017/3/2,8.8,12.4,5.0
2017/3/3,8.0,13.8,3.0
2017/3/4,9.8,16.3,3.7
2017/3/5,9.2,13.7,4.4
2017/3/6,9.8,15.0,5.9
2017/3/7,6.7,11.7,1.6
2017/3/8,6.0,9.1,4.1
2017/3/9,7.8,13.0,3.4
2017/3/10,9.3,15.6,1.7
2017/3/11,9.7,18.0,1.3
2017/3/12,10.9,18.6,3.5
2017/3/13,9.8,12.0,8.3
2017/3/14,10.8,15.5,8.1
2017/3/15,8.8,13.4,5.1
2017/3/16,9.1,14.7,2.7
2017/3/17,10.0,16.9,3.0
2017/3/18,9.7,15.3,3.7
2017/3/19,13.2,21.1,5.4
2017/3/20,12.1,15.2,9.7
2017/3/21,11.4,14.9,8.5
2017/3/22,10.1,14.8,4.6
2017/3/23,8.4,10.0,5.5
2017/3/24,9.0,14.0,2.8
2017/3/25,10.0,12.9,7.6
2017/3/26,10.7,16.2,8.1
2017/3/27,9.5,13.0,5.6
2017/3/28,10.0,16.0,3.4
2017/3/29,10.3,12.3,8.3
2017/3/30,15.5,21.2,10.5
2017/3/31,10.9,13.9,7.7
