ダウンロードした時刻：2019/10/10 15:37:41

,宮古,宮古,宮古
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/12/1,8.2,15.7,3.3
1984/12/2,8.2,12.9,4.4
1984/12/3,7.0,11.2,2.7
1984/12/4,5.6,13.0,0.9
1984/12/5,9.8,16.3,1.5
1984/12/6,1.3,7.0,-3.5
1984/12/7,-0.2,6.9,-5.0
1984/12/8,4.7,11.0,-3.3
1984/12/9,4.7,9.5,1.7
1984/12/10,3.7,6.8,0.7
1984/12/11,8.8,10.1,5.2
1984/12/12,7.7,9.5,4.1
1984/12/13,6.6,11.7,1.9
1984/12/14,6.6,12.7,1.5
1984/12/15,-0.4,3.4,-2.8
1984/12/16,1.2,5.1,-2.2
1984/12/17,2.2,7.1,-0.1
1984/12/18,1.2,3.6,0.0
1984/12/19,0.4,2.9,-1.6
1984/12/20,-0.7,4.8,-3.7
1984/12/21,1.8,6.5,-3.1
1984/12/22,-1.7,1.5,-5.8
1984/12/23,-2.6,2.2,-8.4
1984/12/24,-3.9,0.6,-7.2
1984/12/25,-5.8,-3.3,-10.7
1984/12/26,-2.6,0.6,-7.2
1984/12/27,-1.9,0.5,-3.5
1984/12/28,-2.5,0.9,-6.6
1984/12/29,-4.5,0.6,-8.7
1984/12/30,-2.7,2.4,-9.2
1984/12/31,-1.6,3.6,-6.8
1985/1/1,-0.9,3.3,-5.0
1985/1/2,-2.5,1.7,-7.3
1985/1/3,-2.8,2.2,-8.4
1985/1/4,-3.1,3.0,-7.1
1985/1/5,-4.8,0.5,-10.1
1985/1/6,-5.3,-1.4,-8.6
1985/1/7,-5.1,1.5,-9.1
1985/1/8,-4.8,2.2,-10.7
1985/1/9,-2.9,3.7,-9.6
1985/1/10,1.1,4.7,-4.2
1985/1/11,1.1,4.7,-3.5
1985/1/12,-0.5,3.5,-6.7
1985/1/13,-1.6,3.0,-7.1
1985/1/14,-4.8,-1.6,-7.0
1985/1/15,-3.8,0.7,-6.9
1985/1/16,-2.6,2.2,-6.0
1985/1/17,-4.9,-1.0,-7.9
1985/1/18,-5.9,0.9,-12.6
1985/1/19,-3.7,3.0,-10.4
1985/1/20,2.2,7.0,-4.6
1985/1/21,1.3,4.5,-3.0
1985/1/22,-0.7,4.0,-6.2
1985/1/23,-1.0,4.5,-4.6
1985/1/24,-3.7,2.3,-7.7
1985/1/25,-6.1,-1.1,-9.0
1985/1/26,-6.9,-2.7,-11.2
1985/1/27,-6.1,1.1,-13.6
1985/1/28,0.9,6.7,-6.5
1985/1/29,-3.9,0.6,-7.8
1985/1/30,-3.9,0.0,-7.3
1985/1/31,-2.5,3.4,-7.8
1985/2/1,2.4,6.1,-4.0
1985/2/2,-1.2,2.8,-5.8
1985/2/3,-1.1,5.1,-7.0
1985/2/4,-0.1,5.8,-5.4
1985/2/5,-0.7,4.4,-5.9
1985/2/6,2.1,8.6,-3.1
1985/2/7,2.2,7.8,-2.6
1985/2/8,-0.6,4.5,-5.7
1985/2/9,0.4,3.5,-0.7
1985/2/10,2.7,6.3,1.0
1985/2/11,1.4,4.8,-0.6
1985/2/12,0.5,3.9,-2.5
1985/2/13,2.2,8.2,-1.4
1985/2/14,-1.4,2.5,-4.4
1985/2/15,-1.2,1.6,-4.2
1985/2/16,1.7,6.1,-1.5
1985/2/17,1.3,5.0,-1.5
1985/2/18,1.9,7.3,-1.1
1985/2/19,3.3,6.9,0.0
1985/2/20,2.3,4.0,0.6
1985/2/21,1.9,5.8,-1.9
1985/2/22,-0.2,4.0,-3.9
1985/2/23,2.9,6.8,0.8
1985/2/24,1.8,5.4,-1.3
1985/2/25,0.7,4.6,-3.1
1985/2/26,0.3,4.7,-4.1
1985/2/27,0.5,5.4,-2.6
1985/2/28,-1.7,0.8,-4.5
1985/3/1,0.8,2.6,-1.5
1985/3/2,2.9,7.3,0.6
1985/3/3,-0.4,1.7,-3.7
1985/3/4,0.1,4.8,-3.7
1985/3/5,3.3,8.8,-2.7
1985/3/6,0.0,5.2,-3.9
1985/3/7,0.7,8.2,-5.8
1985/3/8,2.1,5.7,-2.6
1985/3/9,3.8,5.8,1.2
1985/3/10,-0.1,3.5,-2.4
1985/3/11,-1.0,1.7,-2.4
1985/3/12,0.1,1.9,-1.8
1985/3/13,2.4,7.6,-4.9
1985/3/14,-0.2,1.8,-1.6
1985/3/15,-0.7,3.9,-4.2
1985/3/16,1.4,8.0,-5.6
1985/3/17,6.1,11.0,0.6
1985/3/18,4.1,9.9,0.8
1985/3/19,3.0,7.3,0.4
1985/3/20,3.0,8.0,-1.6
1985/3/21,6.4,11.3,0.7
1985/3/22,3.0,9.0,-0.4
1985/3/23,1.4,7.8,-4.1
1985/3/24,1.1,6.5,-3.1
1985/3/25,6.1,12.2,-2.8
1985/3/26,8.8,16.6,0.7
1985/3/27,1.6,5.4,-0.6
1985/3/28,2.7,4.4,0.6
1985/3/29,6.4,11.0,2.6
1985/3/30,4.8,7.2,2.1
1985/3/31,4.4,10.0,-1.6
