ダウンロードした時刻：2019/10/10 16:02:53

,八丈島,八丈島,八丈島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/12/1,17.3,19.8,15.7
1991/12/2,16.2,18.5,14.2
1991/12/3,15.2,19.5,12.0
1991/12/4,15.1,18.7,11.9
1991/12/5,13.9,18.3,9.8
1991/12/6,15.5,20.2,9.6
1991/12/7,15.2,19.8,11.9
1991/12/8,16.2,20.9,12.7
1991/12/9,14.7,16.7,12.5
1991/12/10,12.2,15.7,9.6
1991/12/11,17.0,19.7,12.9
1991/12/12,11.9,16.4,8.8
1991/12/13,10.2,12.4,8.5
1991/12/14,11.9,14.6,9.3
1991/12/15,12.1,16.6,8.5
1991/12/16,13.4,17.6,9.3
1991/12/17,17.2,19.3,12.6
1991/12/18,17.1,19.5,13.9
1991/12/19,12.6,14.5,11.2
1991/12/20,12.2,14.6,9.4
1991/12/21,14.6,18.2,11.2
1991/12/22,15.9,18.2,12.1
1991/12/23,17.3,19.4,15.3
1991/12/24,17.3,19.4,15.5
1991/12/25,16.3,19.1,14.4
1991/12/26,13.0,16.0,10.9
1991/12/27,14.1,17.8,9.6
1991/12/28,15.2,19.0,9.6
1991/12/29,7.6,10.7,3.5
1991/12/30,7.5,9.6,3.6
1991/12/31,8.9,10.9,7.4
1992/1/1,11.2,12.8,8.6
1992/1/2,13.2,16.0,10.6
1992/1/3,12.4,14.6,10.5
1992/1/4,11.6,14.0,9.7
1992/1/5,11.3,13.4,8.7
1992/1/6,13.7,18.9,10.6
1992/1/7,15.2,19.0,12.7
1992/1/8,13.1,15.5,10.2
1992/1/9,14.2,19.4,11.2
1992/1/10,12.0,14.6,8.2
1992/1/11,11.2,14.3,9.3
1992/1/12,11.9,15.0,10.1
1992/1/13,13.8,16.3,10.6
1992/1/14,12.6,17.6,9.1
1992/1/15,8.7,9.5,8.1
1992/1/16,10.9,13.3,8.6
1992/1/17,11.7,14.4,9.6
1992/1/18,8.9,10.6,7.9
1992/1/19,7.7,8.7,7.0
1992/1/20,7.8,10.0,4.8
1992/1/21,9.8,12.9,4.9
1992/1/22,11.6,13.6,10.0
1992/1/23,10.0,12.1,8.4
1992/1/24,8.6,10.6,6.6
1992/1/25,11.2,13.6,7.3
1992/1/26,10.9,12.5,7.8
1992/1/27,12.3,14.7,8.8
1992/1/28,12.7,14.9,10.6
1992/1/29,15.9,18.7,13.2
1992/1/30,13.0,15.2,11.7
1992/1/31,13.0,17.1,10.7
1992/2/1,9.2,18.7,5.5
1992/2/2,7.9,11.5,5.4
1992/2/3,13.6,16.1,9.0
1992/2/4,14.5,17.3,10.6
1992/2/5,10.7,11.5,9.5
1992/2/6,10.0,12.1,8.2
1992/2/7,11.0,14.1,9.1
1992/2/8,8.5,9.7,7.2
1992/2/9,7.8,11.1,4.7
1992/2/10,7.9,10.6,4.5
1992/2/11,9.3,12.1,7.4
1992/2/12,10.5,14.3,7.4
1992/2/13,11.4,14.0,8.9
1992/2/14,11.1,13.4,9.2
1992/2/15,10.5,14.1,7.0
1992/2/16,10.7,13.8,8.7
1992/2/17,8.7,11.0,7.1
1992/2/18,11.2,12.7,9.4
1992/2/19,10.6,13.0,9.2
1992/2/20,8.7,10.4,6.8
1992/2/21,8.5,11.7,6.0
1992/2/22,7.4,9.9,6.3
1992/2/23,9.1,11.5,5.9
1992/2/24,8.6,11.8,6.1
1992/2/25,7.8,10.1,5.7
1992/2/26,8.2,10.0,5.7
1992/2/27,12.9,16.1,8.9
1992/2/28,15.0,17.9,12.8
1992/2/29,16.6,19.4,12.0
1992/3/1,17.2,18.1,15.1
1992/3/2,14.6,17.6,12.6
1992/3/3,11.9,13.1,10.5
1992/3/4,12.3,14.8,10.0
1992/3/5,16.3,19.0,13.2
1992/3/6,14.2,18.8,10.4
1992/3/7,8.5,10.4,4.5
1992/3/8,12.2,15.9,6.3
1992/3/9,13.7,16.8,9.8
1992/3/10,15.0,17.2,12.5
1992/3/11,14.1,17.9,11.0
1992/3/12,15.0,18.6,10.1
1992/3/13,15.5,19.4,11.9
1992/3/14,17.4,20.8,15.6
1992/3/15,17.8,20.7,15.6
1992/3/16,15.9,19.2,12.5
1992/3/17,11.5,14.2,9.4
1992/3/18,16.5,19.7,11.2
1992/3/19,14.7,16.2,12.9
1992/3/20,14.7,18.1,13.5
1992/3/21,15.8,20.4,10.7
1992/3/22,10.4,14.0,7.3
1992/3/23,14.1,16.2,8.8
1992/3/24,15.7,19.0,13.1
1992/3/25,15.7,18.8,13.5
1992/3/26,14.3,15.4,13.1
1992/3/27,13.4,14.5,11.5
1992/3/28,15.0,18.2,12.9
1992/3/29,15.7,18.8,13.4
1992/3/30,17.4,20.2,14.2
1992/3/31,15.7,19.3,13.9
