ダウンロードした時刻：2019/10/10 16:19:07

,下関,下関,下関
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/12/1,14.8,18.3,10.5
1992/12/2,13.9,17.1,11.0
1992/12/3,10.9,14.4,8.3
1992/12/4,11.1,15.0,7.8
1992/12/5,11.2,13.5,8.0
1992/12/6,13.4,15.7,11.4
1992/12/7,15.7,17.6,14.3
1992/12/8,14.9,16.4,13.9
1992/12/9,12.7,15.1,9.7
1992/12/10,13.0,15.5,9.0
1992/12/11,7.3,9.2,5.9
1992/12/12,8.1,9.0,7.2
1992/12/13,11.0,14.7,8.0
1992/12/14,6.2,8.6,4.6
1992/12/15,5.7,7.0,5.1
1992/12/16,7.2,9.7,5.4
1992/12/17,9.4,10.6,8.1
1992/12/18,8.8,10.8,5.1
1992/12/19,8.7,12.5,4.7
1992/12/20,10.5,11.7,8.9
1992/12/21,12.0,15.5,10.4
1992/12/22,9.6,11.5,7.1
1992/12/23,7.3,9.3,4.4
1992/12/24,5.5,7.0,4.4
1992/12/25,6.1,9.6,3.4
1992/12/26,7.8,12.1,3.9
1992/12/27,9.3,12.0,7.0
1992/12/28,12.6,14.0,11.1
1992/12/29,11.6,12.7,9.3
1992/12/30,10.3,12.1,8.6
1992/12/31,9.6,11.6,6.1
1993/1/1,8.5,11.7,6.3
1993/1/2,9.4,13.6,7.3
1993/1/3,10.2,12.9,6.4
1993/1/4,9.2,11.1,7.6
1993/1/5,8.1,11.9,5.2
1993/1/6,8.4,10.4,6.3
1993/1/7,11.0,13.8,9.5
1993/1/8,10.9,13.9,9.3
1993/1/9,9.2,10.5,8.5
1993/1/10,10.3,11.7,8.5
1993/1/11,9.9,11.4,8.1
1993/1/12,9.6,11.8,7.8
1993/1/13,9.7,11.6,8.2
1993/1/14,9.2,10.3,7.8
1993/1/15,9.7,11.3,8.6
1993/1/16,6.2,9.2,3.6
1993/1/17,4.4,5.8,2.4
1993/1/18,4.9,6.0,3.4
1993/1/19,3.8,5.0,3.2
1993/1/20,4.5,5.8,3.3
1993/1/21,4.3,6.5,3.5
1993/1/22,6.3,9.4,3.4
1993/1/23,7.0,10.3,4.3
1993/1/24,8.2,12.9,5.7
1993/1/25,8.5,13.3,4.1
1993/1/26,8.4,12.2,4.7
1993/1/27,5.7,8.5,2.1
1993/1/28,2.6,4.7,-0.1
1993/1/29,5.4,7.4,3.7
1993/1/30,7.1,8.3,5.9
1993/1/31,9.0,11.6,6.7
1993/2/1,5.7,9.6,4.4
1993/2/2,5.5,7.8,3.7
1993/2/3,7.1,11.9,1.3
1993/2/4,9.7,11.9,6.0
1993/2/5,8.7,13.9,4.7
1993/2/6,16.2,22.9,8.5
1993/2/7,12.3,18.9,7.1
1993/2/8,5.0,7.1,4.0
1993/2/9,5.0,6.0,2.8
1993/2/10,6.4,8.9,4.5
1993/2/11,8.8,11.3,5.0
1993/2/12,8.8,10.4,7.3
1993/2/13,9.9,12.8,6.1
1993/2/14,9.4,12.5,5.7
1993/2/15,8.7,12.9,4.0
1993/2/16,11.0,13.5,9.1
1993/2/17,11.4,13.3,8.2
1993/2/18,9.8,12.4,7.5
1993/2/19,8.5,12.2,6.4
1993/2/20,7.8,10.1,4.8
1993/2/21,11.9,14.1,9.5
1993/2/22,8.7,11.4,5.0
1993/2/23,3.5,5.0,1.6
1993/2/24,2.5,4.3,0.9
1993/2/25,3.7,6.8,0.8
1993/2/26,6.3,9.3,3.5
1993/2/27,7.6,10.9,5.6
1993/2/28,8.4,11.1,6.2
1993/3/1,3.7,6.4,1.5
1993/3/2,3.9,6.4,1.1
1993/3/3,7.3,10.6,3.9
1993/3/4,9.3,12.8,6.2
1993/3/5,9.7,14.5,5.3
1993/3/6,11.2,14.2,8.0
1993/3/7,10.0,12.2,6.6
1993/3/8,7.3,10.1,5.8
1993/3/9,7.9,11.5,3.5
1993/3/10,9.0,12.0,6.5
1993/3/11,8.0,10.1,5.6
1993/3/12,7.9,11.7,5.6
1993/3/13,8.5,12.5,3.8
1993/3/14,8.9,11.9,5.6
1993/3/15,8.9,10.0,7.5
1993/3/16,6.3,8.3,4.6
1993/3/17,5.7,9.8,3.7
1993/3/18,6.7,10.6,3.9
1993/3/19,7.5,11.6,4.5
1993/3/20,7.7,10.7,5.0
1993/3/21,8.3,12.9,4.3
1993/3/22,11.5,15.6,8.1
1993/3/23,12.6,16.7,9.6
1993/3/24,12.5,19.3,10.3
1993/3/25,12.2,14.1,10.3
1993/3/26,13.1,15.8,11.6
1993/3/27,13.3,16.9,9.9
1993/3/28,10.9,13.8,8.0
1993/3/29,8.2,10.8,6.1
1993/3/30,8.8,12.4,4.6
1993/3/31,11.6,14.0,9.6
