ダウンロードした時刻：2017/07/24 15:43:44

,浜田,浜田,浜田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/1/1,7.7,14.2,4.0
2000/1/2,9.8,15.3,2.8
2000/1/3,9.5,13.7,3.2
2000/1/4,6.6,12.9,2.2
2000/1/5,8.4,14.0,2.3
2000/1/6,13.5,19.5,9.2
2000/1/7,7.0,11.7,4.3
2000/1/8,6.4,8.2,4.2
2000/1/9,8.1,10.3,5.9
2000/1/10,9.0,11.8,6.3
2000/1/11,7.2,11.6,4.6
2000/1/12,6.3,7.6,5.4
2000/1/13,10.2,13.0,7.4
2000/1/14,7.9,11.4,5.8
2000/1/15,7.1,11.5,4.5
2000/1/16,7.8,11.3,3.6
2000/1/17,8.7,13.5,5.3
2000/1/18,8.1,13.3,4.0
2000/1/19,5.4,9.4,1.8
2000/1/20,1.1,3.8,-0.9
2000/1/21,2.6,5.0,0.1
2000/1/22,4.6,9.2,2.0
2000/1/23,8.8,14.1,3.9
2000/1/24,8.8,10.2,6.1
2000/1/25,4.6,9.4,0.5
2000/1/26,1.5,3.8,0.2
2000/1/27,0.1,2.3,-1.1
2000/1/28,1.9,6.4,-0.2
2000/1/29,4.7,10.8,-1.9
2000/1/30,6.9,9.0,4.6
2000/1/31,3.2,4.7,0.8
2000/2/1,3.8,8.2,0.9
2000/2/2,5.6,8.0,3.5
2000/2/3,6.6,9.0,3.5
2000/2/4,5.6,9.8,2.3
2000/2/5,5.8,10.9,1.1
2000/2/6,8.1,10.5,5.5
2000/2/7,7.9,10.0,4.7
2000/2/8,2.4,7.4,-1.2
2000/2/9,3.7,5.4,2.3
2000/2/10,5.4,9.5,0.1
2000/2/11,7.7,10.3,5.7
2000/2/12,8.4,11.9,4.3
2000/2/13,7.3,12.1,4.1
2000/2/14,8.4,12.2,4.6
2000/2/15,2.5,6.6,0.1
2000/2/16,1.9,4.5,-0.4
2000/2/17,3.7,5.9,2.6
2000/2/18,4.2,6.8,1.5
2000/2/19,4.1,7.8,1.2
2000/2/20,5.9,10.7,2.9
2000/2/21,4.4,7.2,0.4
2000/2/22,4.4,7.9,0.3
2000/2/23,5.5,9.0,0.6
2000/2/24,4.7,9.8,0.3
2000/2/25,3.2,6.7,0.0
2000/2/26,4.9,7.7,1.5
2000/2/27,4.9,7.5,0.9
2000/2/28,5.4,9.0,1.5
2000/2/29,4.4,8.0,2.0
2000/3/1,5.2,11.0,-1.1
2000/3/2,8.7,13.5,3.0
2000/3/3,9.8,17.2,1.3
2000/3/4,11.2,12.8,9.3
2000/3/5,9.8,15.5,5.2
2000/3/6,9.0,13.9,3.0
2000/3/7,7.0,11.8,4.1
2000/3/8,5.1,7.8,3.7
2000/3/9,5.2,7.8,1.7
2000/3/10,7.2,11.5,4.4
2000/3/11,6.4,10.3,4.5
2000/3/12,7.2,11.9,3.9
2000/3/13,8.6,13.1,3.5
2000/3/14,8.5,12.9,2.9
2000/3/15,9.0,15.5,1.3
2000/3/16,9.2,11.1,7.7
2000/3/17,8.0,12.2,3.1
2000/3/18,9.9,16.6,1.6
2000/3/19,11.8,14.7,8.1
2000/3/20,7.5,12.1,2.4
2000/3/21,7.7,13.8,0.6
2000/3/22,8.4,13.9,3.3
2000/3/23,8.8,15.2,1.9
2000/3/24,10.1,11.9,8.5
2000/3/25,8.6,12.0,6.5
2000/3/26,11.8,14.1,9.8
2000/3/27,14.6,18.0,11.6
2000/3/28,13.0,16.5,8.5
2000/3/29,9.4,11.0,8.2
2000/3/30,11.1,13.1,8.6
2000/3/31,12.4,14.1,11.0
2000/4/1,9.7,14.9,4.7
2000/4/2,11.3,18.4,4.8
2000/4/3,12.1,18.0,8.2
2000/4/4,12.1,17.2,6.8
2000/4/5,12.1,16.0,9.4
2000/4/6,9.2,14.2,4.6
2000/4/7,12.1,16.6,5.0
2000/4/8,11.6,15.8,6.3
2000/4/9,13.0,18.5,4.4
2000/4/10,15.5,20.3,9.8
2000/4/11,10.8,13.3,7.6
2000/4/12,13.8,15.8,11.3
2000/4/13,16.2,20.0,12.3
2000/4/14,15.8,19.5,12.1
2000/4/15,11.1,14.1,7.5
2000/4/16,9.6,14.3,6.0
2000/4/17,13.9,17.2,6.4
2000/4/18,16.5,18.8,14.1
2000/4/19,15.4,19.6,13.4
2000/4/20,13.5,16.3,11.4
2000/4/21,13.7,16.5,11.2
2000/4/22,17.0,22.5,14.0
2000/4/23,14.6,16.1,13.2
2000/4/24,14.5,16.6,12.9
2000/4/25,15.8,20.7,9.8
2000/4/26,14.4,18.7,11.1
2000/4/27,12.5,15.6,10.5
2000/4/28,11.3,14.6,7.9
2000/4/29,13.3,18.7,7.6
2000/4/30,13.1,16.7,9.7
2000/5/1,15.6,20.4,10.2
