ダウンロードした時刻：2017/07/24 15:41:38

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/1/1,8.5,11.7,6.4
2000/1/2,6.8,9.3,2.6
2000/1/3,9.5,15.1,4.7
2000/1/4,8.6,11.6,5.7
2000/1/5,6.9,10.5,3.5
2000/1/6,8.9,11.2,6.1
2000/1/7,10.3,14.4,5.4
2000/1/8,6.2,11.4,3.5
2000/1/9,7.1,11.5,2.3
2000/1/10,9.3,14.6,6.1
2000/1/11,6.9,9.5,3.2
2000/1/12,6.4,8.3,3.5
2000/1/13,10.3,13.0,8.0
2000/1/14,10.8,14.4,7.4
2000/1/15,8.4,12.6,4.9
2000/1/16,6.3,10.0,1.8
2000/1/17,9.2,14.0,6.8
2000/1/18,7.8,11.5,4.4
2000/1/19,6.1,9.6,1.4
2000/1/20,4.2,6.9,0.8
2000/1/21,0.8,3.3,-0.6
2000/1/22,3.3,7.3,0.5
2000/1/23,3.8,5.9,2.0
2000/1/24,8.6,13.0,5.2
2000/1/25,5.1,8.4,1.5
2000/1/26,2.8,7.6,0.1
2000/1/27,2.1,5.7,-0.3
2000/1/28,3.3,7.5,-0.4
2000/1/29,4.3,8.6,-0.4
2000/1/30,5.5,11.1,1.0
2000/1/31,4.2,8.2,1.9
2000/2/1,3.3,6.8,1.1
2000/2/2,5.5,10.2,1.6
2000/2/3,6.2,12.0,1.0
2000/2/4,5.8,8.6,3.2
2000/2/5,4.8,9.0,0.5
2000/2/6,5.0,8.2,2.1
2000/2/7,6.5,9.1,3.7
2000/2/8,3.8,10.0,-0.5
2000/2/9,2.3,6.4,0.0
2000/2/10,3.0,7.5,0.0
2000/2/11,5.0,12.1,-1.3
2000/2/12,7.8,13.2,3.2
2000/2/13,7.0,11.5,3.3
2000/2/14,6.8,10.3,2.9
2000/2/15,4.2,9.1,0.6
2000/2/16,2.5,7.1,-0.1
2000/2/17,3.4,8.7,0.4
2000/2/18,3.7,8.4,1.3
2000/2/19,3.7,5.5,1.9
2000/2/20,4.7,9.3,0.8
2000/2/21,3.4,6.6,1.4
2000/2/22,3.3,7.4,0.9
2000/2/23,4.9,8.7,1.1
2000/2/24,4.8,9.2,-0.2
2000/2/25,1.8,5.7,-1.0
2000/2/26,1.8,5.7,-0.2
2000/2/27,5.1,9.8,2.0
2000/2/28,4.6,11.0,0.3
2000/2/29,1.4,5.4,-1.5
2000/3/1,4.3,9.7,-0.1
2000/3/2,7.3,14.4,-1.0
2000/3/3,8.9,14.0,3.4
2000/3/4,8.4,10.5,7.5
2000/3/5,10.8,14.5,6.8
2000/3/6,10.2,16.6,5.3
2000/3/7,9.1,13.7,4.2
2000/3/8,5.3,10.8,2.6
2000/3/9,5.1,9.5,1.8
2000/3/10,4.9,9.7,2.1
2000/3/11,4.2,7.4,1.7
2000/3/12,7.0,12.7,3.2
2000/3/13,7.5,14.8,3.0
2000/3/14,6.4,13.9,1.9
2000/3/15,7.6,11.6,3.1
2000/3/16,9.8,14.1,6.8
2000/3/17,6.8,10.4,3.9
2000/3/18,7.5,12.6,1.5
2000/3/19,8.8,12.2,5.4
2000/3/20,7.9,11.1,5.3
2000/3/21,8.1,12.4,3.9
2000/3/22,8.6,12.4,4.5
2000/3/23,8.5,14.4,1.2
2000/3/24,9.5,12.9,5.5
2000/3/25,7.2,11.2,3.8
2000/3/26,6.4,11.5,2.4
2000/3/27,7.5,12.8,2.0
2000/3/28,10.7,15.8,6.6
2000/3/29,11.8,16.2,8.5
2000/3/30,10.8,15.5,8.1
2000/3/31,9.6,12.1,5.4
2000/4/1,10.8,14.8,6.6
2000/4/2,10.7,16.0,5.2
2000/4/3,12.4,17.3,8.6
2000/4/4,12.7,16.1,8.8
2000/4/5,12.9,15.6,10.4
2000/4/6,11.6,16.3,6.1
2000/4/7,11.1,17.1,4.7
2000/4/8,12.6,16.8,7.8
2000/4/9,12.4,16.5,7.5
2000/4/10,13.6,15.7,10.1
2000/4/11,10.6,14.7,7.0
2000/4/12,14.6,22.0,6.8
2000/4/13,15.8,22.9,8.7
2000/4/14,16.1,22.4,11.1
2000/4/15,12.2,15.6,10.1
2000/4/16,11.3,16.1,8.1
2000/4/17,11.4,16.2,5.9
2000/4/18,14.2,18.7,9.6
2000/4/19,15.2,19.6,11.9
2000/4/20,16.4,19.6,14.3
2000/4/21,15.6,17.3,13.6
2000/4/22,17.9,23.9,13.0
2000/4/23,16.0,21.1,10.5
2000/4/24,13.4,20.7,8.5
2000/4/25,13.9,19.2,7.5
2000/4/26,13.8,15.7,13.1
2000/4/27,16.5,22.9,12.9
2000/4/28,13.2,16.8,10.2
2000/4/29,15.5,21.5,9.8
2000/4/30,14.7,18.3,10.0
2000/5/1,15.2,17.0,12.8
