ダウンロードした時刻：2019/10/10 15:41:30

,白河,白河,白河
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/12/1,9.7,15.8,7.4
1993/12/2,7.7,12.2,2.3
1993/12/3,7.4,15.1,1.1
1993/12/4,4.7,8.9,-1.3
1993/12/5,2.0,6.7,-2.9
1993/12/6,1.4,2.3,0.4
1993/12/7,1.8,9.1,-2.7
1993/12/8,1.2,3.8,-2.1
1993/12/9,4.6,9.9,-1.8
1993/12/10,3.1,5.9,0.2
1993/12/11,4.3,10.1,1.3
1993/12/12,3.6,7.9,-1.3
1993/12/13,5.1,13.7,-1.6
1993/12/14,3.0,5.4,0.1
1993/12/15,-0.3,2.5,-1.6
1993/12/16,1.0,5.6,-1.7
1993/12/17,1.6,7.8,-1.2
1993/12/18,0.7,3.2,-1.5
1993/12/19,1.8,6.5,-3.4
1993/12/20,-0.2,2.4,-3.7
1993/12/21,4.4,7.7,0.5
1993/12/22,-0.2,3.6,-3.7
1993/12/23,-0.5,3.0,-4.6
1993/12/24,2.8,6.1,-1.5
1993/12/25,2.2,10.1,-1.8
1993/12/26,2.8,10.6,-3.1
1993/12/27,4.6,7.8,2.2
1993/12/28,1.0,3.3,-0.3
1993/12/29,2.5,5.8,-1.7
1993/12/30,2.9,7.5,-3.6
1993/12/31,3.3,9.0,-0.6
1994/1/1,0.7,3.0,-2.5
1994/1/2,2.2,7.6,-2.7
1994/1/3,4.0,10.1,0.0
1994/1/4,3.0,6.9,-1.0
1994/1/5,-0.1,1.7,-2.5
1994/1/6,0.7,5.0,-3.3
1994/1/7,0.1,5.1,-2.3
1994/1/8,-0.4,5.2,-5.2
1994/1/9,1.0,11.1,-6.1
1994/1/10,3.3,9.6,-2.3
1994/1/11,2.1,3.0,1.4
1994/1/12,1.9,6.4,-0.7
1994/1/13,-0.1,0.5,-1.6
1994/1/14,0.9,3.5,-0.3
1994/1/15,-0.1,2.8,-3.0
1994/1/16,0.0,6.5,-6.7
1994/1/17,2.2,9.7,-4.7
1994/1/18,2.3,5.6,-1.8
1994/1/19,-2.5,0.5,-5.8
1994/1/20,-2.3,3.2,-5.9
1994/1/21,-2.9,0.0,-5.8
1994/1/22,-2.0,3.4,-7.0
1994/1/23,-1.8,6.4,-7.9
1994/1/24,-2.8,0.1,-6.7
1994/1/25,-0.1,8.4,-8.0
1994/1/26,1.0,11.0,-5.9
1994/1/27,1.7,5.1,-2.4
1994/1/28,-1.0,1.1,-3.1
1994/1/29,-1.8,2.4,-3.8
1994/1/30,-3.6,-1.4,-5.7
1994/1/31,-2.2,4.2,-6.0
1994/2/1,-0.8,4.4,-6.0
1994/2/2,-0.9,2.9,-3.0
1994/2/3,-2.9,0.5,-4.6
1994/2/4,-0.5,2.3,-4.4
1994/2/5,2.7,7.5,-1.0
1994/2/6,2.6,8.6,-2.4
1994/2/7,3.9,8.7,-1.4
1994/2/8,4.1,8.2,-0.1
1994/2/9,3.2,8.6,0.3
1994/2/10,1.8,4.4,-1.0
1994/2/11,-0.7,1.5,-3.0
1994/2/12,-2.8,-1.2,-3.4
1994/2/13,-4.0,-2.0,-5.7
1994/2/14,-0.7,1.8,-5.6
1994/2/15,2.1,5.9,-0.6
1994/2/16,3.3,5.9,-0.6
1994/2/17,0.3,2.6,-1.5
1994/2/18,2.2,7.5,-1.5
1994/2/19,4.7,12.1,-2.4
1994/2/20,4.5,12.6,-4.3
1994/2/21,5.8,8.8,3.7
1994/2/22,-0.3,4.4,-2.8
1994/2/23,-2.5,-0.8,-4.3
1994/2/24,-0.2,2.2,-3.3
1994/2/25,2.1,5.2,-2.1
1994/2/26,1.6,5.2,-2.2
1994/2/27,1.7,5.1,-1.6
1994/2/28,2.1,6.7,-2.2
1994/3/1,3.0,8.3,0.0
1994/3/2,0.9,4.4,-3.2
1994/3/3,1.7,8.4,-5.5
1994/3/4,3.3,9.2,-1.4
1994/3/5,0.6,5.0,-2.9
1994/3/6,-0.2,3.6,-3.5
1994/3/7,1.7,7.5,-6.0
1994/3/8,3.1,5.7,1.2
1994/3/9,6.9,13.9,3.3
1994/3/10,1.6,4.1,-1.2
1994/3/11,2.6,6.9,-2.2
1994/3/12,3.9,8.9,0.4
1994/3/13,1.6,5.4,-0.4
1994/3/14,1.5,6.0,-1.9
1994/3/15,1.1,7.0,-4.2
1994/3/16,2.2,7.3,-4.7
1994/3/17,3.3,7.5,-0.2
1994/3/18,3.3,9.0,-0.9
1994/3/19,4.0,9.2,-0.3
1994/3/20,3.5,11.0,-1.2
1994/3/21,1.1,4.7,-2.3
1994/3/22,2.5,7.4,-2.5
1994/3/23,1.3,2.4,0.2
1994/3/24,5.4,9.0,0.1
1994/3/25,2.1,7.6,-1.5
1994/3/26,1.5,6.2,-2.2
1994/3/27,1.5,6.7,-3.5
1994/3/28,5.9,13.2,-3.8
1994/3/29,5.0,7.9,1.6
1994/3/30,5.1,10.3,1.3
1994/3/31,6.8,12.6,-0.5
