ダウンロードした時刻：2019/10/10 16:20:27

,長崎,長崎,長崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,5.7,8.3,2.2
1987/12/2,5.0,6.6,2.9
1987/12/3,8.0,10.1,4.9
1987/12/4,6.6,9.4,4.4
1987/12/5,7.2,8.8,4.1
1987/12/6,7.5,11.6,4.7
1987/12/7,7.5,12.5,3.5
1987/12/8,8.6,12.1,3.8
1987/12/9,11.4,15.7,8.8
1987/12/10,10.6,15.5,7.0
1987/12/11,10.0,12.4,7.1
1987/12/12,8.2,11.5,5.2
1987/12/13,6.4,9.9,3.1
1987/12/14,7.8,11.9,4.1
1987/12/15,8.8,12.1,5.1
1987/12/16,8.8,12.1,4.7
1987/12/17,7.4,12.4,4.0
1987/12/18,7.4,13.1,2.7
1987/12/19,8.8,15.1,4.2
1987/12/20,9.2,13.0,4.7
1987/12/21,8.0,10.7,4.7
1987/12/22,9.5,14.4,4.0
1987/12/23,9.8,15.0,6.1
1987/12/24,9.5,16.1,4.3
1987/12/25,15.0,20.2,7.6
1987/12/26,16.2,20.5,11.4
1987/12/27,13.8,19.4,10.3
1987/12/28,15.1,20.9,10.0
1987/12/29,17.3,21.4,13.6
1987/12/30,9.9,18.5,4.4
1987/12/31,6.7,11.7,2.2
1988/1/1,11.5,16.3,7.0
1988/1/2,12.4,13.9,10.7
1988/1/3,11.5,16.3,8.8
1988/1/4,11.8,14.2,9.9
1988/1/5,8.5,10.0,6.4
1988/1/6,7.5,13.0,3.6
1988/1/7,9.2,13.4,6.4
1988/1/8,10.7,13.6,7.4
1988/1/9,7.1,12.3,5.1
1988/1/10,3.3,5.1,1.2
1988/1/11,4.0,7.0,1.4
1988/1/12,5.1,9.3,1.0
1988/1/13,6.6,13.1,1.4
1988/1/14,10.6,16.8,3.4
1988/1/15,13.1,14.9,10.9
1988/1/16,11.2,14.4,7.5
1988/1/17,7.1,8.8,5.4
1988/1/18,6.9,9.4,4.7
1988/1/19,7.6,12.2,5.1
1988/1/20,8.4,14.5,3.4
1988/1/21,13.0,17.4,9.6
1988/1/22,13.3,15.6,10.6
1988/1/23,3.1,10.6,0.8
1988/1/24,3.5,7.4,0.0
1988/1/25,5.4,7.7,4.4
1988/1/26,6.3,8.8,5.4
1988/1/27,5.8,8.8,2.2
1988/1/28,6.8,12.1,1.4
1988/1/29,8.4,12.9,4.8
1988/1/30,7.4,11.1,4.4
1988/1/31,5.2,7.6,1.5
1988/2/1,5.9,11.3,1.1
1988/2/2,5.9,10.3,2.1
1988/2/3,1.4,4.0,-0.3
1988/2/4,8.6,14.7,0.8
1988/2/5,16.4,20.2,13.5
1988/2/6,6.7,13.5,3.0
1988/2/7,2.7,4.6,1.1
1988/2/8,3.9,5.0,2.2
1988/2/9,4.5,6.6,2.4
1988/2/10,5.1,7.0,2.2
1988/2/11,5.7,8.5,2.1
1988/2/12,6.7,11.5,2.1
1988/2/13,8.2,13.6,3.0
1988/2/14,8.8,12.0,6.2
1988/2/15,6.9,9.9,3.8
1988/2/16,4.5,7.7,1.9
1988/2/17,3.9,5.2,2.4
1988/2/18,2.7,5.2,1.1
1988/2/19,4.6,9.8,-1.0
1988/2/20,5.4,7.6,4.1
1988/2/21,7.2,11.8,1.8
1988/2/22,10.1,15.1,4.3
1988/2/23,11.3,13.4,9.9
1988/2/24,10.7,14.7,8.6
1988/2/25,9.6,15.8,6.0
1988/2/26,7.6,9.5,6.5
1988/2/27,7.8,10.8,6.3
1988/2/28,9.2,12.8,4.2
1988/2/29,8.1,9.4,6.6
1988/3/1,10.0,11.5,8.4
1988/3/2,9.0,11.8,6.7
1988/3/3,3.9,6.8,1.1
1988/3/4,4.4,7.3,0.6
1988/3/5,6.4,9.7,4.1
1988/3/6,7.2,10.9,3.6
1988/3/7,3.8,8.6,2.4
1988/3/8,5.4,7.9,2.2
1988/3/9,7.0,9.4,4.7
1988/3/10,9.3,15.1,4.7
1988/3/11,13.8,19.0,7.1
1988/3/12,11.5,15.0,7.7
1988/3/13,12.3,17.0,6.3
1988/3/14,16.2,20.5,12.5
1988/3/15,11.0,13.4,8.5
1988/3/16,6.0,8.5,4.8
1988/3/17,8.3,10.8,5.3
1988/3/18,10.2,14.1,7.7
1988/3/19,11.0,15.9,6.4
1988/3/20,10.9,14.4,7.6
1988/3/21,10.0,12.1,7.8
1988/3/22,10.7,12.3,9.2
1988/3/23,11.1,15.0,7.8
1988/3/24,11.1,17.1,5.2
1988/3/25,11.2,14.5,9.4
1988/3/26,10.6,13.2,8.0
1988/3/27,10.7,15.1,6.7
1988/3/28,9.3,13.2,7.1
1988/3/29,11.0,15.2,7.4
1988/3/30,9.3,13.1,6.9
1988/3/31,10.7,15.7,6.1
