ダウンロードした時刻：2019/10/10 15:53:19

,岐阜,岐阜,岐阜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,12.3,18.9,6.7
1998/12/2,11.4,15.7,7.9
1998/12/3,9.4,11.6,7.0
1998/12/4,9.5,11.2,7.9
1998/12/5,9.6,11.2,8.0
1998/12/6,10.2,15.7,5.2
1998/12/7,10.5,12.9,7.8
1998/12/8,9.8,11.3,5.5
1998/12/9,6.9,11.2,3.8
1998/12/10,6.7,11.7,3.5
1998/12/11,5.9,11.1,1.8
1998/12/12,6.1,10.8,1.8
1998/12/13,6.3,13.3,0.1
1998/12/14,8.3,13.7,2.0
1998/12/15,9.7,13.2,6.8
1998/12/16,8.8,14.4,5.3
1998/12/17,10.4,16.8,5.9
1998/12/18,7.9,14.6,1.8
1998/12/19,9.3,16.1,3.1
1998/12/20,8.9,13.3,5.2
1998/12/21,6.5,12.5,0.7
1998/12/22,7.4,14.3,0.2
1998/12/23,9.4,15.5,4.3
1998/12/24,7.8,10.9,4.2
1998/12/25,5.9,12.2,-0.1
1998/12/26,7.1,13.4,2.8
1998/12/27,5.4,12.2,0.7
1998/12/28,7.1,15.7,-0.2
1998/12/29,8.2,13.8,2.1
1998/12/30,6.6,10.2,3.9
1998/12/31,4.8,10.0,1.8
1999/1/1,4.6,8.0,1.0
1999/1/2,3.9,6.6,1.4
1999/1/3,4.6,8.8,1.2
1999/1/4,5.2,9.3,1.5
1999/1/5,4.8,12.5,-1.4
1999/1/6,5.7,12.1,-0.4
1999/1/7,5.8,13.1,0.7
1999/1/8,0.3,3.1,-1.3
1999/1/9,-0.4,0.8,-2.0
1999/1/10,1.2,3.9,-0.8
1999/1/11,3.3,7.1,0.3
1999/1/12,2.9,7.5,-0.6
1999/1/13,3.4,6.8,0.1
1999/1/14,4.5,8.8,1.9
1999/1/15,3.3,4.8,1.7
1999/1/16,4.1,9.7,0.1
1999/1/17,4.2,8.7,0.4
1999/1/18,4.8,11.8,-1.3
1999/1/19,3.8,5.6,0.4
1999/1/20,7.0,13.8,1.7
1999/1/21,5.1,8.5,2.7
1999/1/22,5.5,11.8,0.3
1999/1/23,6.9,14.0,0.5
1999/1/24,7.3,8.6,6.5
1999/1/25,7.2,9.2,5.6
1999/1/26,7.2,12.0,3.9
1999/1/27,6.2,12.0,0.6
1999/1/28,6.0,12.3,1.3
1999/1/29,2.5,6.9,0.1
1999/1/30,2.5,6.1,-1.7
1999/1/31,4.5,11.2,-0.4
1999/2/1,5.4,9.3,1.1
1999/2/2,4.1,9.6,0.9
1999/2/3,-0.6,2.7,-4.0
1999/2/4,-0.9,5.1,-6.2
1999/2/5,1.0,5.6,-3.7
1999/2/6,3.1,7.4,0.0
1999/2/7,4.1,11.3,-2.0
1999/2/8,7.3,13.1,2.9
1999/2/9,6.6,13.7,-0.5
1999/2/10,6.2,11.1,2.5
1999/2/11,3.2,4.9,1.4
1999/2/12,3.0,6.2,0.8
1999/2/13,1.2,5.3,-1.6
1999/2/14,2.0,7.6,-2.7
1999/2/15,4.8,11.2,-0.5
1999/2/16,6.3,14.0,-0.6
1999/2/17,8.1,15.8,0.8
1999/2/18,6.6,7.7,4.7
1999/2/19,4.9,8.9,1.2
1999/2/20,3.3,9.3,-2.2
1999/2/21,2.7,8.6,-1.2
1999/2/22,4.2,9.2,-1.1
1999/2/23,6.1,12.3,1.6
1999/2/24,4.7,6.6,3.4
1999/2/25,8.1,12.8,3.3
1999/2/26,7.8,13.9,0.7
1999/2/27,7.7,14.2,1.9
1999/2/28,4.6,9.5,1.3
1999/3/1,7.1,15.0,-0.2
1999/3/2,8.8,15.1,2.9
1999/3/3,10.0,17.2,3.5
1999/3/4,10.3,17.3,3.0
1999/3/5,10.0,14.0,6.9
1999/3/6,9.8,15.8,5.8
1999/3/7,7.9,8.9,6.7
1999/3/8,9.3,14.5,4.2
1999/3/9,7.8,10.0,5.2
1999/3/10,8.6,14.3,4.0
1999/3/11,7.7,10.6,5.0
1999/3/12,7.0,11.5,4.1
1999/3/13,9.7,15.5,4.6
1999/3/14,13.2,19.5,6.1
1999/3/15,13.7,15.7,12.1
1999/3/16,14.1,19.2,9.2
1999/3/17,13.3,19.1,6.0
1999/3/18,16.4,20.8,10.9
1999/3/19,14.3,16.2,11.5
1999/3/20,7.2,12.6,4.2
1999/3/21,5.0,6.5,3.9
1999/3/22,4.0,7.1,1.0
1999/3/23,5.6,12.9,0.0
1999/3/24,9.6,17.1,1.7
1999/3/25,13.7,19.8,7.6
1999/3/26,14.4,17.2,13.2
1999/3/27,12.4,15.2,8.1
1999/3/28,8.9,14.8,4.9
1999/3/29,6.2,11.1,2.9
1999/3/30,7.0,11.4,2.3
1999/3/31,11.4,18.8,6.8
