ダウンロードした時刻：2019/10/10 16:18:02

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2018/12/1,12.7,19.6,7.4
2018/12/2,13.6,17.2,9.8
2018/12/3,15.6,17.1,13.9
2018/12/4,18.3,21.1,15.6
2018/12/5,17.2,22.0,12.5
2018/12/6,13.9,15.4,12.6
2018/12/7,12.0,14.3,8.6
2018/12/8,8.0,12.1,5.5
2018/12/9,6.3,9.5,4.5
2018/12/10,7.3,11.9,3.6
2018/12/11,7.3,9.6,3.4
2018/12/12,10.9,15.3,5.7
2018/12/13,7.9,14.4,3.2
2018/12/14,7.2,12.9,3.0
2018/12/15,7.4,13.0,2.9
2018/12/16,7.9,12.1,3.9
2018/12/17,9.9,15.9,5.2
2018/12/18,8.0,14.0,2.7
2018/12/19,8.2,15.5,2.5
2018/12/20,10.8,15.5,6.7
2018/12/21,10.8,12.9,7.7
2018/12/22,15.5,21.5,12.0
2018/12/23,14.4,18.8,11.1
2018/12/24,9.9,14.8,5.9
2018/12/25,8.5,14.7,3.4
2018/12/26,8.5,10.1,7.2
2018/12/27,9.8,14.8,5.3
2018/12/28,4.3,8.6,1.3
2018/12/29,4.5,10.2,0.9
2018/12/30,5.0,10.0,-0.3
2018/12/31,6.5,11.1,2.3
2019/1/1,6.0,12.7,-0.3
2019/1/2,5.7,11.7,1.7
2019/1/3,5.5,12.7,0.0
2019/1/4,7.1,13.4,0.7
2019/1/5,9.9,14.9,6.0
2019/1/6,7.3,12.0,3.6
2019/1/7,6.8,12.7,1.3
2019/1/8,8.0,14.6,3.8
2019/1/9,6.2,9.8,2.8
2019/1/10,7.3,12.3,1.6
2019/1/11,9.0,14.8,5.2
2019/1/12,7.9,10.4,5.2
2019/1/13,8.5,15.8,2.7
2019/1/14,8.0,14.6,2.4
2019/1/15,8.6,15.2,5.3
2019/1/16,6.6,11.5,3.0
2019/1/17,6.1,13.3,1.3
2019/1/18,7.0,14.4,1.2
2019/1/19,7.6,14.2,1.1
2019/1/20,9.7,16.2,5.5
2019/1/21,7.3,14.1,2.0
2019/1/22,6.9,13.9,0.9
2019/1/23,7.4,15.7,0.6
2019/1/24,7.5,13.9,2.9
2019/1/25,7.2,13.1,1.0
2019/1/26,5.7,8.1,3.6
2019/1/27,6.9,12.5,2.6
2019/1/28,6.2,12.5,0.4
2019/1/29,7.6,13.2,3.8
2019/1/30,7.3,13.8,0.9
2019/1/31,8.4,9.4,6.7
2019/2/1,6.7,11.6,2.7
2019/2/2,5.6,12.6,-0.7
2019/2/3,6.2,8.5,2.3
2019/2/4,11.8,18.3,8.3
2019/2/5,9.6,15.1,4.1
2019/2/6,10.9,16.1,8.0
2019/2/7,12.8,18.0,7.2
2019/2/8,9.7,13.4,6.2
2019/2/9,8.2,13.4,5.7
2019/2/10,7.7,11.7,4.8
2019/2/11,7.7,11.3,5.3
2019/2/12,7.4,13.8,1.9
2019/2/13,8.8,13.2,5.5
2019/2/14,7.5,11.4,4.7
2019/2/15,6.6,7.8,5.4
2019/2/16,9.1,15.1,4.8
2019/2/17,7.2,13.4,2.4
2019/2/18,8.3,14.0,1.7
2019/2/19,10.6,12.8,8.6
2019/2/20,13.9,20.1,9.3
2019/2/21,10.5,15.7,7.4
2019/2/22,10.0,14.0,7.1
2019/2/23,10.5,14.8,7.1
2019/2/24,8.9,14.7,3.7
2019/2/25,10.9,17.5,4.6
2019/2/26,12.1,18.6,7.1
2019/2/27,10.0,13.6,6.2
2019/2/28,12.3,17.9,9.2
2019/3/1,12.1,17.8,7.0
2019/3/2,11.2,16.5,6.1
2019/3/3,10.5,12.4,9.0
2019/3/4,13.0,19.3,10.2
2019/3/5,11.4,17.0,4.6
2019/3/6,11.1,12.6,9.3
2019/3/7,11.0,15.9,7.6
2019/3/8,9.8,15.7,4.4
2019/3/9,10.1,16.1,3.1
2019/3/10,12.3,15.1,10.0
2019/3/11,13.9,19.4,8.2
2019/3/12,11.6,18.0,6.2
2019/3/13,9.2,14.3,4.9
2019/3/14,8.7,14.5,2.9
2019/3/15,9.4,16.4,2.3
2019/3/16,10.4,17.3,5.6
2019/3/17,9.9,17.8,4.4
2019/3/18,9.7,14.8,3.2
2019/3/19,10.7,14.6,7.9
2019/3/20,13.1,20.2,4.5
2019/3/21,15.2,18.5,12.4
2019/3/22,14.5,17.4,9.5
2019/3/23,10.0,16.7,5.8
2019/3/24,9.3,14.6,4.1
2019/3/25,10.3,15.0,4.9
2019/3/26,13.9,21.6,8.1
2019/3/27,13.8,20.3,6.7
2019/3/28,15.3,20.7,11.7
2019/3/29,15.1,18.7,12.3
2019/3/30,14.2,18.7,12.0
2019/3/31,12.6,16.9,9.1
