ダウンロードした時刻：2019/10/10 16:21:52

,佐賀,佐賀,佐賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2014/12/1,11.8,16.1,6.1
2014/12/2,6.2,8.2,4.7
2014/12/3,8.5,12.2,4.9
2014/12/4,7.8,9.6,5.9
2014/12/5,6.2,8.7,4.4
2014/12/6,5.0,8.5,1.7
2014/12/7,4.6,9.0,0.5
2014/12/8,6.1,10.7,1.9
2014/12/9,7.2,13.3,2.1
2014/12/10,8.8,14.0,3.3
2014/12/11,9.9,12.2,5.9
2014/12/12,6.3,9.2,3.3
2014/12/13,6.3,8.6,4.4
2014/12/14,4.7,9.0,0.4
2014/12/15,4.9,9.6,-0.2
2014/12/16,6.0,10.1,3.7
2014/12/17,3.0,5.7,0.8
2014/12/18,2.8,5.8,-0.8
2014/12/19,3.7,8.2,-2.5
2014/12/20,7.8,13.1,5.1
2014/12/21,4.0,7.3,1.5
2014/12/22,4.7,7.6,2.0
2014/12/23,6.4,10.9,3.1
2014/12/24,6.8,10.8,2.2
2014/12/25,6.6,10.7,2.1
2014/12/26,4.3,10.5,-0.6
2014/12/27,5.7,11.9,0.5
2014/12/28,7.9,12.4,4.1
2014/12/29,7.4,12.2,3.7
2014/12/30,7.7,13.8,3.7
2014/12/31,6.0,13.0,0.7
2015/1/1,1.8,5.5,-1.5
2015/1/2,3.1,6.1,-1.0
2015/1/3,3.0,8.0,-2.1
2015/1/4,7.2,12.6,1.9
2015/1/5,8.0,13.5,2.4
2015/1/6,10.7,15.0,5.3
2015/1/7,6.3,10.5,2.7
2015/1/8,4.4,9.4,0.4
2015/1/9,4.9,10.9,-0.8
2015/1/10,7.6,11.7,2.8
2015/1/11,6.5,13.2,0.9
2015/1/12,5.1,8.8,1.0
2015/1/13,6.6,12.2,0.7
2015/1/14,7.9,11.0,6.0
2015/1/15,10.0,12.6,7.3
2015/1/16,8.0,10.7,3.6
2015/1/17,6.4,9.1,1.2
2015/1/18,4.2,9.8,-1.7
2015/1/19,8.1,11.5,3.7
2015/1/20,7.4,12.7,3.7
2015/1/21,8.5,12.2,5.8
2015/1/22,7.8,10.2,5.7
2015/1/23,7.3,11.0,2.8
2015/1/24,6.0,12.2,1.0
2015/1/25,8.2,13.4,2.8
2015/1/26,10.8,12.8,8.9
2015/1/27,10.2,14.2,7.6
2015/1/28,7.0,10.1,3.9
2015/1/29,5.0,7.8,3.2
2015/1/30,6.7,10.5,4.7
2015/1/31,5.0,8.4,1.6
2015/2/1,5.4,10.6,2.0
2015/2/2,4.4,8.8,0.9
2015/2/3,5.8,12.3,-0.1
2015/2/4,6.3,8.3,4.9
2015/2/5,4.9,8.3,1.5
2015/2/6,4.7,10.4,1.2
2015/2/7,5.6,10.1,1.1
2015/2/8,4.8,7.7,1.1
2015/2/9,1.2,4.1,-1.8
2015/2/10,3.8,9.2,-2.0
2015/2/11,7.5,12.1,3.7
2015/2/12,6.9,11.9,3.1
2015/2/13,4.9,9.0,0.8
2015/2/14,5.2,12.2,-0.9
2015/2/15,6.7,11.0,0.4
2015/2/16,9.7,11.5,7.6
2015/2/17,9.8,12.7,6.8
2015/2/18,7.5,10.7,5.3
2015/2/19,6.1,9.1,3.8
2015/2/20,7.8,13.9,3.9
2015/2/21,8.1,11.4,4.3
2015/2/22,11.8,14.1,8.9
2015/2/23,8.4,12.3,5.1
2015/2/24,7.8,13.6,3.1
2015/2/25,7.4,11.0,4.0
2015/2/26,9.2,13.4,6.3
2015/2/27,5.7,10.8,1.8
2015/2/28,7.3,12.8,2.6
2015/3/1,8.2,10.5,4.5
2015/3/2,7.1,13.3,1.4
2015/3/3,6.5,9.3,3.6
2015/3/4,7.0,9.3,4.5
2015/3/5,6.4,11.6,1.0
2015/3/6,7.1,11.0,4.5
2015/3/7,8.3,13.9,3.0
2015/3/8,11.1,18.2,3.8
2015/3/9,10.0,13.0,6.6
2015/3/10,3.2,6.6,0.1
2015/3/11,6.0,11.3,0.4
2015/3/12,7.4,12.4,2.4
2015/3/13,7.9,14.6,0.3
2015/3/14,11.4,16.6,8.5
2015/3/15,11.1,15.7,7.0
2015/3/16,13.4,19.7,9.2
2015/3/17,16.1,23.8,7.1
2015/3/18,16.6,18.4,14.9
2015/3/19,15.2,18.8,13.0
2015/3/20,14.2,18.8,10.7
2015/3/21,14.7,22.3,9.6
2015/3/22,13.2,19.8,7.9
2015/3/23,11.2,15.4,6.2
2015/3/24,8.6,12.6,4.6
2015/3/25,8.2,15.6,1.7
2015/3/26,9.5,17.4,1.9
2015/3/27,10.8,16.5,3.5
2015/3/28,16.3,22.5,10.6
2015/3/29,17.1,23.6,13.1
2015/3/30,16.0,23.1,9.7
2015/3/31,15.6,20.1,11.7
