ダウンロードした時刻：2019/10/10 16:24:28

,延岡,延岡,延岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,9.2,15.4,4.3
1981/12/2,4.1,8.6,0.9
1981/12/3,4.7,11.5,-0.9
1981/12/4,6.1,14.5,-0.7
1981/12/5,9.3,17.3,3.5
1981/12/6,10.0,17.7,4.7
1981/12/7,8.1,13.4,4.2
1981/12/8,6.8,12.8,0.3
1981/12/9,7.8,14.9,2.0
1981/12/10,7.3,15.8,1.8
1981/12/11,9.4,17.5,1.6
1981/12/12,10.2,16.3,3.4
1981/12/13,7.8,13.7,2.5
1981/12/14,5.0,10.0,0.4
1981/12/15,3.5,10.3,-1.5
1981/12/16,5.2,13.5,-1.4
1981/12/17,7.0,14.2,1.0
1981/12/18,8.8,14.5,2.1
1981/12/19,9.3,12.7,5.7
1981/12/20,6.6,10.8,2.1
1981/12/21,6.2,15.1,-0.8
1981/12/22,8.0,17.3,1.7
1981/12/23,10.6,17.6,5.0
1981/12/24,6.2,13.3,0.9
1981/12/25,6.0,13.5,-0.6
1981/12/26,8.2,17.6,2.3
1981/12/27,11.1,18.3,5.7
1981/12/28,11.3,18.0,5.6
1981/12/29,10.5,18.1,5.7
1981/12/30,9.7,14.1,4.5
1981/12/31,8.1,12.6,3.7
1982/1/1,6.8,11.8,3.3
1982/1/2,5.5,12.7,0.3
1982/1/3,7.4,15.7,-0.1
1982/1/4,13.4,16.0,8.8
1982/1/5,10.1,13.9,3.2
1982/1/6,5.7,12.7,-0.6
1982/1/7,5.8,11.3,0.7
1982/1/8,4.2,12.3,-1.7
1982/1/9,7.3,13.1,1.0
1982/1/10,6.9,15.8,0.5
1982/1/11,8.2,18.0,1.0
1982/1/12,10.0,18.1,4.5
1982/1/13,5.1,9.7,2.1
1982/1/14,4.8,12.0,0.9
1982/1/15,4.1,12.4,-4.1
1982/1/16,3.5,7.8,0.6
1982/1/17,2.9,9.6,-1.5
1982/1/18,3.3,11.6,-2.3
1982/1/19,1.8,5.7,-0.7
1982/1/20,3.8,9.7,-2.2
1982/1/21,6.0,13.1,-0.2
1982/1/22,7.2,14.8,1.0
1982/1/23,8.9,15.5,1.9
1982/1/24,6.7,11.2,1.5
1982/1/25,7.3,11.0,3.2
1982/1/26,5.3,11.8,-1.1
1982/1/27,6.9,12.7,0.8
1982/1/28,2.4,6.2,-1.4
1982/1/29,0.3,5.5,-3.9
1982/1/30,1.7,9.9,-4.9
1982/1/31,3.9,8.1,-2.3
1982/2/1,5.7,8.9,2.2
1982/2/2,3.9,11.8,-2.3
1982/2/3,5.8,12.8,-1.5
1982/2/4,8.0,14.3,3.0
1982/2/5,7.0,13.4,0.4
1982/2/6,5.0,8.8,-0.3
1982/2/7,4.0,11.5,-2.3
1982/2/8,5.6,12.9,2.5
1982/2/9,4.9,13.5,-2.5
1982/2/10,7.0,12.3,1.8
1982/2/11,6.2,11.7,-0.1
1982/2/12,5.9,8.7,3.2
1982/2/13,7.0,14.5,-0.1
1982/2/14,5.5,10.4,-0.7
1982/2/15,4.1,13.5,-2.7
1982/2/16,5.7,12.2,-0.3
1982/2/17,6.8,10.8,2.1
1982/2/18,7.3,14.5,0.4
1982/2/19,10.3,12.2,6.1
1982/2/20,14.2,20.0,11.5
1982/2/21,11.5,15.7,6.8
1982/2/22,8.2,15.7,1.2
1982/2/23,8.7,12.9,3.1
1982/2/24,5.5,8.3,4.5
1982/2/25,6.9,13.8,-0.5
1982/2/26,5.8,11.8,0.5
1982/2/27,7.4,13.9,-0.1
1982/2/28,7.0,8.6,5.2
1982/3/1,8.8,15.1,4.1
1982/3/2,6.9,12.8,1.2
1982/3/3,5.7,12.8,-2.1
1982/3/4,10.3,17.5,0.9
1982/3/5,13.2,19.0,9.7
1982/3/6,12.1,18.2,7.9
1982/3/7,7.5,13.8,4.2
1982/3/8,7.3,13.4,4.0
1982/3/9,8.1,15.0,3.2
1982/3/10,8.8,16.6,2.8
1982/3/11,9.5,16.9,2.0
1982/3/12,11.3,14.6,5.9
1982/3/13,13.5,19.8,7.0
1982/3/14,11.1,15.7,5.5
1982/3/15,16.1,22.3,11.0
1982/3/16,15.3,21.0,9.2
1982/3/17,12.5,18.6,7.3
1982/3/18,13.9,19.3,9.0
1982/3/19,10.4,13.1,9.1
1982/3/20,13.1,14.3,11.7
1982/3/21,13.8,19.3,8.4
1982/3/22,12.8,19.5,5.8
1982/3/23,15.5,20.8,10.0
1982/3/24,15.1,21.2,8.5
1982/3/25,9.0,14.7,4.7
1982/3/26,8.0,14.9,-0.3
1982/3/27,9.6,14.3,6.1
1982/3/28,10.7,17.7,6.0
1982/3/29,12.0,18.0,3.9
1982/3/30,13.7,20.8,8.6
1982/3/31,15.7,21.8,11.2
