ダウンロードした時刻：2019/10/10 16:12:07

,大阪,大阪,大阪
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/12/1,11.6,17.1,6.9
2009/12/2,12.4,18.0,7.3
2009/12/3,11.3,12.4,10.3
2009/12/4,11.0,14.1,8.1
2009/12/5,11.3,15.3,8.0
2009/12/6,10.8,14.0,8.2
2009/12/7,9.3,13.2,5.1
2009/12/8,9.7,13.6,6.2
2009/12/9,10.0,14.1,5.4
2009/12/10,10.6,13.1,7.0
2009/12/11,12.6,14.1,10.5
2009/12/12,14.1,17.9,11.2
2009/12/13,10.2,13.1,8.7
2009/12/14,10.2,14.8,5.8
2009/12/15,8.4,11.8,5.9
2009/12/16,7.4,11.6,5.2
2009/12/17,5.5,7.9,3.8
2009/12/18,4.4,7.2,2.3
2009/12/19,4.0,7.1,1.5
2009/12/20,5.4,8.6,3.3
2009/12/21,4.7,8.0,2.5
2009/12/22,6.1,10.4,0.6
2009/12/23,7.0,11.4,2.9
2009/12/24,8.1,12.2,5.2
2009/12/25,9.0,13.6,3.2
2009/12/26,10.0,13.8,7.5
2009/12/27,7.7,10.5,6.3
2009/12/28,7.4,10.9,5.4
2009/12/29,6.4,10.1,4.1
2009/12/30,7.2,12.8,2.5
2009/12/31,4.4,8.4,1.1
2010/1/1,2.8,5.4,0.7
2010/1/2,6.0,8.7,2.5
2010/1/3,7.5,9.7,3.3
2010/1/4,6.6,11.2,1.5
2010/1/5,7.4,11.2,3.9
2010/1/6,4.6,8.1,1.4
2010/1/7,4.5,7.2,1.9
2010/1/8,5.5,9.7,2.4
2010/1/9,5.8,9.4,1.7
2010/1/10,7.3,10.9,4.6
2010/1/11,7.0,10.6,3.6
2010/1/12,6.8,8.7,4.1
2010/1/13,2.5,5.1,0.9
2010/1/14,2.3,5.3,-0.1
2010/1/15,4.6,8.0,0.6
2010/1/16,3.9,6.7,1.2
2010/1/17,3.9,8.8,-1.3
2010/1/18,5.4,10.2,0.4
2010/1/19,7.9,13.3,3.4
2010/1/20,9.9,15.8,4.0
2010/1/21,10.3,13.9,5.5
2010/1/22,6.5,9.2,4.4
2010/1/23,5.6,8.2,3.3
2010/1/24,5.4,9.0,1.2
2010/1/25,5.0,7.8,1.3
2010/1/26,6.1,10.0,3.6
2010/1/27,6.7,12.0,0.1
2010/1/28,8.7,11.7,6.0
2010/1/29,8.8,11.3,5.9
2010/1/30,7.8,11.1,4.0
2010/1/31,6.4,7.6,4.9
2010/2/1,4.2,5.6,3.0
2010/2/2,7.1,10.9,3.0
2010/2/3,5.3,8.6,2.9
2010/2/4,4.0,7.8,1.6
2010/2/5,4.6,8.0,2.0
2010/2/6,3.5,6.9,1.4
2010/2/7,4.7,9.3,0.3
2010/2/8,6.9,11.5,3.0
2010/2/9,13.3,18.7,8.1
2010/2/10,12.6,16.7,7.6
2010/2/11,6.6,8.1,4.9
2010/2/12,5.6,8.9,2.9
2010/2/13,5.3,10.3,2.7
2010/2/14,6.3,9.7,1.9
2010/2/15,6.0,8.2,3.7
2010/2/16,6.3,9.3,2.4
2010/2/17,3.8,7.2,1.5
2010/2/18,5.3,9.7,1.6
2010/2/19,5.4,9.3,1.9
2010/2/20,5.6,9.7,1.1
2010/2/21,6.8,11.7,2.4
2010/2/22,9.9,16.5,3.2
2010/2/23,12.7,18.8,8.9
2010/2/24,14.0,20.7,8.7
2010/2/25,16.6,23.4,11.0
2010/2/26,15.4,17.5,13.7
2010/2/27,12.2,15.0,8.7
2010/2/28,9.1,12.9,7.1
2010/3/1,10.7,15.4,6.1
2010/3/2,11.4,14.0,9.6
2010/3/3,9.9,13.7,7.5
2010/3/4,10.9,15.4,7.1
2010/3/5,13.6,18.1,10.7
2010/3/6,10.4,11.9,9.2
2010/3/7,7.4,9.3,6.4
2010/3/8,7.2,11.0,5.1
2010/3/9,5.6,6.8,4.0
2010/3/10,5.6,8.7,4.0
2010/3/11,6.3,10.4,3.2
2010/3/12,10.3,15.6,2.9
2010/3/13,12.0,15.1,8.5
2010/3/14,11.4,17.2,5.7
2010/3/15,14.1,19.4,10.4
2010/3/16,13.2,17.7,7.1
2010/3/17,8.3,12.5,5.7
2010/3/18,9.4,15.0,4.7
2010/3/19,9.4,13.2,6.4
2010/3/20,16.4,24.2,7.4
2010/3/21,12.7,20.4,6.2
2010/3/22,9.3,13.8,4.7
2010/3/23,8.8,10.5,7.9
2010/3/24,8.0,9.1,7.2
2010/3/25,7.6,9.0,6.0
2010/3/26,6.7,12.0,3.5
2010/3/27,7.2,11.6,1.6
2010/3/28,10.3,14.2,7.0
2010/3/29,6.5,10.8,2.6
2010/3/30,6.8,11.3,2.4
2010/3/31,10.7,16.2,4.6
