ダウンロードした時刻：2019/10/10 15:49:45

,松本,松本,松本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/12/1,0.1,3.9,-3.6
1996/12/2,-0.5,5.2,-4.1
1996/12/3,-0.9,6.5,-6.1
1996/12/4,0.2,5.7,-5.8
1996/12/5,9.2,13.9,3.7
1996/12/6,3.0,9.3,-1.9
1996/12/7,1.7,6.5,-2.7
1996/12/8,0.9,7.8,-4.2
1996/12/9,2.5,9.1,-3.6
1996/12/10,4.3,11.1,-2.4
1996/12/11,5.1,11.2,0.6
1996/12/12,2.5,9.1,-2.8
1996/12/13,3.5,8.4,-0.1
1996/12/14,3.0,12.3,-3.2
1996/12/15,4.2,10.0,-0.4
1996/12/16,3.0,12.1,-3.0
1996/12/17,6.9,14.3,1.0
1996/12/18,4.9,10.1,1.2
1996/12/19,2.5,7.5,-0.8
1996/12/20,0.0,6.4,-4.2
1996/12/21,0.4,8.2,-5.4
1996/12/22,3.2,9.7,-4.7
1996/12/23,0.6,5.8,-4.8
1996/12/24,-1.9,5.6,-7.6
1996/12/25,1.8,12.4,-6.1
1996/12/26,1.9,6.1,-0.9
1996/12/27,2.1,7.8,-2.2
1996/12/28,4.3,10.0,-2.0
1996/12/29,0.3,6.7,-4.1
1996/12/30,0.7,10.2,-5.7
1996/12/31,1.5,9.8,-3.9
1997/1/1,5.6,12.9,-3.9
1997/1/2,5.2,11.4,0.8
1997/1/3,1.0,4.7,-3.5
1997/1/4,-1.8,4.4,-6.8
1997/1/5,-1.3,2.4,-4.8
1997/1/6,1.4,4.3,-1.2
1997/1/7,1.4,6.0,-2.1
1997/1/8,-1.0,4.2,-4.7
1997/1/9,-3.2,2.9,-8.1
1997/1/10,-4.1,2.9,-9.6
1997/1/11,-3.5,4.6,-9.3
1997/1/12,-2.6,4.4,-8.1
1997/1/13,-1.5,5.8,-5.9
1997/1/14,2.8,6.3,-5.4
1997/1/15,0.0,4.0,-3.8
1997/1/16,-2.2,4.5,-7.0
1997/1/17,-0.5,6.4,-6.3
1997/1/18,4.0,9.6,-2.2
1997/1/19,-0.4,4.9,-3.5
1997/1/20,1.3,8.7,-6.4
1997/1/21,0.3,5.4,-7.0
1997/1/22,-7.9,-4.0,-10.1
1997/1/23,-6.0,-0.4,-14.3
1997/1/24,0.5,3.8,-2.6
1997/1/25,-2.8,0.9,-7.0
1997/1/26,-2.1,4.6,-8.5
1997/1/27,-1.6,6.8,-8.5
1997/1/28,2.4,6.1,-2.7
1997/1/29,-0.9,2.8,-4.0
1997/1/30,-3.2,1.7,-7.6
1997/1/31,-4.2,2.6,-10.2
1997/2/1,-3.6,2.5,-8.2
1997/2/2,-2.6,3.1,-9.4
1997/2/3,-0.1,4.8,-3.0
1997/2/4,-2.3,2.7,-6.0
1997/2/5,-2.3,4.8,-8.2
1997/2/6,-0.3,7.8,-5.8
1997/2/7,-0.3,5.8,-4.5
1997/2/8,0.3,8.8,-5.6
1997/2/9,0.8,9.6,-4.7
1997/2/10,1.0,7.3,-4.2
1997/2/11,0.6,6.5,-3.5
1997/2/12,-1.1,3.0,-4.7
1997/2/13,-2.7,4.8,-7.8
1997/2/14,-2.3,5.9,-8.9
1997/2/15,1.1,9.5,-7.6
1997/2/16,3.3,9.0,0.1
1997/2/17,0.2,6.5,-3.9
1997/2/18,-1.5,4.5,-5.9
1997/2/19,-1.2,3.5,-4.3
1997/2/20,2.8,10.5,-5.5
1997/2/21,-0.9,4.0,-6.3
1997/2/22,-6.1,-1.3,-9.8
1997/2/23,-4.4,4.6,-11.9
1997/2/24,-0.4,9.8,-7.5
1997/2/25,4.2,15.0,-6.0
1997/2/26,4.8,10.6,-1.8
1997/2/27,1.5,9.2,-3.9
1997/2/28,6.9,15.3,-3.8
1997/3/1,6.5,12.6,-1.5
1997/3/2,2.5,10.8,-4.0
1997/3/3,0.0,5.4,-4.0
1997/3/4,1.1,10.5,-6.8
1997/3/5,4.0,14.0,-4.1
1997/3/6,7.0,16.5,-3.1
1997/3/7,11.5,17.7,4.6
1997/3/8,4.6,13.0,-1.7
1997/3/9,2.8,9.1,-2.2
1997/3/10,4.0,13.1,-4.6
1997/3/11,8.0,14.4,-0.4
1997/3/12,2.9,9.7,-2.4
1997/3/13,5.5,15.9,-4.4
1997/3/14,9.4,19.6,1.2
1997/3/15,5.6,7.7,3.8
1997/3/16,3.1,5.3,1.6
1997/3/17,2.9,8.2,-0.3
1997/3/18,3.9,14.2,-2.7
1997/3/19,3.3,12.5,-2.5
1997/3/20,3.3,11.0,-3.7
1997/3/21,7.1,17.1,-3.0
1997/3/22,5.4,9.9,2.3
1997/3/23,5.2,13.2,0.6
1997/3/24,0.8,5.7,-3.6
1997/3/25,5.0,17.4,-5.8
1997/3/26,7.6,15.5,-1.3
1997/3/27,4.9,7.8,0.7
1997/3/28,6.4,15.9,-2.5
1997/3/29,9.4,13.2,5.4
1997/3/30,9.9,16.7,1.5
1997/3/31,4.6,14.3,-1.8
