ダウンロードした時刻：2019/10/10 15:44:08

,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/12/1,11.3,16.1,6.7
2016/12/2,9.0,10.8,7.4
2016/12/3,8.8,13.4,6.4
2016/12/4,9.9,15.7,5.0
2016/12/5,12.0,16.3,8.9
2016/12/6,7.5,14.4,3.9
2016/12/7,5.3,7.8,3.4
2016/12/8,5.2,8.7,2.7
2016/12/9,6.5,9.4,2.9
2016/12/10,5.4,8.1,2.4
2016/12/11,4.1,6.9,1.7
2016/12/12,4.4,8.0,1.2
2016/12/13,6.4,8.9,2.1
2016/12/14,5.5,8.9,2.1
2016/12/15,3.5,6.0,0.7
2016/12/16,2.1,4.5,0.3
2016/12/17,6.1,7.8,2.2
2016/12/18,7.0,12.3,1.5
2016/12/19,9.7,14.2,6.1
2016/12/20,7.3,9.3,5.5
2016/12/21,9.5,16.1,5.3
2016/12/22,11.0,16.2,3.9
2016/12/23,9.1,14.0,4.3
2016/12/24,4.2,6.2,1.9
2016/12/25,3.6,6.8,0.8
2016/12/26,4.3,8.0,-0.1
2016/12/27,5.7,7.7,4.3
2016/12/28,3.5,5.2,1.4
2016/12/29,3.8,9.3,0.6
2016/12/30,3.3,5.8,1.3
2016/12/31,3.7,8.0,0.9
2017/1/1,5.5,8.3,4.0
2017/1/2,7.6,11.1,4.7
2017/1/3,7.5,9.6,5.0
2017/1/4,5.8,8.7,3.2
2017/1/5,3.5,5.8,1.2
2017/1/6,2.5,4.4,0.4
2017/1/7,3.5,8.1,1.0
2017/1/8,5.6,9.5,1.9
2017/1/9,6.2,9.2,4.1
2017/1/10,5.5,9.6,2.6
2017/1/11,2.0,3.2,0.8
2017/1/12,2.2,3.4,0.2
2017/1/13,0.8,3.1,-1.1
2017/1/14,-1.5,1.0,-3.4
2017/1/15,-0.2,2.6,-4.0
2017/1/16,1.5,5.1,-0.7
2017/1/17,2.6,5.5,0.6
2017/1/18,3.6,7.0,0.9
2017/1/19,3.8,7.0,0.7
2017/1/20,2.6,5.5,-0.7
2017/1/21,3.1,6.0,0.9
2017/1/22,1.6,4.4,-0.6
2017/1/23,0.5,2.4,-1.3
2017/1/24,-0.1,1.6,-1.4
2017/1/25,2.3,3.9,0.2
2017/1/26,0.9,2.8,-0.5
2017/1/27,3.0,11.1,-1.6
2017/1/28,2.6,4.7,-0.1
2017/1/29,3.6,7.8,-1.4
2017/1/30,4.5,9.4,1.4
2017/1/31,2.1,4.9,0.1
2017/2/1,1.7,6.4,-1.4
2017/2/2,0.9,4.2,-2.2
2017/2/3,4.1,7.0,0.8
2017/2/4,5.7,9.8,1.9
2017/2/5,4.3,7.6,0.5
2017/2/6,5.1,7.9,2.6
2017/2/7,1.5,3.2,-0.6
2017/2/8,3.1,6.6,1.2
2017/2/9,3.0,5.8,0.8
2017/2/10,3.3,6.0,0.4
2017/2/11,2.1,5.4,-0.9
2017/2/12,3.9,6.1,1.6
2017/2/13,3.4,6.5,0.2
2017/2/14,3.4,7.1,-0.1
2017/2/15,4.3,7.4,0.8
2017/2/16,6.2,13.3,1.1
2017/2/17,5.0,10.6,1.6
2017/2/18,2.4,6.2,-0.4
2017/2/19,1.4,5.4,-0.8
2017/2/20,3.9,8.7,0.4
2017/2/21,1.6,4.1,-0.9
2017/2/22,3.8,6.4,0.5
2017/2/23,6.2,11.9,3.2
2017/2/24,2.4,4.5,0.3
2017/2/25,2.8,6.9,-1.0
2017/2/26,3.5,7.5,1.5
2017/2/27,2.5,5.6,0.1
2017/2/28,2.0,6.1,-2.1
2017/3/1,5.0,9.4,0.5
2017/3/2,7.2,12.6,2.3
2017/3/3,6.1,8.3,4.4
2017/3/4,5.8,10.7,1.2
2017/3/5,5.9,10.6,2.1
2017/3/6,7.4,15.1,3.1
2017/3/7,2.3,4.4,-0.2
2017/3/8,2.5,6.1,0.3
2017/3/9,2.8,6.5,0.5
2017/3/10,3.8,8.6,1.5
2017/3/11,5.0,8.3,2.7
2017/3/12,4.6,9.0,0.2
2017/3/13,8.4,15.5,1.1
2017/3/14,6.9,10.4,5.1
2017/3/15,4.9,6.6,2.9
2017/3/16,6.2,9.1,4.5
2017/3/17,7.1,10.8,3.2
2017/3/18,7.7,12.1,1.6
2017/3/19,6.8,10.4,3.3
2017/3/20,8.9,13.1,3.5
2017/3/21,7.1,9.5,4.9
2017/3/22,7.5,11.2,5.0
2017/3/23,6.2,10.2,2.9
2017/3/24,5.0,8.7,2.1
2017/3/25,5.0,9.6,0.9
2017/3/26,6.7,10.3,2.1
2017/3/27,5.8,8.1,4.9
2017/3/28,6.3,10.7,3.4
2017/3/29,7.1,11.7,2.7
2017/3/30,9.5,15.4,4.6
2017/3/31,7.2,8.8,5.7
