ダウンロードした時刻：2019/10/10 15:47:02

,高田,高田,高田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,8.9,14.0,4.0
1997/12/2,4.9,9.0,0.5
1997/12/3,1.2,3.9,-0.4
1997/12/4,2.3,7.8,-0.8
1997/12/5,6.1,11.4,2.5
1997/12/6,7.8,13.5,5.1
1997/12/7,11.2,17.0,6.1
1997/12/8,12.0,13.2,10.6
1997/12/9,9.8,12.1,4.7
1997/12/10,4.6,8.7,1.1
1997/12/11,4.2,9.7,-0.8
1997/12/12,4.6,7.2,1.9
1997/12/13,2.8,4.6,1.5
1997/12/14,4.8,10.5,0.4
1997/12/15,7.4,10.3,5.9
1997/12/16,7.0,11.2,3.4
1997/12/17,6.5,9.9,3.2
1997/12/18,8.8,12.7,5.3
1997/12/19,9.4,16.3,4.7
1997/12/20,8.9,16.2,3.5
1997/12/21,6.3,7.4,5.1
1997/12/22,4.5,6.4,2.9
1997/12/23,5.0,8.1,3.3
1997/12/24,3.7,9.9,-0.4
1997/12/25,4.1,10.8,-1.0
1997/12/26,4.7,12.9,-2.5
1997/12/27,10.2,15.7,2.2
1997/12/28,5.4,11.3,2.5
1997/12/29,4.0,8.9,1.3
1997/12/30,6.0,10.0,1.5
1997/12/31,6.0,9.4,2.3
1998/1/1,7.0,11.0,2.3
1998/1/2,4.8,9.6,1.4
1998/1/3,7.8,15.3,1.6
1998/1/4,6.1,13.1,3.2
1998/1/5,3.5,8.7,-0.2
1998/1/6,2.8,4.6,1.5
1998/1/7,1.3,3.5,-0.6
1998/1/8,-0.2,1.9,-1.2
1998/1/9,1.3,3.5,-0.2
1998/1/10,3.0,8.5,-1.1
1998/1/11,2.3,4.8,1.0
1998/1/12,1.2,1.9,0.4
1998/1/13,1.5,3.2,0.4
1998/1/14,2.3,4.0,0.7
1998/1/15,1.7,5.4,-0.5
1998/1/16,3.4,6.7,1.2
1998/1/17,3.6,8.3,-0.4
1998/1/18,6.7,12.9,0.0
1998/1/19,1.8,7.7,-0.4
1998/1/20,1.6,5.4,-0.6
1998/1/21,1.7,4.8,-0.7
1998/1/22,1.1,2.8,-0.3
1998/1/23,1.7,4.4,-0.1
1998/1/24,-0.4,4.5,-2.7
1998/1/25,-0.4,3.2,-2.5
1998/1/26,1.2,5.5,-0.8
1998/1/27,-1.1,0.5,-4.3
1998/1/28,-0.7,0.5,-4.0
1998/1/29,0.2,3.0,-2.1
1998/1/30,1.1,6.5,-4.4
1998/1/31,1.8,5.2,0.6
1998/2/1,1.6,4.7,-0.7
1998/2/2,2.3,6.7,-0.8
1998/2/3,4.1,8.6,1.2
1998/2/4,0.5,1.8,-1.2
1998/2/5,0.6,5.5,-3.2
1998/2/6,2.3,7.2,-3.3
1998/2/7,3.8,7.0,1.0
1998/2/8,3.8,10.0,-0.7
1998/2/9,2.4,5.0,-0.1
1998/2/10,0.4,2.0,-0.8
1998/2/11,2.0,5.6,-2.1
1998/2/12,8.0,13.3,-3.2
1998/2/13,5.3,10.1,-0.4
1998/2/14,2.5,8.8,-0.8
1998/2/15,1.5,3.5,0.3
1998/2/16,2.7,6.3,0.1
1998/2/17,1.0,2.6,0.0
1998/2/18,1.7,5.4,-2.6
1998/2/19,2.3,11.3,-5.0
1998/2/20,8.5,13.2,0.2
1998/2/21,5.0,7.2,1.9
1998/2/22,2.6,6.7,-1.9
1998/2/23,2.1,8.6,-3.3
1998/2/24,4.0,9.9,-1.7
1998/2/25,9.1,13.5,4.0
1998/2/26,7.6,11.0,4.9
1998/2/27,7.0,12.1,2.6
1998/2/28,6.3,13.9,-0.2
1998/3/1,4.0,7.3,1.0
1998/3/2,6.0,11.0,1.6
1998/3/3,5.8,13.4,0.7
1998/3/4,5.9,14.4,-0.2
1998/3/5,4.4,6.9,1.8
1998/3/6,7.2,12.1,2.7
1998/3/7,4.3,7.1,2.0
1998/3/8,4.2,9.5,-0.4
1998/3/9,5.8,13.6,-1.0
1998/3/10,3.9,8.6,-1.3
1998/3/11,6.2,14.2,-2.9
1998/3/12,10.0,15.4,7.7
1998/3/13,7.9,16.3,4.0
1998/3/14,8.2,17.4,2.8
1998/3/15,1.9,5.1,-0.9
1998/3/16,3.4,10.1,-2.7
1998/3/17,1.5,3.5,-0.8
1998/3/18,2.4,7.9,-0.7
1998/3/19,9.7,18.6,-0.8
1998/3/20,9.9,16.5,3.7
1998/3/21,5.8,10.5,3.0
1998/3/22,5.0,9.4,2.4
1998/3/23,2.3,6.7,0.3
1998/3/24,6.0,12.8,0.5
1998/3/25,6.9,14.1,1.0
1998/3/26,9.2,17.1,2.3
1998/3/27,9.7,12.6,7.1
1998/3/28,11.1,16.7,7.5
1998/3/29,13.5,23.0,6.0
1998/3/30,12.0,19.7,5.8
1998/3/31,6.7,9.9,3.2
