ダウンロードした時刻：2019/10/10 16:23:45

,熊本,熊本,熊本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,6.8,13.7,0.5
1986/12/2,9.2,16.6,1.0
1986/12/3,11.9,17.7,4.6
1986/12/4,9.9,13.3,5.3
1986/12/5,7.2,13.9,1.0
1986/12/6,11.4,19.1,2.3
1986/12/7,8.2,13.6,3.4
1986/12/8,7.2,14.1,2.4
1986/12/9,7.9,15.4,0.3
1986/12/10,9.5,14.8,4.9
1986/12/11,7.3,15.0,0.6
1986/12/12,8.3,17.5,0.7
1986/12/13,10.2,17.6,2.5
1986/12/14,12.8,16.0,10.3
1986/12/15,12.8,16.7,9.5
1986/12/16,9.8,14.3,5.7
1986/12/17,8.8,14.5,3.4
1986/12/18,9.9,14.7,5.5
1986/12/19,7.7,10.6,3.9
1986/12/20,5.7,10.8,2.0
1986/12/21,7.0,10.8,2.2
1986/12/22,7.1,11.2,2.2
1986/12/23,6.1,13.8,0.1
1986/12/24,9.5,15.2,4.3
1986/12/25,9.5,12.3,5.1
1986/12/26,6.0,12.3,0.3
1986/12/27,5.5,7.6,3.3
1986/12/28,4.0,7.5,0.5
1986/12/29,3.0,9.1,-2.8
1986/12/30,7.3,12.9,-0.2
1986/12/31,12.1,16.2,8.7
1987/1/1,7.6,13.1,2.4
1987/1/2,12.7,18.7,6.5
1987/1/3,11.2,16.0,4.3
1987/1/4,7.0,13.3,0.8
1987/1/5,7.0,8.8,5.7
1987/1/6,5.4,11.8,0.4
1987/1/7,7.7,12.8,-0.6
1987/1/8,7.7,12.6,3.8
1987/1/9,8.6,14.8,3.0
1987/1/10,5.4,10.6,0.5
1987/1/11,3.9,11.1,-2.7
1987/1/12,5.0,9.5,1.1
1987/1/13,0.5,3.2,-1.2
1987/1/14,1.2,5.7,-1.5
1987/1/15,5.5,12.7,0.6
1987/1/16,9.8,17.0,-0.1
1987/1/17,9.3,13.2,5.3
1987/1/18,4.6,8.3,0.3
1987/1/19,3.9,8.3,-0.5
1987/1/20,2.6,9.1,-3.5
1987/1/21,4.5,11.2,-1.8
1987/1/22,7.4,15.0,0.9
1987/1/23,11.0,15.8,6.9
1987/1/24,4.4,10.3,-0.6
1987/1/25,0.7,5.8,-2.3
1987/1/26,3.4,8.0,-1.6
1987/1/27,4.2,8.3,0.4
1987/1/28,4.6,12.0,-1.4
1987/1/29,6.6,14.0,-1.2
1987/1/30,8.2,14.2,4.3
1987/1/31,3.3,9.3,-0.1
1987/2/1,2.6,8.5,-3.8
1987/2/2,2.4,4.2,0.2
1987/2/3,1.2,3.1,-0.8
1987/2/4,3.2,8.3,-0.5
1987/2/5,4.5,11.1,-2.6
1987/2/6,6.1,12.2,-1.0
1987/2/7,8.8,16.0,1.9
1987/2/8,7.8,15.4,1.3
1987/2/9,8.2,16.9,-0.2
1987/2/10,11.3,19.4,1.6
1987/2/11,16.3,20.9,10.2
1987/2/12,13.8,18.5,7.9
1987/2/13,9.6,15.6,4.5
1987/2/14,10.2,16.0,4.0
1987/2/15,6.8,10.5,2.5
1987/2/16,7.2,14.2,-0.8
1987/2/17,9.2,10.3,7.7
1987/2/18,9.3,12.4,6.9
1987/2/19,6.7,9.6,4.4
1987/2/20,8.5,13.8,4.3
1987/2/21,6.3,8.4,4.2
1987/2/22,6.5,11.0,2.8
1987/2/23,7.8,15.0,0.2
1987/2/24,9.7,15.5,4.1
1987/2/25,3.2,6.4,-0.3
1987/2/26,3.7,6.2,1.5
1987/2/27,2.0,5.5,-1.0
1987/2/28,4.6,9.3,-1.1
1987/3/1,5.4,9.0,0.6
1987/3/2,2.6,8.0,-0.5
1987/3/3,5.1,12.6,-3.3
1987/3/4,7.6,11.5,1.0
1987/3/5,11.8,18.2,4.2
1987/3/6,13.4,19.8,5.5
1987/3/7,8.7,12.9,5.0
1987/3/8,8.2,13.3,1.7
1987/3/9,8.4,13.6,5.6
1987/3/10,7.2,13.6,2.3
1987/3/11,9.3,14.2,5.6
1987/3/12,10.0,17.5,2.3
1987/3/13,14.2,17.5,10.3
1987/3/14,11.8,15.0,6.8
1987/3/15,9.2,15.4,2.9
1987/3/16,9.1,14.9,1.6
1987/3/17,9.9,11.3,7.7
1987/3/18,12.0,17.6,6.8
1987/3/19,12.7,17.7,5.5
1987/3/20,14.4,20.8,10.9
1987/3/21,16.5,23.5,10.0
1987/3/22,15.3,18.4,12.7
1987/3/23,16.9,18.8,14.4
1987/3/24,14.2,17.5,10.8
1987/3/25,6.6,11.3,3.8
1987/3/26,5.8,11.1,0.7
1987/3/27,6.4,12.9,-1.0
1987/3/28,8.0,12.8,1.7
1987/3/29,11.0,14.6,6.6
1987/3/30,12.8,13.8,11.6
1987/3/31,10.7,14.7,4.6
