ダウンロードした時刻：2017/07/24 15:45:23

,奈良,奈良,奈良
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/1/1,4.7,11.0,-1.8
2012/1/2,4.4,7.9,2.1
2012/1/3,4.8,8.9,1.6
2012/1/4,3.8,7.6,0.7
2012/1/5,2.5,7.8,-1.0
2012/1/6,3.8,9.8,-2.2
2012/1/7,3.7,8.8,0.2
2012/1/8,2.3,7.5,-1.5
2012/1/9,4.1,10.6,-0.6
2012/1/10,4.9,11.0,-1.2
2012/1/11,5.0,10.3,0.1
2012/1/12,1.5,6.8,-2.3
2012/1/13,4.7,10.8,-0.9
2012/1/14,4.9,8.4,2.1
2012/1/15,4.1,8.2,0.5
2012/1/16,3.5,5.2,1.3
2012/1/17,3.0,9.5,-0.9
2012/1/18,2.9,10.6,-3.6
2012/1/19,3.5,5.5,0.6
2012/1/20,5.8,8.4,3.4
2012/1/21,6.0,8.9,5.0
2012/1/22,5.9,11.2,2.1
2012/1/23,5.6,10.4,2.5
2012/1/24,2.5,6.1,0.5
2012/1/25,1.9,6.6,-1.1
2012/1/26,1.2,7.1,-1.9
2012/1/27,2.3,8.8,-0.2
2012/1/28,2.9,8.2,-0.4
2012/1/29,1.2,5.8,-2.0
2012/1/30,1.5,6.6,-2.4
2012/1/31,1.7,8.2,-2.3
2012/2/1,2.6,6.7,-2.7
2012/2/2,-0.6,4.1,-3.4
2012/2/3,0.1,5.3,-4.8
2012/2/4,3.1,8.2,-1.1
2012/2/5,3.9,9.0,-2.5
2012/2/6,6.0,11.2,2.8
2012/2/7,7.0,8.4,4.4
2012/2/8,2.3,5.9,-1.2
2012/2/9,1.1,6.1,-1.7
2012/2/10,2.5,7.5,-2.3
2012/2/11,3.0,9.3,-1.6
2012/2/12,2.5,8.9,-1.7
2012/2/13,2.5,6.0,-0.7
2012/2/14,4.0,5.8,2.3
2012/2/15,3.9,6.8,-0.2
2012/2/16,2.5,8.1,-1.5
2012/2/17,2.1,7.3,-0.9
2012/2/18,0.1,5.0,-3.3
2012/2/19,0.4,8.3,-5.3
2012/2/20,2.4,10.2,-2.9
2012/2/21,3.7,9.2,-2.7
2012/2/22,7.2,11.4,1.9
2012/2/23,9.2,11.7,6.9
2012/2/24,7.5,12.7,3.1
2012/2/25,5.1,7.1,2.2
2012/2/26,3.0,6.9,-1.3
2012/2/27,0.5,6.8,-2.8
2012/2/28,3.1,9.6,-4.3
2012/2/29,6.0,12.6,2.4
2012/3/1,8.3,16.3,1.6
2012/3/2,8.8,11.0,7.0
2012/3/3,7.8,14.6,3.1
2012/3/4,5.7,8.9,0.6
2012/3/5,10.3,11.6,8.5
2012/3/6,12.8,17.8,9.8
2012/3/7,9.7,12.2,5.4
2012/3/8,8.2,14.3,2.2
2012/3/9,5.2,7.5,4.0
2012/3/10,6.5,11.0,4.0
2012/3/11,4.6,10.9,0.4
2012/3/12,2.7,8.6,-0.6
2012/3/13,2.4,8.1,-1.8
2012/3/14,4.2,12.0,-2.8
2012/3/15,4.4,10.6,-0.3
2012/3/16,6.9,15.3,-1.7
2012/3/17,10.7,13.7,6.8
2012/3/18,11.0,13.0,6.8
2012/3/19,5.9,10.2,2.1
2012/3/20,5.6,13.0,-1.6
2012/3/21,5.9,12.4,0.0
2012/3/22,8.3,15.5,-0.7
2012/3/23,9.3,11.1,6.7
2012/3/24,8.5,12.4,5.7
2012/3/25,5.5,11.3,2.0
2012/3/26,4.0,10.2,0.3
2012/3/27,7.0,14.3,-0.6
2012/3/28,7.7,16.3,2.6
2012/3/29,8.8,19.0,0.6
2012/3/30,12.8,22.6,3.2
2012/3/31,9.0,15.4,1.7
2012/4/1,5.6,12.5,0.5
2012/4/2,8.8,18.0,0.3
2012/4/3,10.4,19.2,6.5
2012/4/4,8.7,14.0,4.9
2012/4/5,11.7,18.2,6.8
2012/4/6,6.2,11.2,2.0
2012/4/7,5.4,10.7,0.5
2012/4/8,7.8,16.7,-1.3
2012/4/9,12.3,21.4,3.2
2012/4/10,15.0,22.4,6.8
2012/4/11,13.6,15.0,11.7
2012/4/12,15.8,22.3,10.3
2012/4/13,13.7,19.6,10.1
2012/4/14,10.8,16.0,6.7
2012/4/15,12.4,20.1,4.8
2012/4/16,13.6,20.0,9.1
2012/4/17,13.1,22.5,7.1
2012/4/18,13.8,22.9,5.2
2012/4/19,14.9,25.0,6.9
2012/4/20,14.1,16.6,12.8
2012/4/21,16.1,21.6,11.4
2012/4/22,14.3,15.6,13.0
2012/4/23,18.1,24.6,13.4
2012/4/24,18.1,26.1,10.2
2012/4/25,19.2,27.4,12.1
2012/4/26,16.2,19.7,12.4
2012/4/27,16.2,24.2,10.0
2012/4/28,18.1,29.9,6.8
2012/4/29,19.5,28.8,11.1
2012/4/30,18.7,22.2,16.4
2012/5/1,19.7,24.7,17.5
