ダウンロードした時刻：2019/10/10 16:14:34

,奈良,奈良,奈良
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/12/1,3.2,6.2,0.5
1996/12/2,3.8,8.9,0.4
1996/12/3,3.5,10.8,-1.0
1996/12/4,6.0,12.6,-1.4
1996/12/5,10.6,14.5,7.3
1996/12/6,5.1,7.9,0.4
1996/12/7,3.5,9.1,-1.8
1996/12/8,4.5,9.9,-0.4
1996/12/9,5.6,11.6,0.4
1996/12/10,5.8,8.4,2.2
1996/12/11,7.7,12.8,4.4
1996/12/12,6.7,13.9,1.9
1996/12/13,7.3,14.4,1.6
1996/12/14,7.7,14.7,2.5
1996/12/15,7.3,14.4,2.4
1996/12/16,9.1,16.0,1.6
1996/12/17,13.2,16.3,12.1
1996/12/18,9.5,13.9,3.8
1996/12/19,5.9,8.6,2.4
1996/12/20,4.4,9.3,-0.2
1996/12/21,4.9,12.0,-0.5
1996/12/22,7.5,15.0,-0.3
1996/12/23,4.7,9.5,-0.2
1996/12/24,3.3,10.5,-2.4
1996/12/25,6.3,13.4,-0.6
1996/12/26,6.5,11.3,2.4
1996/12/27,5.0,11.9,-0.4
1996/12/28,5.0,12.6,-0.6
1996/12/29,4.8,12.7,-0.9
1996/12/30,6.3,15.4,-0.5
1996/12/31,7.3,15.2,1.7
1997/1/1,10.0,18.2,2.5
1997/1/2,6.1,11.9,2.7
1997/1/3,5.1,8.8,3.0
1997/1/4,3.9,7.8,-0.6
1997/1/5,1.5,8.1,-2.7
1997/1/6,5.1,7.9,2.8
1997/1/7,3.9,7.6,0.6
1997/1/8,1.9,6.7,-1.0
1997/1/9,2.6,7.5,-1.2
1997/1/10,2.5,7.8,-3.2
1997/1/11,2.9,9.0,-2.1
1997/1/12,3.4,8.5,0.2
1997/1/13,3.4,10.2,-1.2
1997/1/14,4.3,10.6,-2.2
1997/1/15,4.0,8.8,0.1
1997/1/16,2.9,9.7,-2.4
1997/1/17,4.8,12.0,-0.8
1997/1/18,6.2,12.5,1.2
1997/1/19,5.2,11.1,0.5
1997/1/20,5.1,11.7,-0.2
1997/1/21,3.3,9.4,-5.1
1997/1/22,-1.2,2.4,-5.4
1997/1/23,4.0,8.0,0.8
1997/1/24,2.2,4.5,0.3
1997/1/25,3.9,7.2,1.2
1997/1/26,4.1,7.9,0.5
1997/1/27,6.0,10.6,1.2
1997/1/28,6.0,11.4,2.7
1997/1/29,3.5,7.0,0.4
1997/1/30,1.3,6.8,-1.8
1997/1/31,1.7,5.7,-2.3
1997/2/1,2.6,8.0,-1.5
1997/2/2,2.3,6.5,-1.7
1997/2/3,2.5,6.9,-0.4
1997/2/4,2.4,6.6,-0.4
1997/2/5,3.4,8.0,0.5
1997/2/6,3.9,11.1,-1.1
1997/2/7,3.8,8.2,0.7
1997/2/8,5.0,11.4,-0.1
1997/2/9,5.0,13.2,-2.1
1997/2/10,5.4,12.2,-1.1
1997/2/11,3.1,8.0,-0.1
1997/2/12,2.9,7.0,-0.5
1997/2/13,1.8,7.4,-2.3
1997/2/14,1.9,8.3,-3.5
1997/2/15,4.5,11.9,-2.6
1997/2/16,6.2,11.1,3.9
1997/2/17,3.6,7.4,-0.1
1997/2/18,1.9,8.2,-0.9
1997/2/19,2.6,7.1,-1.1
1997/2/20,4.7,10.5,-1.8
1997/2/21,3.8,8.5,-2.3
1997/2/22,-0.4,3.4,-2.7
1997/2/23,3.0,9.0,-0.9
1997/2/24,4.8,14.4,-2.8
1997/2/25,6.4,15.3,-1.5
1997/2/26,8.4,11.5,1.3
1997/2/27,5.7,13.1,0.3
1997/2/28,8.9,19.8,-0.6
1997/3/1,7.5,10.1,1.1
1997/3/2,5.1,10.1,-0.9
1997/3/3,4.9,9.5,0.2
1997/3/4,5.3,12.5,-0.1
1997/3/5,7.2,15.2,-0.7
1997/3/6,11.1,20.0,1.5
1997/3/7,14.1,21.0,9.1
1997/3/8,9.0,14.8,3.7
1997/3/9,7.4,14.6,1.5
1997/3/10,6.7,14.0,-0.6
1997/3/11,8.8,13.8,1.6
1997/3/12,6.7,14.4,0.5
1997/3/13,9.0,15.3,2.1
1997/3/14,12.7,17.8,8.9
1997/3/15,10.0,12.0,7.3
1997/3/16,8.0,10.8,5.4
1997/3/17,6.7,13.4,0.6
1997/3/18,7.3,16.5,-1.6
1997/3/19,7.5,11.5,3.7
1997/3/20,6.9,12.4,1.2
1997/3/21,9.3,14.8,4.1
1997/3/22,9.2,14.0,4.7
1997/3/23,7.7,15.1,2.8
1997/3/24,4.1,8.5,-0.3
1997/3/25,7.3,16.3,-2.4
1997/3/26,10.7,18.2,2.1
1997/3/27,8.9,13.8,4.1
1997/3/28,10.0,18.5,1.0
1997/3/29,11.3,13.5,8.5
1997/3/30,11.0,15.0,4.0
1997/3/31,7.5,14.3,0.9
