ダウンロードした時刻：2019/10/10 15:36:20

,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,2.7,6.4,0.6
1997/12/2,0.4,2.7,-3.0
1997/12/3,-1.6,0.8,-4.1
1997/12/4,1.2,3.7,-1.1
1997/12/5,1.9,4.5,0.0
1997/12/6,3.0,4.7,0.6
1997/12/7,5.9,9.2,3.1
1997/12/8,11.7,14.9,9.1
1997/12/9,8.8,11.9,4.0
1997/12/10,4.7,8.1,0.7
1997/12/11,0.7,2.2,-0.5
1997/12/12,1.1,2.9,-0.3
1997/12/13,0.8,3.9,-1.5
1997/12/14,3.9,6.3,0.6
1997/12/15,2.9,5.0,1.1
1997/12/16,6.3,7.5,4.8
1997/12/17,5.0,8.0,1.5
1997/12/18,5.9,10.5,-0.1
1997/12/19,8.5,11.7,4.2
1997/12/20,8.3,12.6,2.4
1997/12/21,0.7,3.5,-1.8
1997/12/22,-0.3,1.3,-1.7
1997/12/23,1.0,3.0,-1.6
1997/12/24,0.3,5.6,-3.9
1997/12/25,2.2,8.0,-0.9
1997/12/26,2.1,8.6,-2.3
1997/12/27,6.0,10.7,0.4
1997/12/28,3.8,7.8,2.2
1997/12/29,3.2,4.6,1.7
1997/12/30,3.9,8.2,-0.8
1997/12/31,3.3,4.9,1.0
1998/1/1,1.0,4.7,0.4
1998/1/2,0.0,1.7,-2.3
1998/1/3,1.8,7.4,-0.7
1998/1/4,2.5,8.5,-0.8
1998/1/5,-1.1,0.1,-2.6
1998/1/6,-1.1,1.0,-2.5
1998/1/7,-3.3,-0.9,-5.3
1998/1/8,-3.1,-1.8,-4.4
1998/1/9,-1.6,2.4,-5.7
1998/1/10,1.0,2.7,-1.5
1998/1/11,0.4,2.0,-1.5
1998/1/12,-0.2,2.7,-2.7
1998/1/13,-1.3,3.7,-4.2
1998/1/14,-1.9,-0.7,-4.0
1998/1/15,-3.3,-1.3,-5.1
1998/1/16,-0.1,2.6,-3.1
1998/1/17,0.5,2.9,-2.0
1998/1/18,2.6,5.5,-1.8
1998/1/19,-1.7,4.4,-4.4
1998/1/20,-2.0,1.1,-3.9
1998/1/21,-1.4,2.7,-2.8
1998/1/22,-2.9,-1.3,-4.6
1998/1/23,-3.0,0.0,-5.4
1998/1/24,-3.9,-1.8,-5.8
1998/1/25,-2.1,-0.2,-3.8
1998/1/26,-1.6,0.2,-3.7
1998/1/27,-2.9,-0.8,-5.2
1998/1/28,-3.3,-1.9,-5.3
1998/1/29,-2.9,-1.3,-4.7
1998/1/30,-0.4,5.1,-4.0
1998/1/31,-0.4,3.9,-4.2
1998/2/1,-1.0,0.9,-4.1
1998/2/2,1.3,3.6,-0.2
1998/2/3,1.0,3.7,-0.7
1998/2/4,-2.7,0.5,-4.9
1998/2/5,0.4,2.1,-2.5
1998/2/6,1.6,4.7,-2.3
1998/2/7,-1.2,2.8,-7.1
1998/2/8,2.3,5.5,0.3
1998/2/9,1.7,4.0,-0.2
1998/2/10,-0.7,1.8,-2.9
1998/2/11,0.0,2.8,-2.7
1998/2/12,2.6,8.4,-1.4
1998/2/13,2.7,4.9,-0.3
1998/2/14,1.1,3.5,-0.6
1998/2/15,-0.5,2.1,-1.9
1998/2/16,-0.1,3.0,-3.0
1998/2/17,-2.0,1.6,-4.7
1998/2/18,-0.7,2.2,-3.3
1998/2/19,0.1,6.5,-5.3
1998/2/20,3.0,9.1,-2.6
1998/2/21,1.3,4.5,-2.5
1998/2/22,-0.7,1.5,-3.7
1998/2/23,2.8,7.0,-1.0
1998/2/24,3.6,9.2,-1.9
1998/2/25,4.5,9.0,0.1
1998/2/26,6.3,11.6,1.1
1998/2/27,4.4,8.0,0.5
1998/2/28,4.0,11.1,-1.4
1998/3/1,3.8,10.1,-0.8
1998/3/2,5.2,9.6,-0.8
1998/3/3,6.6,11.3,2.7
1998/3/4,4.3,7.6,2.4
1998/3/5,2.9,7.1,-1.2
1998/3/6,4.1,8.7,-0.6
1998/3/7,1.5,5.2,-1.0
1998/3/8,3.7,6.1,-1.6
1998/3/9,4.2,7.8,-0.8
1998/3/10,0.4,3.8,-3.0
1998/3/11,2.9,9.8,-2.8
1998/3/12,6.7,9.7,1.7
1998/3/13,6.1,8.3,4.2
1998/3/14,6.8,9.7,4.5
1998/3/15,1.2,4.5,-3.4
1998/3/16,-0.1,3.1,-2.2
1998/3/17,0.2,3.2,-2.2
1998/3/18,2.9,6.7,-1.5
1998/3/19,8.1,14.0,1.1
1998/3/20,6.4,11.6,3.3
1998/3/21,3.4,6.8,0.1
1998/3/22,2.3,5.3,0.0
1998/3/23,2.6,5.8,0.3
1998/3/24,5.1,10.3,-1.9
1998/3/25,7.4,11.5,3.1
1998/3/26,6.7,12.4,0.0
1998/3/27,7.5,10.4,4.5
1998/3/28,9.5,12.1,6.7
1998/3/29,11.6,14.9,9.7
1998/3/30,9.7,12.9,6.2
1998/3/31,5.2,8.8,1.9
