ダウンロードした時刻：2017/07/24 15:37:23

,盛岡,盛岡,盛岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2010/1/1,-3.5,-2.6,-4.7
2010/1/2,-1.4,1.0,-3.8
2010/1/3,-2.7,0.8,-5.8
2010/1/4,-2.5,0.1,-5.6
2010/1/5,0.0,2.1,-1.7
2010/1/6,1.1,3.2,0.0
2010/1/7,0.6,3.2,-3.2
2010/1/8,-1.2,3.0,-5.3
2010/1/9,-0.1,2.4,-1.8
2010/1/10,-0.2,1.9,-1.7
2010/1/11,0.7,3.9,-1.1
2010/1/12,-0.5,0.8,-1.3
2010/1/13,-1.7,1.0,-5.1
2010/1/14,-5.4,-3.5,-10.1
2010/1/15,-5.3,-1.1,-10.1
2010/1/16,-5.2,-1.3,-8.3
2010/1/17,-5.1,-1.3,-9.2
2010/1/18,-4.8,0.0,-9.8
2010/1/19,0.5,4.4,-3.5
2010/1/20,0.4,5.6,-4.8
2010/1/21,0.2,5.1,-4.0
2010/1/22,-2.8,-0.9,-4.9
2010/1/23,-1.2,1.1,-3.9
2010/1/24,-0.7,2.5,-5.2
2010/1/25,0.5,2.5,-2.1
2010/1/26,-1.9,0.0,-3.1
2010/1/27,1.8,5.1,-1.2
2010/1/28,2.0,4.8,0.9
2010/1/29,0.2,3.0,-1.5
2010/1/30,-0.5,1.5,-2.7
2010/1/31,-0.6,4.3,-5.1
2010/2/1,0.4,4.3,-2.7
2010/2/2,-3.3,0.7,-7.3
2010/2/3,-6.6,-3.6,-10.7
2010/2/4,-7.2,-2.3,-11.6
2010/2/5,-7.5,-1.8,-12.4
2010/2/6,-7.6,-5.3,-9.9
2010/2/7,-3.3,1.9,-11.3
2010/2/8,1.4,4.8,-3.7
2010/2/9,2.8,8.1,-1.0
2010/2/10,0.1,2.4,-2.2
2010/2/11,-1.6,1.8,-3.2
2010/2/12,-3.0,0.8,-6.1
2010/2/13,-4.2,-0.5,-7.1
2010/2/14,-3.0,2.0,-8.0
2010/2/15,-0.4,3.1,-3.1
2010/2/16,-2.5,0.9,-4.9
2010/2/17,-3.9,1.3,-8.6
2010/2/18,-2.5,3.3,-8.5
2010/2/19,0.1,5.1,-2.8
2010/2/20,-2.1,0.7,-3.9
2010/2/21,-1.9,2.1,-5.2
2010/2/22,-0.7,4.9,-7.3
2010/2/23,3.8,8.5,-1.6
2010/2/24,2.8,10.9,-4.2
2010/2/25,7.4,13.8,2.2
2010/2/26,5.4,7.8,2.9
2010/2/27,4.8,10.2,-0.7
2010/2/28,0.9,5.1,-2.0
2010/3/1,1.2,5.2,-1.6
2010/3/2,-0.6,1.4,-2.0
2010/3/3,0.9,6.4,-2.9
2010/3/4,0.6,6.3,-4.4
2010/3/5,4.3,10.6,-0.1
2010/3/6,4.7,7.1,3.0
2010/3/7,1.2,4.0,-1.3
2010/3/8,-0.3,3.8,-2.7
2010/3/9,-2.1,1.1,-4.8
2010/3/10,-0.9,1.0,-2.5
2010/3/11,1.3,5.2,-1.7
2010/3/12,3.6,8.0,-2.9
2010/3/13,3.2,7.1,-1.7
2010/3/14,1.1,6.1,-2.0
2010/3/15,3.2,8.3,-3.1
2010/3/16,5.6,10.0,-0.1
2010/3/17,-0.6,2.5,-2.5
2010/3/18,-0.1,4.4,-3.1
2010/3/19,1.6,7.7,-6.6
2010/3/20,5.5,8.4,2.4
2010/3/21,4.5,9.2,-1.0
2010/3/22,1.8,4.8,-1.8
2010/3/23,3.0,5.7,0.0
2010/3/24,3.6,8.1,-0.8
2010/3/25,0.1,1.2,-1.6
2010/3/26,0.8,4.3,-1.5
2010/3/27,-1.9,2.4,-5.4
2010/3/28,-1.9,4.3,-9.2
2010/3/29,-0.5,4.4,-3.2
2010/3/30,0.4,6.4,-6.3
2010/3/31,4.3,9.3,-0.9
2010/4/1,5.9,7.4,3.8
2010/4/2,6.2,9.0,2.7
2010/4/3,3.6,9.5,-0.8
2010/4/4,4.5,11.8,-2.6
2010/4/5,6.6,11.1,3.4
2010/4/6,9.4,17.0,3.2
2010/4/7,6.7,10.6,3.5
2010/4/8,5.1,11.0,0.6
2010/4/9,6.7,12.9,2.5
2010/4/10,10.7,19.3,2.1
2010/4/11,10.5,14.9,6.3
2010/4/12,4.3,6.6,2.5
2010/4/13,7.8,12.8,3.2
2010/4/14,3.2,5.6,0.6
2010/4/15,3.8,8.7,-1.4
2010/4/16,3.5,9.5,-1.8
2010/4/17,2.3,5.4,0.6
2010/4/18,4.2,9.5,0.6
2010/4/19,5.5,9.9,0.2
2010/4/20,10.7,18.1,3.2
2010/4/21,9.7,13.2,4.5
2010/4/22,4.3,8.2,1.1
2010/4/23,3.6,7.2,1.2
2010/4/24,5.4,12.0,-0.5
2010/4/25,7.3,13.7,2.7
2010/4/26,8.0,14.9,0.6
2010/4/27,8.2,13.0,4.8
2010/4/28,9.8,12.7,8.3
2010/4/29,9.8,14.2,7.1
2010/4/30,8.6,12.3,5.6
2010/5/1,8.5,12.5,5.1
