ダウンロードした時刻：2019/10/10 16:12:23

,洲本,洲本,洲本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/12/1,7.1,9.4,4.4
1983/12/2,9.7,13.1,4.9
1983/12/3,10.7,14.3,7.1
1983/12/4,7.9,12.1,5.1
1983/12/5,9.6,12.6,6.8
1983/12/6,7.1,10.3,4.7
1983/12/7,7.4,11.0,4.8
1983/12/8,7.9,11.7,4.5
1983/12/9,9.6,13.2,5.9
1983/12/10,11.1,14.4,7.3
1983/12/11,9.5,15.1,4.5
1983/12/12,6.2,9.2,4.1
1983/12/13,8.4,11.6,4.2
1983/12/14,10.1,14.0,5.4
1983/12/15,7.2,10.2,5.1
1983/12/16,6.1,9.5,3.9
1983/12/17,5.1,8.5,2.7
1983/12/18,3.4,5.5,0.9
1983/12/19,5.5,9.0,1.7
1983/12/20,5.4,7.6,3.9
1983/12/21,5.2,8.0,2.3
1983/12/22,7.4,8.7,4.3
1983/12/23,4.4,7.9,2.8
1983/12/24,3.1,6.3,0.2
1983/12/25,1.3,4.0,-0.4
1983/12/26,1.2,4.4,-0.7
1983/12/27,2.5,6.3,-1.0
1983/12/28,3.0,5.0,1.4
1983/12/29,3.1,6.3,0.3
1983/12/30,3.7,7.1,1.6
1983/12/31,3.5,5.2,1.0
1984/1/1,4.2,7.6,0.2
1984/1/2,5.6,9.3,1.2
1984/1/3,7.1,12.4,4.1
1984/1/4,3.2,6.8,0.9
1984/1/5,2.3,5.0,0.2
1984/1/6,3.0,6.1,-0.7
1984/1/7,3.5,6.4,1.6
1984/1/8,2.5,4.5,0.4
1984/1/9,4.4,7.8,0.9
1984/1/10,7.5,10.9,4.9
1984/1/11,4.7,8.2,1.5
1984/1/12,3.4,6.4,-0.3
1984/1/13,4.6,9.0,0.0
1984/1/14,6.0,9.2,4.0
1984/1/15,6.6,11.7,3.4
1984/1/16,2.0,4.0,0.0
1984/1/17,1.5,4.6,-0.7
1984/1/18,1.7,5.6,-2.2
1984/1/19,1.1,2.4,0.1
1984/1/20,1.2,4.6,-1.1
1984/1/21,1.6,3.0,0.1
1984/1/22,2.6,6.3,0.2
1984/1/23,1.9,5.2,-0.7
1984/1/24,1.9,5.5,-1.1
1984/1/25,0.9,4.2,-1.3
1984/1/26,-0.2,3.2,-1.7
1984/1/27,0.7,4.2,-1.5
1984/1/28,0.8,4.4,-1.1
1984/1/29,0.4,4.2,-2.2
1984/1/30,2.0,4.6,-2.6
1984/1/31,0.6,3.1,-0.2
1984/2/1,2.9,5.8,-0.2
1984/2/2,3.8,7.7,-0.5
1984/2/3,-0.2,2.5,-1.8
1984/2/4,-0.6,1.7,-2.4
1984/2/5,1.5,5.1,-2.6
1984/2/6,0.5,4.2,-3.2
1984/2/7,-2.0,0.6,-3.7
1984/2/8,-0.6,3.1,-3.1
1984/2/9,-0.2,3.6,-2.3
1984/2/10,0.6,4.3,-1.8
1984/2/11,1.4,4.6,-2.2
1984/2/12,0.5,2.3,-0.4
1984/2/13,2.5,6.1,0.1
1984/2/14,3.6,7.5,1.2
1984/2/15,2.5,6.5,0.1
1984/2/16,2.0,5.7,-1.2
1984/2/17,0.8,1.8,0.1
1984/2/18,2.3,5.2,-0.7
1984/2/19,2.1,5.8,-0.3
1984/2/20,2.3,6.3,-0.6
1984/2/21,4.9,9.0,0.4
1984/2/22,4.9,8.8,2.0
1984/2/23,5.4,6.8,3.3
1984/2/24,4.8,8.0,2.9
1984/2/25,5.2,8.4,1.4
1984/2/26,5.4,7.2,4.1
1984/2/27,2.3,5.3,-0.5
1984/2/28,1.4,5.1,-1.2
1984/2/29,1.3,5.8,-1.5
1984/3/1,1.1,5.5,-2.9
1984/3/2,4.6,9.3,0.1
1984/3/3,2.1,4.4,-0.1
1984/3/4,1.9,5.7,-1.4
1984/3/5,2.4,6.4,-1.5
1984/3/6,3.0,7.6,0.1
1984/3/7,3.1,7.5,-0.8
1984/3/8,3.6,7.9,-0.3
1984/3/9,4.7,8.4,0.7
1984/3/10,3.9,6.5,0.7
1984/3/11,2.9,7.1,0.0
1984/3/12,5.9,11.8,-0.1
1984/3/13,5.3,7.1,3.9
1984/3/14,2.1,4.5,0.3
1984/3/15,4.9,7.7,0.8
1984/3/16,6.8,9.4,5.3
1984/3/17,7.0,10.4,2.9
1984/3/18,6.8,11.1,2.4
1984/3/19,2.9,5.8,1.2
1984/3/20,4.8,8.6,2.4
1984/3/21,2.5,6.6,0.0
1984/3/22,2.4,6.8,-1.4
1984/3/23,4.1,8.6,-0.6
1984/3/24,4.9,6.4,3.5
1984/3/25,6.9,10.5,3.8
1984/3/26,7.5,11.2,4.7
1984/3/27,8.1,13.7,2.5
1984/3/28,7.3,11.9,5.3
1984/3/29,10.8,16.3,5.2
1984/3/30,13.1,18.6,8.3
1984/3/31,11.9,16.7,7.9
